plotID,year,month,day,crop1Name,crop2Name,crop3Name,crop1Variety,crop2Variety,crop3Variety,seedTreatment1Bool,seedTreatment2Bool,seedTreatment3Bool,sowingReason,crop1SowingDensity,crop2SowingDensity,crop3SowingDensity,crop1SowingDepth,crop2SowingDepth,crop3SowingDepth,sowingTimelinessDescription,comments
APPILA_S5_P0000_R1,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S5_P0000_R2,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S5_P0000_R3,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S1_P2312_R1,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S1_P2312_R2,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S1_P2312_R3,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S2_P2121_R1,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S2_P2121_R2,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S2_P2121_R3,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S3_P4123_R1,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S3_P3412_R1,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S3_P4123_R2,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S3_P3412_R2,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S3_P4123_R3,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S3_P3412_R3,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S4_P3123_R1,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S4_P2312_R1,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S4_P3123_R2,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S4_P2312_R2,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S4_P3123_R3,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
APPILA_S4_P2312_R3,2023,5,31,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,100,NA,NA,25,NA,NA,On-time,
