plotID,year,month,day,crop1Name,crop2Name,crop3Name,harvestOutcome,harvestReason,crop1Yield,crop2Yield,crop3Yield,terminationState,comments
APPILA_S1_P1231_R1,2023,11,11,Vetch ,NA,NA,success,mulch,0,NA,NA,stubble,
APPILA_S1_P1231_R2,2023,11,11,Vetch ,NA,NA,success,mulch,0,NA,NA,stubble,
APPILA_S1_P1231_R3,2023,11,11,Vetch ,NA,NA,success,mulch,0,NA,NA,stubble,
APPILA_S1_P2312_R1,2023,11,11,Wheat,NA,NA,success,sale,460,NA,NA,stubble,
APPILA_S1_P2312_R2,2023,11,11,Wheat,NA,NA,success,sale,550,NA,NA,stubble,
APPILA_S1_P2312_R3,2023,11,11,Wheat,NA,NA,success,sale,680,NA,NA,stubble,
APPILA_S1_P3123_R1,2023,11,11,Barley,NA,NA,success,sale,260,NA,NA,stubble,
APPILA_S1_P3123_R2,2023,11,11,Barley,NA,NA,success,sale,220,NA,NA,stubble,
APPILA_S1_P3123_R3,2023,11,11,Barley,NA,NA,success,sale,440,NA,NA,stubble,
APPILA_S2_P1212_R1,2023,11,11,Lentil,NA,NA,success,sale,10,NA,NA,stubble,
APPILA_S2_P1212_R2,2023,11,11,Lentil,NA,NA,success,sale,390,NA,NA,stubble,
APPILA_S2_P1212_R3,2023,11,11,Lentil,NA,NA,fail_pests,sale,0,NA,NA,stubble,
APPILA_S2_P2121_R1,2023,11,11,Wheat,NA,NA,success,sale,640,NA,NA,stubble,
APPILA_S2_P2121_R2,2023,11,11,Wheat,NA,NA,success,sale,650,NA,NA,stubble,
APPILA_S2_P2121_R3,2023,11,11,Wheat,NA,NA,fail_pests,sale,0,NA,NA,stubble,
APPILA_S3_P1234_R1,2023,11,11,Lentil,NA,NA,success,sale,50,NA,NA,stubble,
APPILA_S3_P1234_R2,2023,11,11,Lentil,NA,NA,success,sale,40,NA,NA,stubble,
APPILA_S3_P1234_R3,2023,11,11,Lentil,NA,NA,success,sale,20,NA,NA,stubble,
APPILA_S3_P2341_R1,2023,11,11,Canola,NA,NA,fail_pests,sale,0,NA,NA,stubble,
APPILA_S3_P2341_R2,2023,11,11,Canola,NA,NA,success,sale,100,NA,NA,stubble,
APPILA_S3_P2341_R3,2023,11,11,Canola,NA,NA,success,sale,100,NA,NA,stubble,
APPILA_S3_P3412_R1,2023,11,11,Wheat,NA,NA,success,sale,550,NA,NA,stubble,
APPILA_S3_P3412_R2,2023,11,11,Wheat,NA,NA,success,sale,730,NA,NA,stubble,
APPILA_S3_P3412_R3,2023,11,11,Wheat,NA,NA,success,sale,660,NA,NA,stubble,
APPILA_S3_P4123_R1,2023,11,11,Wheat,NA,NA,success,sale,550,NA,NA,stubble,
APPILA_S3_P4123_R2,2023,11,11,Wheat,NA,NA,success,sale,630,NA,NA,stubble,
APPILA_S3_P4123_R3,2023,11,11,Wheat,NA,NA,success,sale,610,NA,NA,stubble,
APPILA_S4_P1231_R1,2023,11,11,Vetch ,Oat,NA,success,fodder,70,0,NA,stubble,
APPILA_S4_P1231_R2,2023,11,11,Vetch ,Oat,NA,success,fodder,210,0,NA,stubble,
APPILA_S4_P1231_R3,2023,11,11,Vetch ,Oat,NA,success,fodder,280,0,NA,stubble,
APPILA_S4_P2312_R1,2023,11,11,Wheat,NA,NA,success,sale,590,NA,NA,stubble,
APPILA_S4_P2312_R2,2023,11,11,Wheat,NA,NA,success,sale,590,NA,NA,stubble,
APPILA_S4_P2312_R3,2023,11,11,Wheat,NA,NA,success,sale,580,NA,NA,stubble,
APPILA_S4_P3123_R1,2023,11,11,Wheat,NA,NA,fail_pests,sale,0,NA,NA,stubble,
APPILA_S4_P3123_R2,2023,11,11,Wheat,NA,NA,success,sale,580,NA,NA,stubble,
APPILA_S4_P3123_R3,2023,11,11,Wheat,NA,NA,success,sale,820,NA,NA,stubble,
APPILA_S5_P0000_R1,2023,11,11,Wheat,NA,NA,success,sale,510,NA,NA,stubble,
APPILA_S5_P0000_R2,2023,11,11,Wheat,NA,NA,success,sale,580,NA,NA,stubble,
APPILA_S5_P0000_R3,2023,11,11,Wheat,NA,NA,success,sale,550,NA,NA,stubble,
APPILA_S6_P0000_R1,2023,11,11,Canola,NA,NA,success,sale,110,NA,NA,stubble,
APPILA_S6_P0000_R2,2023,11,11,Canola,NA,NA,success,sale,100,NA,NA,stubble,
APPILA_S6_P0000_R3,2023,11,11,Canola,NA,NA,success,sale,60,NA,NA,stubble,
