,site,plot,year,annual_plot_operational_costs_dollars,annual_plot_material_input_costs_dollars,annual_plot_revenue_dollars,annual_plot_gross_margin_dollars
0,hart,HART_S8_P4123_R3,2023,290.0,246.75835,1150.05,613.2916499999999
1,hart,HART_S7_P2341_R3,2023,292.5,209.9862,790.152,287.66580000000005
2,hart,HART_S10.1_P2312_R2,2023,281.5,190.25835,927.3,455.54164999999995
3,hart,HART_S8_P1234_R2,2023,292.5,222.5193,931.45,416.43070000000006
4,hart,HART_S6_P4123_R3,2023,290.0,235.75835,1207.794,682.03565
5,hart,HART_S1.3_P3123_R2,2023,290.0,258.75835,939.594,390.83565000000004
6,hart,HART_S4.1_P3412_R2,2023,301.0,215.00179999999997,334.014,-181.98779999999996
7,hart,HART_S1.1_P1231_R2,2023,292.5,222.5193,857.35,342.33070000000004
8,hart,HART_S2.2_P0000_R1,2023,290.0,264.25835,1190.64,636.38165
9,hart,HART_S10.2_P3123_R1,2023,290.0,213.25835,1319.246,815.98765
10,hart,HART_S4.3_P4123_R3,2023,290.0,258.75835,1142.234,593.4756499999999
11,hart,HART_S9_P2341_R2,2023,301.0,236.50179999999997,289.852,-247.6498
12,hart,HART_S9_P1234_R1,2023,325.5,235.9362,0.0,-561.4362
13,hart,HART_S10.2_P2312_R3,2023,290.0,218.75835,950.73,441.97165
14,hart,HART_S2.1_P0000_R3,2023,290.0,238.25835,1432.2,903.94165
15,hart,HART_S6_P4123_R1,2023,290.0,235.75835,1334.444,808.6856499999999
16,hart,HART_S1.2_P1231_R2,2023,292.5,222.5193,1045.2,530.1807000000001
17,hart,HART_S10.2_P3123_R3,2023,290.0,213.25835,1258.156,754.8976499999999
18,hart,HART_S9_P4123_R2,2023,290.0,235.75835,1130.0159999999998,604.2576499999998
19,hart,HART_S3_P1234_R1,2023,292.5,222.5193,984.75,469.7307
20,hart,HART_S6_P2341_R1,2023,301.0,236.50179999999997,311.0,-226.50179999999997
21,hart,HART_S9_P3412_R1,2023,290.0,246.75835,1082.4,545.64165
22,hart,HART_S10.3_P1231_R3,2023,281.5,227.7693,938.976,429.7067
23,hart,HART_S10.1_P1231_R3,2023,281.5,227.7693,949.408,440.13870000000003
24,hart,HART_S1.3_P1231_R3,2023,292.5,222.5193,810.5500000000001,295.5307000000001
25,hart,HART_S10.1_P1231_R1,2023,281.5,227.7693,793.39,284.1207
26,hart,HART_S6_P2341_R3,2023,301.0,236.50179999999997,388.128,-149.3738
27,hart,HART_S8_P3412_R1,2023,290.0,235.75835,1057.006,531.24765
28,hart,HART_S8_P4123_R2,2023,290.0,246.75835,898.59,361.83165
29,hart,HART_S8_P4123_R1,2023,290.0,246.75835,1116.39,579.63165
30,hart,HART_S7_P3412_R1,2023,290.0,246.75835,1249.71,712.95165
31,hart,HART_S4.2_P4123_R1,2023,290.0,235.75835,1000.386,474.62764999999996
32,hart,HART_S4.1_P2341_R3,2023,290.0,225.25835,1084.38,569.12165
33,hart,HART_S7_P3412_R2,2023,290.0,246.75835,930.6,393.84165
34,hart,HART_S1.2_P3123_R2,2023,290.0,235.75835,1005.154,479.39565
35,hart,HART_S2.1_P0000_R1,2023,290.0,238.25835,1337.16,808.90165
36,hart,HART_S2.3_P0000_R1,2023,290.0,285.75835,1461.24,885.48165
37,hart,HART_S4.3_P2341_R3,2023,290.0,259.75835,1106.16,556.40165
38,hart,HART_S1.1_P1231_R3,2023,292.5,222.5193,1015.3,500.28069999999997
39,hart,HART_S5_P0000_R9,2023,292.5,222.5193,787.15,272.1307
40,hart,HART_S9_P3412_R2,2023,290.0,246.75835,807.1800000000001,270.42165000000006
41,hart,HART_S3_P3412_R2,2023,292.5,222.5193,1014.65,499.6307
42,hart,HART_S2.3_P0000_R3,2023,290.0,285.75835,1222.98,647.22165
