plotID,errorLocation,errorType,errorMsg
MANANG_S8.2_P3123_R1,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S8.2_BUFFER_R1,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S4_BUFFER_R1,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S4_P1234_R1,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S4_BUFFER_R1,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S9_BUFFER_R1,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S9_P3123_R1,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S9_BUFFER_R1,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S9_BUFFER_R1,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S9_P2312_R1,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S9_BUFFER_R1,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S8.1_BUFFER_R1,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S8.1_P3123_R1,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S8.1_BUFFER_R1,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S9_BUFFER_R2,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S9_P2312_R2,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S9_BUFFER_R2,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S4_BUFFER_R2,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S4_P1234_R2,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S4_BUFFER_R2,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S8.1_BUFFER_R2,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S8.1_P3123_R2,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S8.1_BUFFER_R2,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S9_BUFFER_R2,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S9_P3123_R2,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S9_BUFFER_R2,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S8.2_BUFFER_R2,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S8.2_P3123_R2,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S8.2_BUFFER_R2,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S9_BUFFER_R3,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S9_P3123_R3,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S9_BUFFER_R3,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S9_BUFFER_R3,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S9_P2312_R3,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S9_BUFFER_R3,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S8.2_BUFFER_R3,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S8.2_P3123_R3,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
MANANG_S8.2_BUFFER_R3,"('name',)",value_error,"Value error, Fertiliser product Granulock SZ Blend & Flutriafol (400ml/100kg) must be defined in the 'fertProductData' table in '..sgr_data//data'"
