plotID,errorLocation,errorType,errorMsg
MANANG_S1.1_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.1_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
MANANG_S1.1_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.1_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
MANANG_S1.2_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.2_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
MANANG_S1.2_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.2_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
MANANG_S1.3_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.3_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
MANANG_S1.3_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.3_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
MANANG_S1.1_P1231_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.1_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
MANANG_S1.1_P1231_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.1_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
MANANG_S1.2_P1231_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.2_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
MANANG_S1.2_P1231_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.2_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
MANANG_S1.3_P1231_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.3_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
MANANG_S1.3_P1231_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.3_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
MANANG_S1.1_P1231_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.1_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
MANANG_S1.1_P1231_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.1_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
MANANG_S1.2_P1231_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.2_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
MANANG_S1.2_P1231_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.2_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
MANANG_S1.3_P1231_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.3_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
MANANG_S1.3_P1231_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.3_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
