plotID,errorLocation,errorType,errorMsg
STREATHAM_S2.3_BUFFER_R1,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.3_P4123_R1,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.3_BUFFER_R1,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.2_BUFFER_R1,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.2_P4123_R1,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.2_BUFFER_R1,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.4_BUFFER_R1,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.4_P4123_R1,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.4_BUFFER_R1,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S3_BUFFER_R1,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S3_P4123_R1,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S3_BUFFER_R1,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.1_BUFFER_R1,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.1_P4123_R1,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.1_BUFFER_R1,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.1_BUFFER_R2,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.1_P4123_R2,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.1_BUFFER_R2,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.2_BUFFER_R2,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.2_P4123_R2,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.2_BUFFER_R2,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S3_BUFFER_R2,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S3_P4123_R2,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S3_BUFFER_R2,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.4_BUFFER_R2,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.4_P4123_R2,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.4_BUFFER_R2,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.3_BUFFER_R2,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.3_P4123_R2,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.3_BUFFER_R2,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.1_BUFFER_R3,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.1_P4123_R3,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.1_BUFFER_R3,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.2_BUFFER_R3,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.2_P4123_R3,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.2_BUFFER_R3,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.4_BUFFER_R3,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.4_P4123_R3,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.4_BUFFER_R3,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.3_BUFFER_R3,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.3_P4123_R3,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.3_BUFFER_R3,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S3_BUFFER_R3,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S3_P4123_R3,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S3_BUFFER_R3,"('name',)",value_error,"Value error, Fungicide product Aviatoir Xpro must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.1_P3412_R1,"('name',)",value_error,"Value error, Fungicide product Soprano 125 must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.1_P3412_R2,"('name',)",value_error,"Value error, Fungicide product Soprano 125 must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.1_P3412_R3,"('name',)",value_error,"Value error, Fungicide product Soprano 125 must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S1.1_P1212_R1,"('name',)",value_error,"Value error, Fungicide product Soprano 125 must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S1.1_P1212_R2,"('name',)",value_error,"Value error, Fungicide product Soprano 125 must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S1.1_P1212_R3,"('name',)",value_error,"Value error, Fungicide product Soprano 125 must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.4_P3412_R1,"('name',)",value_error,"Value error, Fungicide product Soprano 125 must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.4_P3412_R2,"('name',)",value_error,"Value error, Fungicide product Soprano 125 must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.4_P3412_R3,"('name',)",value_error,"Value error, Fungicide product Soprano 125 must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.1_P2341_R1,"('name',)",value_error,"Value error, Fungicide product Soprano 125 must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.1_P2341_R2,"('name',)",value_error,"Value error, Fungicide product Soprano 125 must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.1_P2341_R3,"('name',)",value_error,"Value error, Fungicide product Soprano 125 must be defined in the 'FungicideProductData' table in '.../sgr_data/data'"
