plotID,errorLocation,errorType,errorMsg
STREATHAM_S9.2_BUFFER_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S9.2_P2121_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S9.2_BUFFER_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S4_BUFFER_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S4_P3123_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S4_BUFFER_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S6.1_BUFFER_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S6.1_P2312_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S6.1_BUFFER_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.2_BUFFER_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.2_P1234_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.2_BUFFER_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.1_BUFFER_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.1_P3412_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S2.1_BUFFER_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S8_BUFFER_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S8_P3123_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S8_BUFFER_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S1.4_BUFFER_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
STREATHAM_S1.4_P2121_R1,"('name',)",value_error,"Value error, Pesticide product Metarex Inov must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
