plotID,errorLocation,errorType,errorMsg
HART_S2.1_P0000_R1,checkPlotState,<class 'ValueError'>,Plot HART_S2.1_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S7_P3412_R1,checkPlotState,<class 'ValueError'>,Plot HART_S7_P3412_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S10.2_P2312_R1,checkPlotState,<class 'ValueError'>,Plot HART_S10.2_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S7_P4123_R1,checkPlotState,<class 'ValueError'>,Plot HART_S7_P4123_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S4.2_P3412_R1,checkPlotState,<class 'ValueError'>,Plot HART_S4.2_P3412_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S6_P3412_R1,checkPlotState,<class 'ValueError'>,Plot HART_S6_P3412_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S2.3_P0000_R1,checkPlotState,<class 'ValueError'>,Plot HART_S2.3_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S10.1_P3123_R1,checkPlotState,<class 'ValueError'>,Plot HART_S10.1_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S10.2_P3123_R1,checkPlotState,<class 'ValueError'>,Plot HART_S10.2_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S4.3_P3412_R1,checkPlotState,<class 'ValueError'>,Plot HART_S4.3_P3412_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S10.3_P3123_R1,checkPlotState,<class 'ValueError'>,Plot HART_S10.3_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S1.2_P2312_R1,checkPlotState,<class 'ValueError'>,Plot HART_S1.2_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S4.2_P1234_R1,checkPlotState,<class 'ValueError'>,Plot HART_S4.2_P1234_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S9_P3412_R1,checkPlotState,<class 'ValueError'>,Plot HART_S9_P3412_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S10.1_P1231_R2,checkPlotState,<class 'ValueError'>,Plot HART_S10.1_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S2.3_P0000_R2,checkPlotState,<class 'ValueError'>,Plot HART_S2.3_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S4.3_P1234_R2,checkPlotState,<class 'ValueError'>,Plot HART_S4.3_P1234_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S1.2_P1231_R2,checkPlotState,<class 'ValueError'>,Plot HART_S1.2_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S4.2_P3412_R2,checkPlotState,<class 'ValueError'>,Plot HART_S4.2_P3412_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S3_P3412_R2,checkPlotState,<class 'ValueError'>,Plot HART_S3_P3412_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S9_P4123_R2,checkPlotState,<class 'ValueError'>,Plot HART_S9_P4123_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S9_P2341_R2,checkPlotState,<class 'ValueError'>,Plot HART_S9_P2341_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S7_P2341_R2,checkPlotState,<class 'ValueError'>,Plot HART_S7_P2341_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S6_P3412_R2,checkPlotState,<class 'ValueError'>,Plot HART_S6_P3412_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S6_P4123_R2,checkPlotState,<class 'ValueError'>,Plot HART_S6_P4123_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S4.1_P2341_R2,checkPlotState,<class 'ValueError'>,Plot HART_S4.1_P2341_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S7_P1234_R2,checkPlotState,<class 'ValueError'>,Plot HART_S7_P1234_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S7_P3412_R2,checkPlotState,<class 'ValueError'>,Plot HART_S7_P3412_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S1.1_P2312_R3,checkPlotState,<class 'ValueError'>,Plot HART_S1.1_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
HART_S4.3_P3412_R3,checkPlotState,<class 'ValueError'>,Plot HART_S4.3_P3412_R3 is already in a fallow state. You cannot terminate a fallow state
HART_S4.1_P1234_R3,checkPlotState,<class 'ValueError'>,Plot HART_S4.1_P1234_R3 is already in a fallow state. You cannot terminate a fallow state
HART_S1.2_P1231_R3,checkPlotState,<class 'ValueError'>,Plot HART_S1.2_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
HART_S10.2_P1231_R3,checkPlotState,<class 'ValueError'>,Plot HART_S10.2_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
HART_S3_P1234_R3,checkPlotState,<class 'ValueError'>,Plot HART_S3_P1234_R3 is already in a fallow state. You cannot terminate a fallow state
HART_S7_P4123_R3,checkPlotState,<class 'ValueError'>,Plot HART_S7_P4123_R3 is already in a fallow state. You cannot terminate a fallow state
HART_S7_P1234_R3,checkPlotState,<class 'ValueError'>,Plot HART_S7_P1234_R3 is already in a fallow state. You cannot terminate a fallow state
HART_S5_P0000_R3,checkPlotState,<class 'ValueError'>,Plot HART_S5_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
HART_S8_P2341_R3,checkPlotState,<class 'ValueError'>,Plot HART_S8_P2341_R3 is already in a fallow state. You cannot terminate a fallow state
HART_S1.2_P3123_R3,checkPlotState,<class 'ValueError'>,Plot HART_S1.2_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
HART_S4.2_P2341_R3,checkPlotState,<class 'ValueError'>,Plot HART_S4.2_P2341_R3 is already in a fallow state. You cannot terminate a fallow state
HART_S7_P2341_R3,checkPlotState,<class 'ValueError'>,Plot HART_S7_P2341_R3 is already in a fallow state. You cannot terminate a fallow state
HART_S8_P4123_R3,checkPlotState,<class 'ValueError'>,Plot HART_S8_P4123_R3 is already in a fallow state. You cannot terminate a fallow state
HART_S1.3_P1231_R1,checkPlotState,<class 'ValueError'>,Plot HART_S1.3_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S4.1_P3412_R1,checkPlotState,<class 'ValueError'>,Plot HART_S4.1_P3412_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S1.3_P2312_R1,checkPlotState,<class 'ValueError'>,Plot HART_S1.3_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S1.2_P3123_R1,checkPlotState,<class 'ValueError'>,Plot HART_S1.2_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S1.1_P1231_R1,checkPlotState,<class 'ValueError'>,Plot HART_S1.1_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S8_P4123_R1,checkPlotState,<class 'ValueError'>,Plot HART_S8_P4123_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S7_P1234_R1,checkPlotState,<class 'ValueError'>,Plot HART_S7_P1234_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S5_P0000_R1,checkPlotState,<class 'ValueError'>,Plot HART_S5_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S4.1_P1234_R1,checkPlotState,<class 'ValueError'>,Plot HART_S4.1_P1234_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S4.1_P2341_R1,checkPlotState,<class 'ValueError'>,Plot HART_S4.1_P2341_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S6_P2341_R1,checkPlotState,<class 'ValueError'>,Plot HART_S6_P2341_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S1.1_P3123_R1,checkPlotState,<class 'ValueError'>,Plot HART_S1.1_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S9_P4123_R1,checkPlotState,<class 'ValueError'>,Plot HART_S9_P4123_R1 is already in a fallow state. You cannot terminate a fallow state
HART_S10.1_P2312_R2,checkPlotState,<class 'ValueError'>,Plot HART_S10.1_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S10.3_P1231_R2,checkPlotState,<class 'ValueError'>,Plot HART_S10.3_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S1.2_P2312_R2,checkPlotState,<class 'ValueError'>,Plot HART_S1.2_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S1.1_P2312_R2,checkPlotState,<class 'ValueError'>,Plot HART_S1.1_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S10.2_P1231_R2,checkPlotState,<class 'ValueError'>,Plot HART_S10.2_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S10.2_P2312_R2,checkPlotState,<class 'ValueError'>,Plot HART_S10.2_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S8_P3412_R2,checkPlotState,<class 'ValueError'>,Plot HART_S8_P3412_R2 is already in a fallow state. You cannot terminate a fallow state
HART_S5_P0000_R2,checkPlotState,<class 'ValueError'>,Plot HART_S5_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
