plotID,errorLocation,errorType,errorMsg
STREATHAM_S10_P2121_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S10_P2121_R1 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S10_P2121_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S10_P2121_R2 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S10_P2121_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S10_P2121_R3 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S11_P0000_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S11_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S11_P0000_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S11_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S11_P0000_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S11_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S13_P0000_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S13_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S13_P0000_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S13_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S13_P0000_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S13_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S3_P1234_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S3_P1234_R1 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S3_P2341_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S3_P2341_R1 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S3_P3412_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S3_P3412_R1 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S3_P4123_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S3_P4123_R1 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S3_P1234_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S3_P1234_R2 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S3_P2341_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S3_P2341_R2 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S3_P3412_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S3_P3412_R2 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S3_P4123_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S3_P4123_R2 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S3_P1234_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S3_P1234_R3 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S3_P2341_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S3_P2341_R3 is already in a fallow state. You cannot terminate a fallow state
STREATHAM_S3_P3412_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S3_P3412_R3 is already in a fallow state. You cannot terminate a fallow state
