plotID,errorLocation,errorType,errorMsg
MANANG_S8.1_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.1_P2312_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S6_P1111_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S6_P1111_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S5_P2341_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S5_P2341_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S8.2_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P1231_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S8.1_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.1_P1231_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S1.1_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.1_P1231_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S5_P1234_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S5_P1234_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S11_P1212_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S11_P1212_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S9_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S9_P1231_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S1.3_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.3_P1231_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S5_P3412_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S5_P3412_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S8.2_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P2312_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S1.2_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.2_P1231_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S10.1_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S10.1_P1231_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S4_P3412_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S4_P3412_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S1.2_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.2_P2312_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S10.2_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S10.2_P2312_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S2_P1212_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S2_P1212_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S1.3_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.3_P2312_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S3_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S3_P2312_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S6_P1111_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S6_P1111_R2 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S1.1_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.1_P2312_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S10.2_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S10.2_P1231_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S4_P2341_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S4_P2341_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S7_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S7_P2312_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S10.1_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S10.1_P2312_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S3_P2312_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S3_P2312_R2 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S8.2_P2312_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P2312_R2 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S8.2_P1231_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S8.2_P1231_R2 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
MANANG_S1.3_P2312_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.3_P2312_R2 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
