plotID,errorLocation,errorType,errorMsg
STREATHAM_S1.1_P1212_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.1_P1212_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S1.1_P1212_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.1_P1212_R2 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S1.1_P1212_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.1_P1212_R3 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S1.2_P1212_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.2_P1212_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S1.2_P1212_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.2_P1212_R2 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S1.2_P1212_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.2_P1212_R3 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S1.4_P1212_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.4_P1212_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S1.4_P1212_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.4_P1212_R2 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S1.4_P1212_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.4_P1212_R3 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S2.1_P3412_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.1_P3412_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S2.1_P2341_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.1_P2341_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S2.1_P2341_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.1_P2341_R2 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S2.1_P3412_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.1_P3412_R2 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S2.1_P2341_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.1_P2341_R3 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S2.1_P3412_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.1_P3412_R3 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S2.2_P3412_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.2_P3412_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S2.2_P2341_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.2_P2341_R1 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S2.2_P3412_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.2_P3412_R2 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S2.2_P2341_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.2_P2341_R2 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S2.2_P2341_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.2_P2341_R3 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
STREATHAM_S2.2_P3412_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S2.2_P3412_R3 is already sown to a crop and no termination event has been recorded yet. Please enter a termination record first.
