plotID,errorLocation,errorType,errorMsg
WALLUP_S1_P1231_R1,checkPlotState,<class 'ValueError'>,Plot WALLUP_S1_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S1_P1231_R2,checkPlotState,<class 'ValueError'>,Plot WALLUP_S1_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S1_P1231_R3,checkPlotState,<class 'ValueError'>,Plot WALLUP_S1_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S1_P2312_R1,checkPlotState,<class 'ValueError'>,Plot WALLUP_S1_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S1_P2312_R2,checkPlotState,<class 'ValueError'>,Plot WALLUP_S1_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S1_P2312_R3,checkPlotState,<class 'ValueError'>,Plot WALLUP_S1_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S1_P3123_R1,checkPlotState,<class 'ValueError'>,Plot WALLUP_S1_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S1_P3123_R2,checkPlotState,<class 'ValueError'>,Plot WALLUP_S1_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S1_P3123_R3,checkPlotState,<class 'ValueError'>,Plot WALLUP_S1_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S2_P1234_R1,checkPlotState,<class 'ValueError'>,Plot WALLUP_S2_P1234_R1 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S2_P1234_R2,checkPlotState,<class 'ValueError'>,Plot WALLUP_S2_P1234_R2 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S2_P1234_R3,checkPlotState,<class 'ValueError'>,Plot WALLUP_S2_P1234_R3 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S2_P2341_R1,checkPlotState,<class 'ValueError'>,Plot WALLUP_S2_P2341_R1 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S2_P2341_R2,checkPlotState,<class 'ValueError'>,Plot WALLUP_S2_P2341_R2 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S2_P2341_R3,checkPlotState,<class 'ValueError'>,Plot WALLUP_S2_P2341_R3 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S2_P3412_R1,checkPlotState,<class 'ValueError'>,Plot WALLUP_S2_P3412_R1 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S2_P3412_R2,checkPlotState,<class 'ValueError'>,Plot WALLUP_S2_P3412_R2 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S2_P3412_R3,checkPlotState,<class 'ValueError'>,Plot WALLUP_S2_P3412_R3 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S2_P4123_R1,checkPlotState,<class 'ValueError'>,Plot WALLUP_S2_P4123_R1 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S2_P4123_R2,checkPlotState,<class 'ValueError'>,Plot WALLUP_S2_P4123_R2 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S2_P4123_R3,checkPlotState,<class 'ValueError'>,Plot WALLUP_S2_P4123_R3 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S3_P1234_R1,checkPlotState,<class 'ValueError'>,Plot WALLUP_S3_P1234_R1 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S3_P1234_R2,checkPlotState,<class 'ValueError'>,Plot WALLUP_S3_P1234_R2 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S3_P1234_R3,checkPlotState,<class 'ValueError'>,Plot WALLUP_S3_P1234_R3 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S3_P2341_R1,checkPlotState,<class 'ValueError'>,Plot WALLUP_S3_P2341_R1 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S3_P2341_R2,checkPlotState,<class 'ValueError'>,Plot WALLUP_S3_P2341_R2 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S3_P2341_R3,checkPlotState,<class 'ValueError'>,Plot WALLUP_S3_P2341_R3 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S3_P3412_R1,checkPlotState,<class 'ValueError'>,Plot WALLUP_S3_P3412_R1 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S3_P3412_R2,checkPlotState,<class 'ValueError'>,Plot WALLUP_S3_P3412_R2 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S3_P3412_R3,checkPlotState,<class 'ValueError'>,Plot WALLUP_S3_P3412_R3 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S3_P4123_R1,checkPlotState,<class 'ValueError'>,Plot WALLUP_S3_P4123_R1 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S3_P4123_R2,checkPlotState,<class 'ValueError'>,Plot WALLUP_S3_P4123_R2 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S3_P4123_R3,checkPlotState,<class 'ValueError'>,Plot WALLUP_S3_P4123_R3 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S4_P1231_R1,checkPlotState,<class 'ValueError'>,Plot WALLUP_S4_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S4_P1231_R2,checkPlotState,<class 'ValueError'>,Plot WALLUP_S4_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S4_P1231_R3,checkPlotState,<class 'ValueError'>,Plot WALLUP_S4_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S4_P2312_R1,checkPlotState,<class 'ValueError'>,Plot WALLUP_S4_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S4_P2312_R2,checkPlotState,<class 'ValueError'>,Plot WALLUP_S4_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S4_P2312_R3,checkPlotState,<class 'ValueError'>,Plot WALLUP_S4_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S4_P3123_R1,checkPlotState,<class 'ValueError'>,Plot WALLUP_S4_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S4_P3123_R2,checkPlotState,<class 'ValueError'>,Plot WALLUP_S4_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
WALLUP_S4_P3123_R3,checkPlotState,<class 'ValueError'>,Plot WALLUP_S4_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
