plotID,errorLocation,errorType,errorMsg
WARRAMBINE_S1_P1212_R1,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S1_P1212_R1 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S1_P1212_R2,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S1_P1212_R2 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S1_P1212_R3,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S1_P1212_R3 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S1_P2121_R1,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S1_P2121_R1 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S1_P2121_R2,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S1_P2121_R2 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S1_P2121_R3,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S1_P2121_R3 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S2_P1231_R1,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S2_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S2_P1231_R2,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S2_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S2_P1231_R3,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S2_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S2_P2312_R1,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S2_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S2_P2312_R2,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S2_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S2_P2312_R3,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S2_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S2_P3123_R1,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S2_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S2_P3123_R2,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S2_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S2_P3123_R3,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S2_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S3_P1231_R1,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S3_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S3_P1231_R2,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S3_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S3_P1231_R3,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S3_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S3_P2312_R1,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S3_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S3_P2312_R2,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S3_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S3_P2312_R3,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S3_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S3_P3123_R1,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S3_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S3_P3123_R2,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S3_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S3_P3123_R3,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S3_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S4_P1231_R1,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S4_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S4_P1231_R2,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S4_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S4_P1231_R3,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S4_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S4_P2312_R1,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S4_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S4_P2312_R2,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S4_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S4_P2312_R3,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S4_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S4_P3123_R1,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S4_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S4_P3123_R2,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S4_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S4_P3123_R3,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S4_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S5_P1231_R1,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S5_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S5_P1231_R2,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S5_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S5_P1231_R3,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S5_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S5_P2312_R1,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S5_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S5_P2312_R2,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S5_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S5_P2312_R3,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S5_P2312_R3 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S5_P3123_R1,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S5_P3123_R1 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S5_P3123_R2,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S5_P3123_R2 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S5_P3123_R3,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S5_P3123_R3 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S6_P0000_R1,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S6_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S6_P0000_R2,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S6_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S6_P0000_R3,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S6_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S7_P0000_R1,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S7_P0000_R1 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S7_P0000_R2,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S7_P0000_R2 is already in a fallow state. You cannot terminate a fallow state
WARRAMBINE_S7_P0000_R3,checkPlotState,<class 'ValueError'>,Plot WARRAMBINE_S7_P0000_R3 is already in a fallow state. You cannot terminate a fallow state
