,plotID,errorLocation,errorType,errorMsg
0,HART_S2.1_P0000_R1,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
1,HART_S7_P3412_R1,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
2,HART_S10.2_P2312_R1,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
3,HART_S4.2_P3412_R1,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
4,HART_S6_P3412_R1,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
5,HART_S2.3_P0000_R1,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
6,HART_S4.3_P3412_R1,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
7,HART_S1.2_P2312_R1,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
8,HART_S4.2_P1234_R1,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
9,HART_S9_P3412_R1,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
10,HART_S10.1_P1231_R2,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
11,HART_S2.3_P0000_R2,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
12,HART_S4.3_P1234_R2,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
13,HART_S1.2_P1231_R2,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
14,HART_S4.2_P3412_R2,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
15,HART_S3_P3412_R2,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
16,HART_S9_P4123_R2,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
17,HART_S9_P2341_R2,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
18,HART_S7_P2341_R2,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
19,HART_S6_P3412_R2,"('name',)",value_error,"Value error, Pesticide product Chlorpyrifos 500 must be defined in the 'pesticideProductData' table in '.../sgr_data/data'"
