,plotID,errorLocation,errorType,errorMsg
0,MANANG_S8.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S8.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
1,MANANG_S8.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S8.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
2,MANANG_S6_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S6_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
3,MANANG_S6_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S6_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
4,MANANG_S5_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S5_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
5,MANANG_S5_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S5_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
6,MANANG_S8.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S8.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
7,MANANG_S8.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S8.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
8,MANANG_S8.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S8.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
9,MANANG_S8.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S8.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
10,MANANG_S1.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S1.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
11,MANANG_S1.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S1.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
12,MANANG_S5_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S5_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
13,MANANG_S5_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S5_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
14,MANANG_S11_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S11_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
15,MANANG_S11_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S11_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
16,MANANG_S9_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S9_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
17,MANANG_S9_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S9_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
18,MANANG_S1.3_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S1.3_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
19,MANANG_S1.3_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S1.3_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
20,MANANG_S5_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S5_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
21,MANANG_S5_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S5_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
22,MANANG_S8.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S8.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
23,MANANG_S8.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S8.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
24,MANANG_S1.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S1.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
25,MANANG_S1.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S1.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
26,MANANG_S10.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S10.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
27,MANANG_S10.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S10.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
28,MANANG_S4_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S4_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
29,MANANG_S4_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S4_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
30,MANANG_S1.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S1.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
31,MANANG_S1.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S1.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
32,MANANG_S7_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S7_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
33,MANANG_S7_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S7_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
34,MANANG_S10.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S10.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
35,MANANG_S10.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S10.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
36,MANANG_S2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
37,MANANG_S2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
38,MANANG_S1.3_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S1.3_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
39,MANANG_S1.3_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S1.3_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
40,MANANG_S3_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S3_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
41,MANANG_S3_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S3_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
42,MANANG_S6_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S6_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
43,MANANG_S6_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S6_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
44,MANANG_S1.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S1.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
45,MANANG_S1.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S1.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
46,MANANG_S10.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S10.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
47,MANANG_S10.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S10.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
48,MANANG_S4_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S4_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
49,MANANG_S4_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S4_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
50,MANANG_S7_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S7_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
51,MANANG_S7_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S7_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
52,MANANG_S10.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S10.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
53,MANANG_S10.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S10.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
54,MANANG_S3_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S3_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
55,MANANG_S3_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S3_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
56,MANANG_S8.2_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S8.2_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
57,MANANG_S8.2_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S8.2_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
58,MANANG_S8.2_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S8.2_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
59,MANANG_S1.3_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S1.3_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
60,MANANG_S1.3_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S1.3_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
61,MANANG_S2_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S2_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
62,MANANG_S2_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S2_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
63,MANANG_S1.2_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S1.2_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
64,MANANG_S1.2_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forMANANG_S1.2_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
