,plotID,errorLocation,errorType,errorMsg
0,MANANG_S1.1_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.1_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
1,MANANG_S1.1_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.1_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
2,MANANG_S1.2_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.2_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
3,MANANG_S1.2_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.2_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
4,MANANG_S1.3_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.3_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
5,MANANG_S1.3_P1231_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.3_P1231_R1 is already in a fallow state. You cannot terminate a fallow state
6,MANANG_S1.1_P1231_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.1_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
7,MANANG_S1.1_P1231_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.1_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
8,MANANG_S1.2_P1231_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.2_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
9,MANANG_S1.2_P1231_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.2_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
10,MANANG_S1.3_P1231_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.3_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
11,MANANG_S1.3_P1231_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.3_P1231_R2 is already in a fallow state. You cannot terminate a fallow state
12,MANANG_S1.1_P1231_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.1_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
13,MANANG_S1.1_P1231_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.1_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
14,MANANG_S1.2_P1231_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.2_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
15,MANANG_S1.2_P1231_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.2_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
16,MANANG_S1.3_P1231_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.3_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
17,MANANG_S1.3_P1231_R3,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.3_P1231_R3 is already in a fallow state. You cannot terminate a fallow state
18,MANANG_S1.1_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.1_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
19,MANANG_S1.1_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.1_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
20,MANANG_S1.2_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.2_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
21,MANANG_S1.2_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.2_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
22,MANANG_S1.3_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.3_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
23,MANANG_S1.3_P2312_R1,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.3_P2312_R1 is already in a fallow state. You cannot terminate a fallow state
24,MANANG_S1.1_P2312_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.1_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
25,MANANG_S1.1_P2312_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.1_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
26,MANANG_S1.2_P2312_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.2_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
27,MANANG_S1.2_P2312_R2,checkPlotState,<class 'ValueError'>,Plot MANANG_S1.2_P2312_R2 is already in a fallow state. You cannot terminate a fallow state
