,plotID,errorLocation,errorType,errorMsg
0,STREATHAM_S6.1_P3123_R1,"('name',)",value_error,"Value error, Herbicide product Stomp Xtra must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
1,STREATHAM_S6.1_P3123_R2,"('name',)",value_error,"Value error, Herbicide product Stomp Xtra must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
2,STREATHAM_S6.1_P3123_R3,"('name',)",value_error,"Value error, Herbicide product Stomp Xtra must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
3,STREATHAM_S6.2_P3123_R1,"('name',)",value_error,"Value error, Herbicide product Stomp Xtra must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
4,STREATHAM_S6.2_P3123_R2,"('name',)",value_error,"Value error, Herbicide product Stomp Xtra must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
5,STREATHAM_S6.2_P3123_R3,"('name',)",value_error,"Value error, Herbicide product Stomp Xtra must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
6,STREATHAM_S6.1_P3123_R1,"('name',)",value_error,"Value error, Herbicide product Select Xtra (& Hasten) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
7,STREATHAM_S6.1_P3123_R2,"('name',)",value_error,"Value error, Herbicide product Select Xtra (& Hasten) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
8,STREATHAM_S6.1_P3123_R3,"('name',)",value_error,"Value error, Herbicide product Select Xtra (& Hasten) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
9,STREATHAM_S6.2_P3123_R1,"('name',)",value_error,"Value error, Herbicide product Select Xtra (& Hasten) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
10,STREATHAM_S6.2_P3123_R2,"('name',)",value_error,"Value error, Herbicide product Select Xtra (& Hasten) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
11,STREATHAM_S6.2_P3123_R3,"('name',)",value_error,"Value error, Herbicide product Select Xtra (& Hasten) must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
12,STREATHAM_S6.1_P1231_R1,"('name',)",value_error,"Value error, Herbicide product Liaise must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
13,STREATHAM_S6.1_P1231_R2,"('name',)",value_error,"Value error, Herbicide product Liaise must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
14,STREATHAM_S6.1_P1231_R3,"('name',)",value_error,"Value error, Herbicide product Liaise must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
15,STREATHAM_S6.2_P1231_R1,"('name',)",value_error,"Value error, Herbicide product Liaise must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
16,STREATHAM_S6.2_P1231_R2,"('name',)",value_error,"Value error, Herbicide product Liaise must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
17,STREATHAM_S6.2_P1231_R3,"('name',)",value_error,"Value error, Herbicide product Liaise must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
18,STREATHAM_S5_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Mateno Complete must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
19,STREATHAM_S5_P2312_R1,"('name',)",value_error,"Value error, Herbicide product Mateno Complete must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
20,STREATHAM_S5_BUFFER_R1,"('name',)",value_error,"Value error, Herbicide product Mateno Complete must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
21,STREATHAM_S5_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Mateno Complete must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
22,STREATHAM_S5_P2312_R2,"('name',)",value_error,"Value error, Herbicide product Mateno Complete must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
23,STREATHAM_S5_BUFFER_R2,"('name',)",value_error,"Value error, Herbicide product Mateno Complete must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
24,STREATHAM_S5_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Mateno Complete must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
25,STREATHAM_S5_P2312_R3,"('name',)",value_error,"Value error, Herbicide product Mateno Complete must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
26,STREATHAM_S5_BUFFER_R3,"('name',)",value_error,"Value error, Herbicide product Mateno Complete must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
27,STREATHAM_S2.1_P3412_R1,"('name',)",value_error,"Value error, Herbicide product Precept must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
28,STREATHAM_S2.1_P3412_R2,"('name',)",value_error,"Value error, Herbicide product Precept must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
29,STREATHAM_S2.1_P3412_R3,"('name',)",value_error,"Value error, Herbicide product Precept must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
30,STREATHAM_S1.1_P1212_R1,"('name',)",value_error,"Value error, Herbicide product Precept must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
31,STREATHAM_S1.1_P1212_R2,"('name',)",value_error,"Value error, Herbicide product Precept must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
32,STREATHAM_S1.1_P1212_R3,"('name',)",value_error,"Value error, Herbicide product Precept must be defined in the 'herbicideProductData' table in '.../sgr_data/data'"
