,plotID,errorLocation,errorType,errorMsg
0,STREATHAM_S1.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
1,STREATHAM_S1.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
2,STREATHAM_S1.1_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.1_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
3,STREATHAM_S1.1_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.1_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
4,STREATHAM_S1.1_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.1_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
5,STREATHAM_S1.1_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.1_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
6,STREATHAM_S1.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
7,STREATHAM_S1.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
8,STREATHAM_S1.2_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.2_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
9,STREATHAM_S1.2_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.2_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
10,STREATHAM_S1.2_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.2_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
11,STREATHAM_S1.2_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.2_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
12,STREATHAM_S1.4_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.4_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
13,STREATHAM_S1.4_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.4_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
14,STREATHAM_S1.4_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.4_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
15,STREATHAM_S1.4_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.4_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
16,STREATHAM_S1.4_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.4_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
17,STREATHAM_S1.4_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S1.4_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
18,STREATHAM_S2.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
19,STREATHAM_S2.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
20,STREATHAM_S2.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
21,STREATHAM_S2.1_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
22,STREATHAM_S2.1_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
23,STREATHAM_S2.1_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
24,STREATHAM_S2.1_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
25,STREATHAM_S2.1_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
26,STREATHAM_S2.1_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
27,STREATHAM_S2.1_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
28,STREATHAM_S2.1_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
29,STREATHAM_S2.1_BUFFER_R3,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.1_BUFFER_R3. Please ensure a starting state is initiated for ALL plots prior to data entry
30,STREATHAM_S2.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
31,STREATHAM_S2.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
32,STREATHAM_S2.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
33,STREATHAM_S2.2_BUFFER_R1,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.2_BUFFER_R1. Please ensure a starting state is initiated for ALL plots prior to data entry
34,STREATHAM_S2.2_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.2_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
35,STREATHAM_S2.2_BUFFER_R2,checkPlotState,<class 'ValueError'>,There is no entry in the plot state data forSTREATHAM_S2.2_BUFFER_R2. Please ensure a starting state is initiated for ALL plots prior to data entry
