,plotID,errorLocation,errorType,errorMsg
0,STREATHAM_S1.1_P1212_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.1_P1212_R1 is already in a fallow state. You cannot terminate a fallow state
1,STREATHAM_S1.3_P1212_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.3_P1212_R1 is already in a fallow state. You cannot terminate a fallow state
2,STREATHAM_S1.4_P1212_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.4_P1212_R1 is already in a fallow state. You cannot terminate a fallow state
3,STREATHAM_S1.2_P1212_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.2_P1212_R1 is already in a fallow state. You cannot terminate a fallow state
4,STREATHAM_S1.2_P1212_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.2_P1212_R2 is already in a fallow state. You cannot terminate a fallow state
5,STREATHAM_S1.3_P1212_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.3_P1212_R2 is already in a fallow state. You cannot terminate a fallow state
6,STREATHAM_S1.4_P1212_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.4_P1212_R2 is already in a fallow state. You cannot terminate a fallow state
7,STREATHAM_S1.1_P1212_R2,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.1_P1212_R2 is already in a fallow state. You cannot terminate a fallow state
8,STREATHAM_S1.2_P1212_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.2_P1212_R3 is already in a fallow state. You cannot terminate a fallow state
9,STREATHAM_S1.1_P1212_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.1_P1212_R3 is already in a fallow state. You cannot terminate a fallow state
10,STREATHAM_S1.3_P1212_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.3_P1212_R3 is already in a fallow state. You cannot terminate a fallow state
11,STREATHAM_S1.4_P1212_R3,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.4_P1212_R3 is already in a fallow state. You cannot terminate a fallow state
12,STREATHAM_S1.4_P2121_R1,checkPlotState,<class 'ValueError'>,Plot STREATHAM_S1.4_P2121_R1 is already in a fallow state. You cannot terminate a fallow state
