,site,plot,year,annual_plot_operational_costs_dollars,annual_plot_material_input_costs_dollars,annual_plot_revenue_dollars,annual_plot_gross_margin_dollars
0,hart,HART_S2.3_P0000_R3,2024,213.0,220.76499213000002,360.1926,-73.57239213
1,hart,HART_S2.3_P0000_R3,2023,202.0,285.75834999999995,1222.98,735.2216500000001
2,hart,HART_S4.3_P4123_R3,2024,204.5,280.32439999999997,794.3000000000001,309.4756000000001
3,hart,HART_S4.3_P4123_R3,2023,202.0,258.75835000000006,1142.234,681.4756499999999
4,hart,HART_S4.3_P2341_R2,2024,221.5,312.07172099999997,14.928,-518.6437209999999
5,hart,HART_S4.3_P2341_R2,2023,202.0,259.75834999999995,859.6500000000001,397.89165000000014
6,hart,HART_S6_P4123_R2,2024,204.5,280.3244,519.35,34.5256
7,hart,HART_S6_P4123_R2,2023,202.0,235.75835,1082.932,645.17365
8,hart,HART_S1.3_BUFFER_R2,2024,11.0,114.0,0.0,-125.0
9,hart,HART_S4.3_P3412_R1,2024,213.0,243.27791397000001,19.966,-436.31191397
10,hart,HART_S4.3_P3412_R1,2023,213.0,249.5018,359.516,-102.98579999999998
11,hart,HART_S10.2_BUFFER_R3,2024,11.0,114.0,0.0,-125.0
12,hart,HART_S1.1_P3123_R1,2024,204.5,280.3244,453.05,-31.774400000000014
13,hart,HART_S1.1_P3123_R1,2023,202.0,235.75835,1053.728,615.96965
14,hart,HART_S1.2_P1231_R1,2024,213.0,240.61067411000002,689.37,235.75932588999999
15,hart,HART_S1.2_P1231_R1,2023,204.5,222.5193,804.0500000000001,377.0307000000001
16,hart,HART_S10.3_P3123_R1,2024,202.0,285.12695128,216.456,-270.67095128000005
17,hart,HART_S10.3_P3123_R1,2023,202.0,235.75835,1287.062,849.3036499999998
18,hart,HART_S10.2_P1231_R1,2024,213.0,288.74418625,342.54,-159.20418624999996
19,hart,HART_S10.2_P1231_R1,2023,204.5,227.7693,911.618,479.34870000000006
20,hart,HART_S10.2_P3123_R3,2024,202.0,264.42584117,166.488,-299.93784117
21,hart,HART_S10.2_P3123_R3,2023,202.0,213.25835,1258.156,842.8976499999999
22,hart,HART_S10.1_P2312_R2,2024,213.0,231.16680829999999,235.718,-208.4488083
23,hart,HART_S10.1_P2312_R2,2023,193.5,190.25835,927.3,543.5416499999999
24,hart,HART_S3_P4123_R2,2024,204.5,280.3244,605.8000000000001,120.97560000000004
25,hart,HART_S3_P4123_R2,2023,202.0,235.75835,985.188,547.42965
26,hart,HART_S1.2_P3123_R2,2024,204.5,280.3244,383.5,-101.32440000000003
27,hart,HART_S1.2_P3123_R2,2023,202.0,235.75834999999998,1005.154,567.39565
28,hart,HART_S9_P1234_R3,2024,221.5,273.51599999999996,209.614,-285.40199999999993
29,hart,HART_S9_P1234_R3,2023,204.5,235.9362,0.0,-440.4362
30,hart,HART_S10.1_P3123_R2,2024,193.5,241.29500000000002,502.428,67.63299999999998
31,hart,HART_S10.1_P3123_R2,2023,193.5,190.25835,1044.788,661.02965
32,hart,HART_S10.1_P2312_R3,2024,213.0,231.16680829999999,328.992,-115.17480829999997
33,hart,HART_S10.1_P2312_R3,2023,193.5,190.25835,869.88,486.12165
34,hart,HART_S1.3_P2312_R1,2024,213.0,268.85439999999994,40.23,-441.6243999999999
35,hart,HART_S1.3_P2312_R1,2023,202.0,259.75835,1148.4,686.64165
36,hart,HART_S4.2_BUFFER_R1,2024,11.0,152.0,0.0,-163.0
37,hart,HART_S1.1_P2312_R1,2024,213.0,243.85440000000003,203.236,-253.61840000000004
38,hart,HART_S1.1_P2312_R1,2023,202.0,246.75835,1097.91,649.15165
39,hart,HART_S4.2_P2341_R1,2024,221.5,275.424870683,120.668,-376.256870683
40,hart,HART_S4.2_P2341_R1,2023,202.0,246.75834999999998,830.94,382.1816500000001
41,hart,HART_S3_P3412_R1,2024,213.0,193.85440000000003,766.754,359.89959999999996
42,hart,HART_S3_P3412_R1,2023,204.5,222.5193,1044.55,617.5307
43,hart,HART_S4.1_P2341_R1,2024,221.5,292.733718125,88.946,-425.28771812499997
44,hart,HART_S4.1_P2341_R1,2023,202.0,225.25834999999998,903.54,476.28165
