,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,plot_revenue_dollars,plot_gross_margin_dollars,,Zeros,NAS
0,manang,MANANG_S1.2_P3123_R2,2023,1,191,434.32,1053.36,428.04,,0,0
1,manang,MANANG_S1.2_P3123_R2,2024,2,193.5,189.3017,260,-122.8017,,0,0
2,manang,MANANG_S8.1_P3123_R3,2023,1,202,434.32,1104.51,468.19,,0,0
3,manang,MANANG_S8.1_P3123_R3,2024,2,204.5,215.8022,0,-420.3022,,0,0
4,manang,MANANG_S9_P1231_R2,2023,1,226.5,524.5,0,-751,,0,0
5,manang,MANANG_S9_P1231_R2,2024,2,221.5,362.7083543,759,174.7916458,,0,0
6,manang,MANANG_S9_P1231_R1,2023,1,237.5,524.5,0,-762,,0,0
7,manang,MANANG_S9_P1231_R1,2024,2,221.5,362.7083543,231,-353.2083543,,0,0
8,manang,MANANG_S4_P4123_R2,2023,1,202,434.32,942.48,306.16,,0,0
9,manang,MANANG_S4_P4123_R2,2024,2,193.5,189.3017,260,-122.8017,,0,0
10,manang,MANANG_S10.1_P3123_R2,2023,1,204.5,409.82,1138.83,524.51,,0,0
11,manang,MANANG_S10.1_P3123_R2,2024,2,193.5,207.1572,561,160.3428,,0,0
12,manang,MANANG_S2_P2121_R1,2023,1,191,434.32,1271.82,646.5,,0,0
13,manang,MANANG_S2_P2121_R1,2024,2,193.5,189.3017,195,-187.8017,,0,0
14,manang,MANANG_S1.3_P3123_R2,2023,1,202,479.32,913.44,232.12,,0,0
15,manang,MANANG_S1.3_P3123_R2,2024,2,193.5,189.3017,325,-57.8017,,0,0
16,manang,MANANG_S1.2_P3123_R3,2023,1,191,434.32,1215.72,590.4,,0,0
17,manang,MANANG_S1.2_P3123_R3,2024,2,193.5,189.3017,1625,1242.1983,,0,0
18,manang,MANANG_S10.1_P2312_R3,2023,1,193.5,409.82,1116.39,513.07,,0,0
19,manang,MANANG_S10.1_P2312_R3,2024,2,230,398.2465015,792,163.7534985,,0,0
20,manang,MANANG_S1.1_P3123_R1,2023,1,213,458.82,1201.2,529.38,,0,0
21,manang,MANANG_S1.1_P3123_R1,2024,2,193.5,189.3017,130,-252.8017,,0,0
22,manang,MANANG_S10.2_P2312_R1,2023,1,180,434.32,1206.48,592.16,,0,0
23,manang,MANANG_S10.2_P2312_R1,2024,2,221.5,403.3494389,231,-393.8494389,,0,0
24,manang,MANANG_S8.2_P1231_R1,2023,1,226.5,524.5,0,-751,,0,0
25,manang,MANANG_S8.2_P1231_R1,2024,2,221.5,363.6054763,528,-57.1054763,,0,0
26,manang,MANANG_S3_P3123_R2,2023,1,202,434.32,1192.62,556.3,,0,0
27,manang,MANANG_S3_P3123_R2,2024,2,193.5,189.3017,1040,657.1983,,0,0
28,manang,MANANG_S11_P1212_R2,2023,1,213,448.4972,0,-661.4972,,0,0
29,manang,MANANG_S11_P1212_R2,2024,2,230,386.2641527,726,109.7358473,,0,0
30,manang,MANANG_S1.2_P2312_R2,2023,1,202,434.32,1267.53,631.21,,0,0
31,manang,MANANG_S1.2_P2312_R2,2024,2,230,405.9979634,231,-404.9979634,,0,0
32,manang,MANANG_S8.2_P3123_R1,2023,1,202,434.32,948.42,312.1,,0,0
33,manang,MANANG_S8.2_P3123_R1,2024,2,193.5,210.7522,0,-404.2522,,0,0
34,manang,MANANG_S13_P0000_R5,2023,1,171.5,513.1,785.586,100.986,,0,0
35,manang,MANANG_S13_P0000_R2,2023,1,182.5,513.1,732.094,36.494,,0,0
