,site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,crop_1_name,crop_2_name,crop_3_name,crop_1_yield,crop_2_yield,crop_3_yield,plot_revenue_dollars,plot_gross_margin_dollars
0,manang,MANANG_S12_P0000_R2,2023,1,259.5,412.09999999999997,canola,NA,NA,1391.0,NA,NA,865.202,193.60200000000003
1,manang,MANANG_S4_P2341_R2,2023,1,268.0,450.5,canola,NA,NA,1344.0,NA,NA,835.968,117.46799999999996
2,manang,MANANG_S6_P1111_R6,2023,1,268.0,434.32,wheat,NA,NA,2927.0,NA,NA,965.91,263.59
3,manang,MANANG_S7_P3123_R1,2023,1,268.0,434.32,wheat,NA,NA,3405.0,NA,NA,1123.65,421.3300000000001
4,manang,MANANG_S5_P1234_R2,2023,1,314.5,501.3472,lentil,NA,NA,1081.0,NA,NA,702.65,-113.19720000000001
5,manang,MANANG_S9_P1231_R2,2023,1,358.5,524.4999999999999,vetch,NA,NA,0.0,NA,NA,0.0,-882.9999999999999
6,manang,MANANG_S13_P0000_R8,2023,1,259.5,513.0999999999999,canola,NA,NA,1441.0,NA,NA,896.302,123.70200000000011
7,manang,MANANG_S8.1_P3123_R1,2023,1,268.0,434.32,wheat,NA,NA,3247.0,NA,NA,1071.51,369.19
8,manang,MANANG_S5_P2341_R1,2023,1,268.0,434.32,wheat,NA,NA,3121.0,NA,NA,1029.93,327.61000000000007
9,manang,MANANG_S7_P1231_R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,manang,MANANG_S1.3_P2312_R3,2023,1,268.0,479.32,wheat,NA,NA,3274.0,NA,NA,1080.42,333.1000000000001
11,manang,MANANG_S1.1_P1231_R2,2023,1,314.5,501.3472,lentil,NA,NA,720.0,NA,NA,468.0,-347.8472
12,manang,MANANG_S4_P4123_R3,2023,1,268.0,434.32,wheat,NA,NA,2910.0,NA,NA,960.3,257.97999999999996
13,manang,MANANG_S11_P1212_R2,2023,1,268.0,448.4972,wheat,vetch,NA,3386.0,0.0,NA,0.0,-716.4972
14,manang,MANANG_S10.1_P3123_R2,2023,1,259.5,409.82,wheat,NA,NA,3451.0,NA,NA,1138.8300000000002,469.51000000000016
15,manang,MANANG_S11_P1212_R1,2023,1,268.0,448.4972,wheat,vetch,NA,2935.0,0.0,NA,0.0,-716.4972
16,manang,MANANG_S8.2_P3123_R2,2023,1,268.0,434.32,wheat,NA,NA,3548.0,NA,NA,1170.84,468.5199999999999
17,manang,MANANG_S1.1_P1231_R3,2023,1,314.5,501.3472,lentil,NA,NA,1014.0,NA,NA,659.1,-156.74719999999996
18,manang,MANANG_S4_P3412_R1,2023,1,268.0,434.32,wheat,NA,NA,3138.0,NA,NA,1035.54,333.21999999999997
