site,plot,year,crop_sequence,operational_costs_dollars,material_input_costs_dollars,crop_1_name,crop_2_name,crop_3_name,crop_1_yield,crop_2_yield,crop_3_yield,plot_revenue_dollars,plot_gross_margin_dollars
roseworthy,ROSEWORTHY_S1.2_P2312_R3,2023,1,279,592.1894,wheat,NA,NA,3754,NA,NA,1238.8200000000002,367.6306000000002
roseworthy,ROSEWORTHY_S1.2_P2312_R3,2023,2,191,289.93600000000004,Barley,NA,NA,505.830062,NA,NA,150.7373585,-330.1986415
roseworthy,ROSEWORTHY_S8_P0121_R2,2024,1,182.5,394.53,Lentil,NA,NA,781.0964306,NA,NA,507.7126799,-69.31732011
roseworthy,ROSEWORTHY_S8_P0212_R2,2024,1,180,231.98,Canola,NA,NA,351.0925845,NA,NA,218.3795876,-193.6004124
roseworthy,ROSEWORTHY_S3_P1212_R2,2023,1,248.5,576.9044,vetch,NA,NA,5710,NA,NA,0,-825.4044
roseworthy,ROSEWORTHY_S3_P1212_R2,2023,2,182.5,249.936,Wheat,NA,NA,2112.562229,NA,NA,697.1455355700001,264.70953557000007
roseworthy,ROSEWORTHY_S4_P3123_R3,2023,1,377.625,558.6094,barley,fababean,NA,3853,432,NA,1381.474,445.2395999999999
roseworthy,ROSEWORTHY_S4_P3123_R3,2023,2,202.2392387,267.18,Canola,Field Pea,NA,713.4773054,76.09224071,NA,478.1004845,8.681245866259985
roseworthy,ROSEWORTHY_S2_P1212_R2,2023,1,281.5,786.8794,lentil,NA,NA,1460,NA,NA,949,-119.3794
roseworthy,ROSEWORTHY_S2_P1212_R2,2023,2,202,289.93600000000004,Wheat,NA,NA,1626.125553,NA,NA,536.6214324900001,44.68543249000004
roseworthy,ROSEWORTHY_S1.1_P2312_R1,2023,1,268,592.1894,wheat,NA,NA,5023,NA,NA,1657.59,797.4005999999999
roseworthy,ROSEWORTHY_S1.1_P2312_R1,2023,2,191,299.93600000000004,Barley,NA,NA,906.0226177,NA,NA,269.9947401,-220.9412599
roseworthy,ROSEWORTHY_S6_P0000_R1,2023,1,257,592.1894,wheat,NA,NA,5908,NA,NA,1949.64,1100.4506000000001
roseworthy,ROSEWORTHY_S6_P0000_R1,2023,2,202,258.456,Barley,NA,NA,17.98031466,NA,NA,5.358133769,-455.0978662
roseworthy,ROSEWORTHY_S2_P1212_R1,2023,1,281.5,786.8794,lentil,NA,NA,2030,NA,NA,1319.5,251.12059999999997
roseworthy,ROSEWORTHY_S2_P1212_R1,2023,2,202,289.93600000000004,Wheat,NA,NA,3604.886857,NA,NA,1189.612663,697.6766628
roseworthy,ROSEWORTHY_S1.2_P1231_R3,2023,1,270.5,786.8794,lentil,NA,NA,1479,NA,NA,961.35,-96.0294
roseworthy,ROSEWORTHY_S1.2_P1231_R3,2023,2,202,289.93600000000004,Wheat,NA,NA,1517.05563,NA,NA,500.6283579,8.6923579
roseworthy,ROSEWORTHY_S1.1_P1231_R2,2023,1,281.5,786.8794,lentil,NA,NA,1118,NA,NA,726.7,-341.6794
roseworthy,ROSEWORTHY_S1.1_P1231_R2,2023,2,202,299.93600000000004,Wheat,NA,NA,1880.223392,NA,NA,620.4737194,118.53771935999998
roseworthy,ROSEWORTHY_S3_P2121_R2,2023,1,257,592.1894,durum,NA,NA,4139,NA,NA,1771.492,922.3026
roseworthy,ROSEWORTHY_S3_P2121_R2,2023,2,182.5,298.45500000000004,Vetch,NA,NA,0,NA,NA,0,-480.955
roseworthy,ROSEWORTHY_S3_P2121_R1,2023,1,279,592.1894,durum,NA,NA,3678,NA,NA,1574.184,702.9946
roseworthy,ROSEWORTHY_S3_P2121_R1,2023,2,182.5,298.45500000000004,Vetch,NA,NA,0,NA,NA,0,-480.955
roseworthy,ROSEWORTHY_S1.2_P3123_R3,2023,1,268,592.1894,barley,NA,NA,5250,NA,NA,1564.5,704.3106
roseworthy,ROSEWORTHY_S1.2_P3123_R3,2023,2,193.5,478.53000000000003,Lentil,NA,NA,738.1863584,NA,NA,479.821133,-192.208867
roseworthy,ROSEWORTHY_S1.1_P3123_R3,2023,1,279,592.1894,barley,NA,NA,4717,NA,NA,1405.666,534.4766
roseworthy,ROSEWORTHY_S1.1_P3123_R3,2023,2,182.5,478.53,Lentil,NA,NA,972.8597488,NA,NA,632.3588367,-28.67116328
roseworthy,ROSEWORTHY_S1.2_P2312_R1,2023,1,268,592.1894,wheat,NA,NA,5590,NA,NA,1844.7,984.5106000000001
roseworthy,ROSEWORTHY_S1.2_P2312_R1,2023,2,202,289.93600000000004,Barley,NA,NA,2168.05411,NA,NA,646.0801248,154.14412477999997
roseworthy,ROSEWORTHY_S4_P2312_R2,2023,1,362.825,816.4513999999999,wheat,lentil,NA,3184,509,NA,1381.5700000000002,202.2936000000002
roseworthy,ROSEWORTHY_S4_P2312_R2,2023,2,216.3249454,232.98000000000002,Barley,Faba Bean,NA,1312.518549,40.47926526,NA,412.9893308,-36.31561451
roseworthy,ROSEWORTHY_S1.2_P1231_R1,2023,1,270.5,786.8794,lentil,NA,NA,1621,NA,NA,1053.65,-3.7294
roseworthy,ROSEWORTHY_S1.2_P1231_R1,2023,2,191,289.93600000000004,Wheat,NA,NA,2514.7697,NA,NA,829.874001,348.938001
roseworthy,ROSEWORTHY_S5_P0000_R1,2023,1,274,695.1294,canola,NA,NA,2031,NA,NA,1263.282,294.1525999999999
roseworthy,ROSEWORTHY_S5_P0000_R1,2023,2,193.5,249.936,Wheat,NA,NA,1998.62387,NA,NA,659.5458771,216.10987709999998
roseworthy,ROSEWORTHY_S2_P1212_R3,2023,1,270.5,786.8794,lentil,NA,NA,1572,NA,NA,1021.8,-35.5794
roseworthy,ROSEWORTHY_S2_P1212_R3,2023,2,191,289.93600000000004,Wheat,NA,NA,1901.376475,NA,NA,627.4542367500001,146.51823675000003
roseworthy,ROSEWORTHY_S1.2_P2312_R2,2023,1,279,592.1894,wheat,NA,NA,5613,NA,NA,1852.29,981.1006
roseworthy,ROSEWORTHY_S1.2_P2312_R2,2023,2,202,289.93600000000004,Barley,NA,NA,1349.467718,NA,NA,402.14138,-89.79462004
roseworthy,ROSEWORTHY_S5_P0000_R3,2023,1,285,695.1294,canola,NA,NA,1587,NA,NA,987.114,6.9846
roseworthy,ROSEWORTHY_S5_P0000_R3,2023,2,182.5,249.936,Wheat,NA,NA,1721.2753,NA,NA,568.020849,135.584849
roseworthy,ROSEWORTHY_S2_P2121_R2,2023,1,268,592.1894,durum,NA,NA,3622,NA,NA,1550.216,690.0265999999999
roseworthy,ROSEWORTHY_S2_P2121_R2,2023,2,182.5,478.53000000000003,Lentil,NA,NA,1027.153223,NA,NA,667.649595,6.619594950000021
roseworthy,ROSEWORTHY_S8_P0212_R1,2024,1,180,231.98,Canola,NA,NA,281.232493,NA,NA,174.92661064599997,-237.0533894
roseworthy,ROSEWORTHY_S1.1_P2312_R2,2023,1,268,592.1894,wheat,NA,NA,5104,NA,NA,1684.3200000000002,824.1306000000002
roseworthy,ROSEWORTHY_S1.1_P2312_R2,2023,2,191,299.93600000000004,Barley,NA,NA,1522.301299,NA,NA,453.6457871,-37.2902129
roseworthy,ROSEWORTHY_S8_P0212_R3,2024,1,180,231.98,Canola,NA,NA,604.6134156,NA,NA,376.0695445,-35.9104555
roseworthy,ROSEWORTHY_S3_P1212_R3,2023,1,259.5,576.9044,vetch,NA,NA,6330,NA,NA,0,-836.4044
roseworthy,ROSEWORTHY_S3_P1212_R3,2023,2,193.5,249.936,Wheat,NA,NA,1854.611657,NA,NA,612.0218468,168.58584681000005
roseworthy,ROSEWORTHY_S6_P0000_R3,2023,1,268,592.1894,wheat,NA,NA,3493,NA,NA,1152.69,292.5006000000001
roseworthy,ROSEWORTHY_S6_P0000_R3,2023,2,191,258.456,Barley,NA,NA,2.568529201,NA,NA,0.765421702,-448.6905783
roseworthy,ROSEWORTHY_S5_P0000_R2,2023,1,274,695.1294,canola,NA,NA,2091,NA,NA,1300.602,331.47260000000006
roseworthy,ROSEWORTHY_S5_P0000_R2,2023,2,193.5,249.936,Wheat,NA,NA,1515.454483,NA,NA,500.0999794,56.66397938999998
roseworthy,ROSEWORTHY_S2_P2121_R1,2023,1,268,592.1894,durum,NA,NA,3394,NA,NA,1452.632,592.4426000000001
roseworthy,ROSEWORTHY_S2_P2121_R1,2023,2,193.5,478.53000000000003,Lentil,NA,NA,1024.675325,NA,NA,666.0389612499999,-5.99103875
roseworthy,ROSEWORTHY_S4_P2312_R1,2023,1,365.65,816.4513999999999,wheat,lentil,NA,3361,445,NA,1398.38,216.2786000000001
roseworthy,ROSEWORTHY_S4_P2312_R1,2023,2,209.0000458,232.98000000000002,Barley,Faba Bean,NA,1034.812322,25.18951048,NA,321.97640761519995,-120.0036382
roseworthy,ROSEWORTHY_S4_P1231_R3,2023,1,343.5,579.2794,canola,fieldpea,NA,711,1769,NA,1240.061,317.2815999999999
roseworthy,ROSEWORTHY_S4_P1231_R3,2023,2,225.3234046,439.23,Wheat,Lentil,NA,1683.995518,28.94066583,NA,574.5299537,-90.02345087
roseworthy,ROSEWORTHY_S4_P3123_R1,2023,1,376.2,558.6094,barley,fababean,NA,3668,560,NA,1395.464,460.65459999999985
roseworthy,ROSEWORTHY_S4_P3123_R1,2023,2,213.2570623,267.18,Canola,Field Pea,NA,954.4021304,275.8803634,NA,718.060169,237.62310665720003
roseworthy,ROSEWORTHY_S4_P1231_R1,2023,1,341.525,579.2794,canola,fieldpea,NA,951,1450,NA,1245.4720000000002,324.6676000000002
roseworthy,ROSEWORTHY_S4_P1231_R1,2023,2,219.45653937999998,439.23,Wheat,Lentil,NA,1426.589818,51.6717572,NA,504.3612821,-154.3252573
roseworthy,ROSEWORTHY_S7_P0000_R1,2023,1,279,6808.229399999999,durum,NA,NA,3288,NA,NA,1407.264,-5679.9654
roseworthy,ROSEWORTHY_S7_P0000_R1,2023,2,182.5,10348.086,Barley,NA,NA,2207.692597,NA,NA,657.8923939,-9872.693606
roseworthy,ROSEWORTHY_S7_P0000_R3,2023,1,257,6808.229399999999,durum,NA,NA,4197,NA,NA,1796.316,-5268.9134
roseworthy,ROSEWORTHY_S7_P0000_R3,2023,2,182.5,10348.086,Barley,NA,NA,621.166068,NA,NA,185.1074883,-10345.47851
roseworthy,ROSEWORTHY_S3_P1212_R1,2023,1,248.5,576.9044,vetch,NA,NA,5090,NA,NA,0,-825.4044
roseworthy,ROSEWORTHY_S3_P1212_R1,2023,2,193.5,249.936,Wheat,NA,NA,2397.176471,NA,NA,791.0682354300001,347.63223543000004
roseworthy,ROSEWORTHY_S1.2_P1231_R2,2023,1,270.5,786.8794,lentil,NA,NA,1521,NA,NA,988.65,-68.7294
roseworthy,ROSEWORTHY_S1.2_P1231_R2,2023,2,191,289.93600000000004,Wheat,NA,NA,2127.111145,NA,NA,701.9466779,221.01067784999998
roseworthy,ROSEWORTHY_S4_P2312_R3,2023,1,370.9,816.4513999999999,wheat,lentil,NA,3499,517,NA,1490.72,303.36860000000024
roseworthy,ROSEWORTHY_S4_P2312_R3,2023,2,207.6648082,232.98000000000002,Barley,Faba Bean,NA,1419.594828,26.99750164,NA,437.6179096,-3.026898611
roseworthy,ROSEWORTHY_S6_P0000_R2,2023,1,279,592.1894,wheat,NA,NA,5306,NA,NA,1750.98,879.7906
roseworthy,ROSEWORTHY_S6_P0000_R2,2023,2,191,258.456,Barley,NA,NA,10.81680468,NA,NA,3.223407795,-446.2325922
roseworthy,ROSEWORTHY_S1.1_P3123_R2,2023,1,257,592.1894,barley,NA,NA,5447,NA,NA,1623.206,774.0165999999999
