PLOT_ID,Site,System ID,Phase ID,Replicate ID,System detailed description,System category
APPILA_S1_P1231_R1,APPILA,S1,P1231,R1,"Detailed system category (e.g. ""Streatham baseline W-B-W"")",Baseline
APPILA_S1_P1231_R2,APPILA,S1,P1231,R2,,Baseline
APPILA_S1_P1231_R3,APPILA,S1,P1231,R3,,Baseline
APPILA_S1_P2312_R1,APPILA,S1,P2312,R1,,Baseline
APPILA_S1_P2312_R2,APPILA,S1,P2312,R2,,Baseline
APPILA_S1_P2312_R3,APPILA,S1,P2312,R3,,Baseline
APPILA_S1_P3123_R1,APPILA,S1,P3123,R1,,Baseline
APPILA_S1_P3123_R2,APPILA,S1,P3123,R2,,Baseline
APPILA_S1_P3123_R3,APPILA,S1,P3123,R3,,Baseline
APPILA_S2_P1212_R1,APPILA,S2,P1212,R1,,More pulses
APPILA_S2_P1212_R2,APPILA,S2,P1212,R2,,More pulses
APPILA_S2_P1212_R3,APPILA,S2,P1212,R3,,More pulses
APPILA_S2_P2121_R1,APPILA,S2,P2121,R1,,More pulses
APPILA_S2_P2121_R2,APPILA,S2,P2121,R2,,More pulses
APPILA_S2_P2121_R3,APPILA,S2,P2121,R3,,More pulses
APPILA_S3_P1234_R1,APPILA,S3,P1234,R1,,Pulse-canola
APPILA_S3_P1234_R2,APPILA,S3,P1234,R2,,Pulse-canola
APPILA_S3_P1234_R3,APPILA,S3,P1234,R3,,Pulse-canola
APPILA_S3_P2341_R1,APPILA,S3,P2341,R1,,Pulse-canola
APPILA_S3_P2341_R2,APPILA,S3,P2341,R2,,Pulse-canola
APPILA_S3_P2341_R3,APPILA,S3,P2341,R3,,Pulse-canola
APPILA_S3_P3412_R1,APPILA,S3,P3412,R1,,Pulse-canola
APPILA_S3_P3412_R2,APPILA,S3,P3412,R2,,Pulse-canola
APPILA_S3_P3412_R3,APPILA,S3,P3412,R3,,Pulse-canola
APPILA_S3_P4123_R1,APPILA,S3,P4123,R1,,Pulse-canola
APPILA_S3_P4123_R2,APPILA,S3,P4123,R2,,Pulse-canola
APPILA_S3_P4123_R3,APPILA,S3,P4123,R3,,Pulse-canola
APPILA_S4_P1231_R1,APPILA,S4,P1231,R1,,Hay
APPILA_S4_P1231_R2,APPILA,S4,P1231,R2,,Hay
APPILA_S4_P1231_R3,APPILA,S4,P1231,R3,,Hay
APPILA_S4_P2312_R1,APPILA,S4,P2312,R1,,Hay
APPILA_S4_P2312_R2,APPILA,S4,P2312,R2,,Hay
APPILA_S4_P2312_R3,APPILA,S4,P2312,R3,,Hay
APPILA_S4_P3123_R1,APPILA,S4,P3123,R1,,Hay
APPILA_S4_P3123_R2,APPILA,S4,P3123,R2,,Hay
APPILA_S4_P3123_R3,APPILA,S4,P3123,R3,,Hay
APPILA_S5_P0000_R1,APPILA,S5,P0000,R1,,Responsive: Adviser (risk-averse)
APPILA_S5_P0000_R2,APPILA,S5,P0000,R2,,Responsive: Adviser (risk-averse)
APPILA_S5_P0000_R3,APPILA,S5,P0000,R3,,Responsive: Adviser (risk-averse)
APPILA_S6_P0000_R1,APPILA,S6,P0000,R1,,Responsive: Adviser (risk-tolerant)
APPILA_S6_P0000_R2,APPILA,S6,P0000,R2,,Responsive: Adviser (risk-tolerant)
APPILA_S6_P0000_R3,APPILA,S6,P0000,R3,,Responsive: Adviser (risk-tolerant)
EDILLILIE_S1.1_P2121_R1,EDILLILIE,S1.1,P2121,R1,,Baseline (Std N)
EDILLILIE_S1.1_P1212_R1,EDILLILIE,S1.1,P1212,R1,,Baseline (Std N)
EDILLILIE_S1.1_P1212_R2,EDILLILIE,S1.1,P1212,R2,,Baseline (Std N)
EDILLILIE_S1.1_P1212_R3,EDILLILIE,S1.1,P1212,R3,,Baseline (Std N)
EDILLILIE_S1.1_P2121_R2,EDILLILIE,S1.1,P2121,R2,,Baseline (Std N)
EDILLILIE_S1.1_P2121_R3,EDILLILIE,S1.1,P2121,R3,,Baseline (Std N)
EDILLILIE_S1.2_P1212_R1,EDILLILIE,S1.2,P1212,R1,,Baseline (Dec 2 N)
EDILLILIE_S1.2_P1212_R2,EDILLILIE,S1.2,P1212,R2,,Baseline (Dec 2 N)
EDILLILIE_S1.2_P1212_R3,EDILLILIE,S1.2,P1212,R3,,Baseline (Dec 2 N)
EDILLILIE_S1.2_P2121_R1,EDILLILIE,S1.2,P2121,R1,,Baseline (Dec 2 N)
EDILLILIE_S1.2_P2121_R2,EDILLILIE,S1.2,P2121,R2,,Baseline (Dec 2 N)
EDILLILIE_S1.2_P2121_R3,EDILLILIE,S1.2,P2121,R3,,Baseline (Dec 2 N)
EDILLILIE_S1.3_P1212_R1,EDILLILIE,S1.3,P1212,R1,,Baseline (Dec 7 N)
EDILLILIE_S1.3_P1212_R2,EDILLILIE,S1.3,P1212,R2,,Baseline (Dec 7 N)
EDILLILIE_S1.3_P1212_R3,EDILLILIE,S1.3,P1212,R3,,Baseline (Dec 7 N)
EDILLILIE_S1.3_P2121_R1,EDILLILIE,S1.3,P2121,R1,,Baseline (Dec 7 N)
EDILLILIE_S1.3_P2121_R2,EDILLILIE,S1.3,P2121,R2,,Baseline (Dec 7 N)
EDILLILIE_S1.3_P2121_R3,EDILLILIE,S1.3,P2121,R3,,Baseline (Dec 7 N)
EDILLILIE_S2.1_P1234_R1,EDILLILIE,S2.1,P1234,R1,,Alternative pulse (Dec 2 N)
EDILLILIE_S2.1_P1234_R2,EDILLILIE,S2.1,P1234,R2,,Alternative pulse (Dec 2 N)
EDILLILIE_S2.1_P1234_R3,EDILLILIE,S2.1,P1234,R3,,Alternative pulse (Dec 2 N)
EDILLILIE_S2.1_P2341_R1,EDILLILIE,S2.1,P2341,R1,,Alternative pulse (Dec 2 N)
EDILLILIE_S2.1_P2341_R2,EDILLILIE,S2.1,P2341,R2,,Alternative pulse (Dec 2 N)
EDILLILIE_S2.1_P2341_R3,EDILLILIE,S2.1,P2341,R3,,Alternative pulse (Dec 2 N)
EDILLILIE_S2.1_P3412_R1,EDILLILIE,S2.1,P3412,R1,,Alternative pulse (Dec 2 N)
EDILLILIE_S2.1_P3412_R2,EDILLILIE,S2.1,P3412,R2,,Alternative pulse (Dec 2 N)
EDILLILIE_S2.1_P3412_R3,EDILLILIE,S2.1,P3412,R3,,Alternative pulse (Dec 2 N)
EDILLILIE_S2.1_P4123_R1,EDILLILIE,S2.1,P4123,R1,,Alternative pulse (Dec 2 N)
EDILLILIE_S2.1_P4123_R2,EDILLILIE,S2.1,P4123,R2,,Alternative pulse (Dec 2 N)
EDILLILIE_S2.1_P4123_R3,EDILLILIE,S2.1,P4123,R3,,Alternative pulse (Dec 2 N)
EDILLILIE_S2.2 _P2341_R1,EDILLILIE,S2.2,P2341,R1,,Alternative pulse (Dec 7 N)
EDILLILIE_S2.2_P1234_R1,EDILLILIE,S2.2,P1234,R1,,Alternative pulse (Dec 7 N)
EDILLILIE_S2.2_P1234_R2,EDILLILIE,S2.2,P1234,R2,,Alternative pulse (Dec 7 N)
EDILLILIE_S2.2_P1234_R3,EDILLILIE,S2.2,P1234,R3,,Alternative pulse (Dec 7 N)
EDILLILIE_S2.2_P2341_R2,EDILLILIE,S2.2,P2341,R2,,Alternative pulse (Dec 7 N)
EDILLILIE_S2.2_P2341_R3,EDILLILIE,S2.2,P2341,R3,,Alternative pulse (Dec 7 N)
EDILLILIE_S2.2_P3412_R1,EDILLILIE,S2.2,P3412,R1,,Alternative pulse (Dec 7 N)
EDILLILIE_S2.2_P3412_R2,EDILLILIE,S2.2,P3412,R2,,Alternative pulse (Dec 7 N)
EDILLILIE_S2.2_P3412_R3,EDILLILIE,S2.2,P3412,R3,,Alternative pulse (Dec 7 N)
EDILLILIE_S2.2_P4123_R1,EDILLILIE,S2.2,P4123,R1,,Alternative pulse (Dec 7 N)
