plot,site,system_category
STREATHAM_S1.2_P1212_R3,STREATHAM,Baseline (TOS1 & Mid N)
STREATHAM_S6.2_P1231_R1,STREATHAM,Pasture 1/3 (PastMix2)
STREATHAM_S4_P1231_R3,STREATHAM,Hay
STREATHAM_S13_P0000_R8,STREATHAM,Responsive: Persistent pasture
STREATHAM_S13_P0000_R7,STREATHAM,Responsive: Persistent pasture
STREATHAM_S5_P3123_R2,STREATHAM,More cereals
STREATHAM_S2.3_P2341_R3,STREATHAM,Pulse-canola (TOS2 & Mid N)
STREATHAM_S2.3_P4123_R1,STREATHAM,Pulse-canola (TOS2 & Mid N)
STREATHAM_S2.3_P3412_R3,STREATHAM,Pulse-canola (TOS2 & Mid N)
STREATHAM_S2.1_P4123_R1,STREATHAM,Pulse-canola (TOS1 & Low N)
STREATHAM_S6.1_P1231_R3,STREATHAM,Pasture 1/3 (PastMix1)
STREATHAM_S12_P0000_R9,STREATHAM,Responsive: Enhance soil health
STREATHAM_S2.2_P2341_R3,STREATHAM,Pulse-canola (TOS1 & Mid N)
STREATHAM_S7_P2341_R3,STREATHAM,Pasture 2/4
STREATHAM_S6.1_P2312_R3,STREATHAM,Pasture 1/3 (PastMix1)
STREATHAM_S5_P2312_R1,STREATHAM,More cereals
STREATHAM_S11_P0000_R8,STREATHAM,Responsive: Adviser (risk-neutral)
STREATHAM_S5_P3123_R3,STREATHAM,More cereals
STREATHAM_S2.3_P4123_R2,STREATHAM,Pulse-canola (TOS2 & Mid N)
STREATHAM_S3_P2341_R3,STREATHAM,More pulses
STREATHAM_S4_P2312_R1,STREATHAM,Hay
STREATHAM_S5_P2312_R2,STREATHAM,More cereals
STREATHAM_S6.2_P2312_R2,STREATHAM,Pasture 1/3 (PastMix2)
STREATHAM_S8_P3123_R1,STREATHAM,Winter cover cropping
STREATHAM_S3_P3412_R1,STREATHAM,More pulses
STREATHAM_S4_P2312_R2,STREATHAM,Hay
STREATHAM_S3_P1234_R3,STREATHAM,More pulses
STREATHAM_S6.1_P2312_R2,STREATHAM,Pasture 1/3 (PastMix1)
STREATHAM_S7_P1234_R1,STREATHAM,Pasture 2/4
STREATHAM_S6.1_P3123_R1,STREATHAM,Pasture 1/3 (PastMix1)
STREATHAM_S12_P0000_R6,STREATHAM,Responsive: Enhance soil health
STREATHAM_S10_P2121_R3,STREATHAM,Companion cropping frequent
STREATHAM_S5_P2312_R3,STREATHAM,More cereals
STREATHAM_S2.1_P1234_R1,STREATHAM,Pulse-canola (TOS1 & Low N)
STREATHAM_S8_P2312_R2,STREATHAM,Winter cover cropping
STREATHAM_S2.2_P1234_R1,STREATHAM,Pulse-canola (TOS1 & Mid N)
STREATHAM_S9.3_P1212_R1,STREATHAM,Intercropping (Full N intercrop)
STREATHAM_S6.1_P1231_R2,STREATHAM,Pasture 1/3 (PastMix1)
STREATHAM_S4_P1231_R1,STREATHAM,Hay
STREATHAM_S8_P1231_R1,STREATHAM,Winter cover cropping
STREATHAM_S2.2_P1234_R3,STREATHAM,Pulse-canola (TOS1 & Mid N)
STREATHAM_S1.2_P2121_R1,STREATHAM,Baseline (TOS1 & Mid N)
STREATHAM_S13_P0000_R2,STREATHAM,Responsive: Persistent pasture
STREATHAM_S13_P0000_R6,STREATHAM,Responsive: Persistent pasture
STREATHAM_S6.1_P2312_R1,STREATHAM,Pasture 1/3 (PastMix1)
STREATHAM_S12_P0000_R1,STREATHAM,Responsive: Enhance soil health
STREATHAM_S9.1_P2121_R2,STREATHAM,Intercropping (Nil N intercrop)
STREATHAM_S2.4_P4123_R3,STREATHAM,Pulse-canola (TOS1 & High N)
STREATHAM_S4_P3123_R2,STREATHAM,Hay
STREATHAM_S1.1_P2121_R2,STREATHAM,Baseline (TOS1 & Low N)
STREATHAM_S1.3_P2121_R3,STREATHAM,Baseline (TOS2 & Mid N)
STREATHAM_S2.1_P3412_R3,STREATHAM,Pulse-canola (TOS1 & Low N)
STREATHAM_S11_P0000_R1,STREATHAM,Responsive: Adviser (risk-neutral)
STREATHAM_S4_P1231_R2,STREATHAM,Hay
STREATHAM_S6.1_P3123_R2,STREATHAM,Pasture 1/3 (PastMix1)
STREATHAM_S10_P1212_R2,STREATHAM,Companion cropping frequent
STREATHAM_S2.2_P4123_R2,STREATHAM,Pulse-canola (TOS1 & Mid N)
STREATHAM_S7_P1234_R3,STREATHAM,Pasture 2/4
STREATHAM_S9.3_P2121_R3,STREATHAM,Intercropping (Full N intercrop)
STREATHAM_S9.2_P2121_R2,STREATHAM,Intercropping (Half N intercrop)
STREATHAM_S8_P3123_R2,STREATHAM,Winter cover cropping
STREATHAM_S1.1_P1212_R2,STREATHAM,Baseline (TOS1 & Low N)
STREATHAM_S2.4_P3412_R1,STREATHAM,Pulse-canola (TOS1 & High N)
STREATHAM_S1.3_P2121_R2,STREATHAM,Baseline (TOS2 & Mid N)
STREATHAM_S2.3_P1234_R1,STREATHAM,Pulse-canola (TOS2 & Mid N)
STREATHAM_S2.1_P2341_R2,STREATHAM,Pulse-canola (TOS1 & Low N)
STREATHAM_S10_P1212_R3,STREATHAM,Companion cropping frequent
STREATHAM_S1.3_P1212_R2,STREATHAM,Baseline (TOS2 & Mid N)
STREATHAM_S6.1_P3123_R3,STREATHAM,Pasture 1/3 (PastMix1)
STREATHAM_S2.1_P4123_R2,STREATHAM,Pulse-canola (TOS1 & Low N)
STREATHAM_S13_P0000_R9,STREATHAM,Responsive: Persistent pasture
STREATHAM_S1.1_P1212_R3,STREATHAM,Baseline (TOS1 & Low N)
STREATHAM_S11_P0000_R7,STREATHAM,Responsive: Adviser (risk-neutral)
STREATHAM_S9.3_P1212_R2,STREATHAM,Intercropping (Full N intercrop)
STREATHAM_S3_P2341_R1,STREATHAM,More pulses
STREATHAM_S2.2_P3412_R3,STREATHAM,Pulse-canola (TOS1 & Mid N)
STREATHAM_S8_P2312_R1,STREATHAM,Winter cover cropping
STREATHAM_S11_P0000_R9,STREATHAM,Responsive: Adviser (risk-neutral)
STREATHAM_S1.2_P2121_R2,STREATHAM,Baseline (TOS1 & Mid N)
STREATHAM_S13_P0000_R3,STREATHAM,Responsive: Persistent pasture
STREATHAM_S9.3_P2121_R1,STREATHAM,Intercropping (Full N intercrop)
STREATHAM_S3_P4123_R3,STREATHAM,More pulses
STREATHAM_S11_P0000_R5,STREATHAM,Responsive: Adviser (risk-neutral)
