plotID,year,month,day,name,unitsAppliedKgOrLitres,appliedAmount,comments
EDILLILIE_S1.1 _P2121_R1,2023,9,1,Amistar,L,0.4,0.4L/ha applied - Prophylactic control  sceptoria and powdery mildew control as per district practice 
EDILLILIE_S1.1 _P2121_R1,2023,5,29,Prosaro ,L,0.3,"0.3L/ha applied - Prophylactic control of septoria, powdery mildew, eyespot. In line with district practice GS 25"
EDILLILIE_S1.1_P1212_R1,2023,7,24,Aviator Xpro,L,0.6,0.6L/ha applied - Prophylactic control of UCI Blackleg in line with district practice. 
EDILLILIE_S1.1_P1212_R2,2023,7,24,Aviator Xpro,L,0.6,0.6L/ha applied - Prophylactic control of UCI Blackleg in line with district practice. 
EDILLILIE_S1.1_P1212_R3,2023,7,24,Aviator Xpro,L,0.6,0.6L/ha applied - Prophylactic control of UCI Blackleg in line with district practice. 
EDILLILIE_S1.1_P2121_R2,2023,9,1,Amistar,L,0.4,0.4L/ha applied - Prophylactic control  sceptoria and powdery mildew control as per district practice 
EDILLILIE_S1.1_P2121_R2,2023,5,29,Prosaro ,L,0.3,"0.3L/ha applied - Prophylactic control of septoria, powdery mildew, eyespot. In line with district practice GS 25"
EDILLILIE_S1.1_P2121_R3,2023,9,1,Amistar,L,0.4,0.4L/ha applied - Prophylactic control  sceptoria and powdery mildew control as per district practice 
EDILLILIE_S1.1_P2121_R3,2023,5,29,Prosaro ,L,0.3,"0.3L/ha applied - Prophylactic control of septoria, powdery mildew, eyespot. In line with district practice GS 25"
EDILLILIE_S1.2 _P1212_R1,2023,7,24,Aviator Xpro,L,0.6,0.6L/ha applied - Prophylactic control of UCI Blackleg in line with district practice. 
EDILLILIE_S1.2 _P1212_R2,2023,7,24,Aviator Xpro,L,0.6,0.6L/ha applied - Prophylactic control of UCI Blackleg in line with district practice. 
EDILLILIE_S1.2 _P1212_R3,2023,7,24,Aviator Xpro,L,0.6,0.6L/ha applied - Prophylactic control of UCI Blackleg in line with district practice. 
EDILLILIE_S1.2 _P2121_R1,2023,9,1,Amistar,L,0.4,0.4L/ha applied - Prophylactic control  sceptoria and powdery mildew control as per district practice 
EDILLILIE_S1.2 _P2121_R1,2023,5,29,Prosaro ,L,0.3,"0.3L/ha applied - Prophylactic control of septoria, powdery mildew, eyespot. In line with district practice GS 25"
EDILLILIE_S1.2 _P2121_R2,2023,9,1,Amistar,L,0.4,0.4L/ha applied - Prophylactic control  sceptoria and powdery mildew control as per district practice 
EDILLILIE_S1.2 _P2121_R2,2023,5,29,Prosaro ,L,0.3,"0.3L/ha applied - Prophylactic control of septoria, powdery mildew, eyespot. In line with district practice GS 25"
EDILLILIE_S1.2 _P2121_R3,2023,9,1,Amistar,L,0.4,0.4L/ha applied - Prophylactic control  sceptoria and powdery mildew control as per district practice 
EDILLILIE_S1.2 _P2121_R3,2023,5,29,Prosaro ,L,0.3,"0.3L/ha applied - Prophylactic control of septoria, powdery mildew, eyespot. In line with district practice GS 25"
EDILLILIE_S1.3_P1212_R1,2023,7,24,Aviator Xpro,L,0.6,0.6L/ha applied - Prophylactic control of UCI Blackleg in line with district practice. 
EDILLILIE_S1.3_P1212_R2,2023,7,24,Aviator Xpro,L,0.6,0.6L/ha applied - Prophylactic control of UCI Blackleg in line with district practice. 
EDILLILIE_S1.3_P1212_R3,2023,7,24,Aviator Xpro,L,0.6,0.6L/ha applied - Prophylactic control of UCI Blackleg in line with district practice. 
EDILLILIE_S1.3_P2121_R1,2023,9,1,Amistar,L,0.4,0.4L/ha applied - Prophylactic control  sceptoria and powdery mildew control as per district practice 
EDILLILIE_S1.3_P2121_R1,2023,5,29,Prosaro ,L,0.3,"0.3L/ha applied - Prophylactic control of septoria, powdery mildew, eyespot. In line with district practice GS 25"
EDILLILIE_S1.3_P2121_R2,2023,9,1,Amistar,L,0.4,0.4L/ha applied - Prophylactic control  sceptoria and powdery mildew control as per district practice 
EDILLILIE_S1.3_P2121_R2,2023,5,29,Prosaro ,L,0.3,"0.3L/ha applied - Prophylactic control of septoria, powdery mildew, eyespot. In line with district practice GS 25"
EDILLILIE_S1.3_P2121_R3,2023,9,1,Amistar,L,0.4,0.4L/ha applied - Prophylactic control  sceptoria and powdery mildew control as per district practice 
EDILLILIE_S1.3_P2121_R3,2023,5,29,Prosaro ,L,0.3,"0.3L/ha applied - Prophylactic control of septoria, powdery mildew, eyespot. In line with district practice GS 25"
EDILLILIE_S2.1_P1234_R1,2023,9,11,Carbendazim,L,0.5,0.5L/ha applied - Prophyictic control of botrytis  
EDILLILIE_S2.1_P1234_R2,2023,9,11,Carbendazim,L,0.5,0.5L/ha applied - Prophyictic control of botrytis  
EDILLILIE_S2.1_P1234_R3,2023,9,11,Carbendazim,L,0.5,0.5L/ha applied - Prophyictic control of botrytis  
EDILLILIE_S2.1_P2341_R1,2023,7,24,Aviator Xpro,L,0.6,0.6L/ha applied - Prophylactic control of UCI Blackleg in line with district practice. 
EDILLILIE_S2.1_P2341_R2,2023,7,24,Aviator Xpro,L,0.6,0.6L/ha applied - Prophylactic control of UCI Blackleg in line with district practice. 
EDILLILIE_S2.1_P2341_R3,2023,7,24,Aviator Xpro,L,0.6,0.6L/ha applied - Prophylactic control of UCI Blackleg in line with district practice. 
EDILLILIE_S2.1_P3412_R1,2023,9,1,Amistar,L,0.4,0.4L/ha applied - Prophylactic control  sceptoria and powdery mildew control as per district practice 
EDILLILIE_S2.1_P3412_R1,2023,5,29,Prosaro ,L,0.3,"0.3L/ha applied - Prophylactic control of septoria, powdery mildew, eyespot. In line with district practice GS 25"
EDILLILIE_S2.1_P3412_R2,2023,9,1,Amistar,L,0.4,0.4L/ha applied - Prophylactic control  sceptoria and powdery mildew control as per district practice 
EDILLILIE_S2.1_P3412_R2,2023,5,29,Prosaro ,L,0.3,"0.3L/ha applied - Prophylactic control of septoria, powdery mildew, eyespot. In line with district practice GS 25"
EDILLILIE_S2.1_P3412_R3,2023,9,1,Amistar,L,0.4,0.4L/ha applied - Prophylactic control  sceptoria and powdery mildew control as per district practice 
EDILLILIE_S2.1_P3412_R3,2023,5,29,Prosaro ,L,0.3,"0.3L/ha applied - Prophylactic control of septoria, powdery mildew, eyespot. In line with district practice GS 25"
EDILLILIE_S2.1_P4123_R1,2023,9,1,Amistar,L,0.4,0.4L/ha applied - Prophylactic control  sceptoria and powdery mildew control as per district practice 
EDILLILIE_S2.1_P4123_R1,2023,5,29,Prosaro ,L,0.3,"0.3L/ha applied - Prophylactic control of septoria, powdery mildew, eyespot. In line with district practice GS 25"
EDILLILIE_S2.1_P4123_R2,2023,9,1,Amistar,L,0.4,0.4L/ha applied - Prophylactic control  sceptoria and powdery mildew control as per district practice 
EDILLILIE_S2.1_P4123_R2,2023,5,29,Prosaro ,L,0.3,"0.3L/ha applied - Prophylactic control of septoria, powdery mildew, eyespot. In line with district practice GS 25"
EDILLILIE_S2.1_P4123_R3,2023,9,1,Amistar,L,0.4,0.4L/ha applied - Prophylactic control  sceptoria and powdery mildew control as per district practice 
EDILLILIE_S2.1_P4123_R3,2023,5,29,Prosaro ,L,0.3,"0.3L/ha applied - Prophylactic control of septoria, powdery mildew, eyespot. In line with district practice GS 25"
EDILLILIE_S2.2 _P2341_R1,2023,7,24,Aviator Xpro,L,0.6,0.6L/ha applied - Prophylactic control of UCI Blackleg in line with district practice. 
EDILLILIE_S2.2_P1234_R1,2023,9,11,Carbendazim,L,0.5,0.5L/ha applied - Prophyictic control of botrytis  
EDILLILIE_S2.2_P1234_R2,2023,9,11,Carbendazim,L,0.5,0.5L/ha applied - Prophyictic control of botrytis  
EDILLILIE_S2.2_P1234_R3,2023,9,11,Carbendazim,L,0.5,0.5L/ha applied - Prophyictic control of botrytis  
EDILLILIE_S2.2_P2341_R2,2023,7,24,Aviator Xpro,L,0.6,0.6L/ha applied - Prophylactic control of UCI Blackleg in line with district practice. 
EDILLILIE_S2.2_P2341_R3,2023,7,24,Aviator Xpro,L,0.6,0.6L/ha applied - Prophylactic control of UCI Blackleg in line with district practice. 
EDILLILIE_S2.2_P3412_R1,2023,9,1,Amistar,L,0.4,0.4L/ha applied - Prophylactic control  sceptoria and powdery mildew control as per district practice 
EDILLILIE_S2.2_P3412_R1,2023,5,29,Prosaro ,L,0.3,"0.3L/ha applied - Prophylactic control of septoria, powdery mildew, eyespot. In line with district practice GS 25"
EDILLILIE_S2.2_P3412_R2,2023,9,1,Amistar,L,0.4,0.4L/ha applied - Prophylactic control  sceptoria and powdery mildew control as per district practice 
EDILLILIE_S2.2_P3412_R2,2023,5,29,Prosaro ,L,0.3,"0.3L/ha applied - Prophylactic control of septoria, powdery mildew, eyespot. In line with district practice GS 25"
EDILLILIE_S2.2_P3412_R3,2023,9,1,Amistar,L,0.4,0.4L/ha applied - Prophylactic control  sceptoria and powdery mildew control as per district practice 
