plotID,year,month,day,name,targetPest,unitsAppliedKgOrLitres,appliedAmount,comments
EDILLILIE_S1.1 _P2121_R1,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S1.1_P1212_R1,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S1.1_P1212_R1,2023,5,29,Transcend,faw,kg,2,"2kg/ha applied to control Slugs, earwigs, snails "
EDILLILIE_S1.1_P1212_R1,2023,9,11,Alpha-scud,faw,L,0.1,0.1L/ha applied to control of native budworm 
EDILLILIE_S1.1_P1212_R2,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S1.1_P1212_R2,2023,5,29,Transcend,faw,kg,2,"2kg/ha applied to control Slugs, earwigs, snails "
EDILLILIE_S1.1_P1212_R2,2023,9,11,Alpha-scud,faw,L,0.1,0.1L/ha applied to control of native budworm 
EDILLILIE_S1.1_P1212_R3,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S1.1_P1212_R3,2023,5,29,Transcend,faw,kg,2,"2kg/ha applied to control Slugs, earwigs, snails "
EDILLILIE_S1.1_P1212_R3,2023,9,11,Alpha-scud,faw,L,0.1,0.1L/ha applied to control of native budworm 
EDILLILIE_S1.1_P2121_R2,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S1.1_P2121_R3,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S1.2 _P1212_R1,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S1.2 _P1212_R1,2023,5,29,Transcend,faw,kg,2,"2kg/ha applied to control Slugs, earwigs, snails "
EDILLILIE_S1.2 _P1212_R1,2023,9,11,Alpha-scud,faw,L,0.1,0.1L/ha applied to control of native budworm 
EDILLILIE_S1.2 _P1212_R2,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S1.2 _P1212_R2,2023,5,29,Transcend,faw,kg,2,"2kg/ha applied to control Slugs, earwigs, snails "
EDILLILIE_S1.2 _P1212_R2,2023,9,11,Alpha-scud,faw,L,0.1,0.1L/ha applied to control of native budworm 
EDILLILIE_S1.2 _P1212_R3,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S1.2 _P1212_R3,2023,5,29,Transcend,faw,kg,2,"2kg/ha applied to control Slugs, earwigs, snails "
EDILLILIE_S1.2 _P1212_R3,2023,9,11,Alpha-scud,faw,L,0.1,0.1L/ha applied to control of native budworm 
EDILLILIE_S1.2 _P2121_R1,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S1.2 _P2121_R2,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S1.2 _P2121_R3,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S1.3_P1212_R1,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S1.3_P1212_R1,2023,5,29,Transcend,faw,kg,2,"2kg/ha applied to control Slugs, earwigs, snails "
EDILLILIE_S1.3_P1212_R1,2023,9,11,Alpha-scud,faw,L,0.1,0.1L/ha applied to control of native budworm 
EDILLILIE_S1.3_P1212_R2,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S1.3_P1212_R2,2023,5,29,Transcend,faw,kg,2,"2kg/ha applied to control Slugs, earwigs, snails "
EDILLILIE_S1.3_P1212_R2,2023,9,11,Alpha-scud,faw,L,0.1,0.1L/ha applied to control of native budworm 
EDILLILIE_S1.3_P1212_R3,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S1.3_P1212_R3,2023,5,29,Transcend,faw,kg,2,"2kg/ha applied to control Slugs, earwigs, snails "
EDILLILIE_S1.3_P1212_R3,2023,9,11,Alpha-scud,faw,L,0.1,0.1L/ha applied to control of native budworm 
EDILLILIE_S1.3_P2121_R1,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S1.3_P2121_R2,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S1.3_P2121_R3,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S2.1_P1234_R1,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
EDILLILIE_S2.1_P1234_R1,2023,9,11,Alpha-scud,faw,L,0.1,0.1L/ha applied to control of native budworm 
EDILLILIE_S2.1_P1234_R2,2023,5,18,Pyrenix Super ,faw,L,1,"1L/ha applied to control RLEM, Earwigs, slaters, millipedes"
