plotID,year,month,day,crop1Name,crop2Name,crop3Name,harvestOutcome,harvestReason,crop1Yield,crop2Yield,crop3Yield,terminationState,comments
EDILLILIE_S1.1 _P2121_R1,2023,6,1,wheat,NA,NA,success,sale,4033,NA,NA,stubble,
EDILLILIE_S1.1_P1212_R1,2023,6,1,Canola,NA,NA,success,sale,2409,NA,NA,stubble,
EDILLILIE_S1.1_P1212_R2,2023,6,1,Canola,NA,NA,success,sale,1508,NA,NA,stubble,
EDILLILIE_S1.1_P1212_R3,2023,6,1,Canola,NA,NA,success,sale,1693,NA,NA,stubble,
EDILLILIE_S1.1_P2121_R2,2023,6,1,wheat,NA,NA,success,sale,3695,NA,NA,stubble,
EDILLILIE_S1.1_P2121_R3,2023,6,1,wheat,NA,NA,success,sale,4048,NA,NA,stubble,
EDILLILIE_S1.2 _P1212_R1,2023,6,1,Canola,NA,NA,success,sale,2071,NA,NA,stubble,
EDILLILIE_S1.2 _P1212_R2,2023,6,1,Canola,NA,NA,success,sale,1354,NA,NA,stubble,
EDILLILIE_S1.2 _P1212_R3,2023,6,1,Canola,NA,NA,success,sale,1470,NA,NA,stubble,
EDILLILIE_S1.2 _P2121_R1,2023,6,1,wheat,NA,NA,success,sale,4243,NA,NA,stubble,
EDILLILIE_S1.2 _P2121_R2,2023,6,1,wheat,NA,NA,success,sale,4134,NA,NA,stubble,
EDILLILIE_S1.2 _P2121_R3,2023,6,1,wheat,NA,NA,success,sale,4030,NA,NA,stubble,
EDILLILIE_S1.3_P1212_R1,2023,6,1,Canola,NA,NA,success,sale,2071,NA,NA,stubble,
EDILLILIE_S1.3_P1212_R2,2023,6,1,Canola,NA,NA,success,sale,1858,NA,NA,stubble,
EDILLILIE_S1.3_P1212_R3,2023,6,1,Canola,NA,NA,success,sale,1786,NA,NA,stubble,
EDILLILIE_S1.3_P2121_R1,2023,6,1,wheat,NA,NA,success,sale,3350,NA,NA,stubble,
EDILLILIE_S1.3_P2121_R2,2023,6,1,wheat,NA,NA,success,sale,3755,NA,NA,stubble,
EDILLILIE_S1.3_P2121_R3,2023,6,1,wheat,NA,NA,success,sale,4061,NA,NA,stubble,
EDILLILIE_S2.1_P1234_R1,2023,6,1,Lentil,NA,NA,success,sale,1500,NA,NA,stubble,
EDILLILIE_S2.1_P1234_R2,2023,6,1,Lentil,NA,NA,success,sale,1646,NA,NA,stubble,
EDILLILIE_S2.1_P1234_R3,2023,6,1,Lentil,NA,NA,success,sale,1569,NA,NA,stubble,
EDILLILIE_S2.1_P2341_R1,2023,6,1,Canola,NA,NA,success,sale,1912,NA,NA,stubble,
EDILLILIE_S2.1_P2341_R2,2023,6,1,Canola,NA,NA,success,sale,1455,NA,NA,stubble,
EDILLILIE_S2.1_P2341_R3,2023,6,1,Canola,NA,NA,success,sale,1492,NA,NA,stubble,
EDILLILIE_S2.1_P3412_R1,2023,6,1,wheat,NA,NA,success,sale,4258,NA,NA,stubble,
EDILLILIE_S2.1_P3412_R2,2023,6,1,wheat,NA,NA,success,sale,4310,NA,NA,stubble,
EDILLILIE_S2.1_P3412_R3,2023,6,1,wheat,NA,NA,success,sale,3796,NA,NA,stubble,
EDILLILIE_S2.1_P4123_R1,2023,6,1,wheat,NA,NA,success,sale,5082,NA,NA,stubble,
EDILLILIE_S2.1_P4123_R2,2023,6,1,wheat,NA,NA,success,sale,4030,NA,NA,stubble,
EDILLILIE_S2.1_P4123_R3,2023,6,1,wheat,NA,NA,success,sale,3611,NA,NA,stubble,
EDILLILIE_S2.2 _P2341_R1,2023,6,1,Canola,NA,NA,success,sale,1879,NA,NA,stubble,
EDILLILIE_S2.2_P1234_R1,2023,6,1,Lentil,NA,NA,success,sale,1572,NA,NA,stubble,
EDILLILIE_S2.2_P1234_R2,2023,6,1,Lentil,NA,NA,success,sale,1714,NA,NA,stubble,
EDILLILIE_S2.2_P1234_R3,2023,6,1,Lentil,NA,NA,success,sale,1707,NA,NA,stubble,
EDILLILIE_S2.2_P2341_R2,2023,6,1,Canola,NA,NA,success,sale,1604,NA,NA,stubble,
EDILLILIE_S2.2_P2341_R3,2023,6,1,Canola,NA,NA,success,sale,1586,NA,NA,stubble,
EDILLILIE_S2.2_P3412_R1,2023,6,1,wheat,NA,NA,success,sale,4065,NA,NA,stubble,
EDILLILIE_S2.2_P3412_R2,2023,6,1,wheat,NA,NA,success,sale,3722,NA,NA,stubble,
EDILLILIE_S2.2_P3412_R3,2023,6,1,wheat,NA,NA,success,sale,3781,NA,NA,stubble,
EDILLILIE_S2.2_P4123_R1,2023,6,1,wheat,NA,NA,success,sale,3635,NA,NA,stubble,
