plotID,year,month,day,name,unitsAppliedKgOrLitres,appliedAmount,comments
HART_S5_P0000_R1,2023,4,27,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S5_P0000_R2,2023,4,27,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S5_P0000_R3,2023,4,27,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S5_P0000_R4,2023,4,27,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S5_P0000_R5,2023,4,27,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S5_P0000_R6,2023,4,27,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S5_P0000_R7,2023,4,27,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S5_P0000_R8,2023,4,27,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S5_P0000_R9,2023,4,27,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S9_P1234_R1,2023,4,27,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S9_P1234_R2,2023,4,27,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S9_P1234_R3,2023,4,27,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S1.1_P1231_R1,2023,6,2,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S1.1_P1231_R2,2023,6,2,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S1.1_P1231_R3,2023,6,2,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S1.1_P2312_R1,2023,6,2,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S1.1_P2312_R2,2023,6,2,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S1.1_P2312_R3,2023,6,2,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S1.1_P3123_R1,2023,6,2,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S1.1_P3123_R2,2023,6,2,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S1.1_P3123_R3,2023,6,2,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S1.2_P1231_R1,2023,6,2,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S1.2_P1231_R2,2023,6,2,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S1.2_P1231_R3,2023,6,2,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S1.2_P2312_R1,2023,6,2,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S1.2_P2312_R2,2023,6,2,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S1.2_P2312_R3,2023,6,2,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S1.2_P3123_R1,2023,6,2,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
HART_S1.2_P3123_R2,2023,6,2,MAP,kg,100,at sowing (100kg MAP + 2% Zn)
