plotID,year,month,day,crop1Name,crop2Name,crop3Name,harvestOutcome,harvestReason,crop1Yield,crop2Yield,crop3Yield,terminationState,comments
HART_S1.1_P3123_R1,2023,11,14,Barley,NA,NA,success,sale,3536,NA,NA,stubble,
HART_S1.1_P3123_R2,2023,11,14,Barley,NA,NA,success,sale,3664,NA,NA,stubble,
HART_S1.1_P3123_R3,2023,11,14,Barley,NA,NA,success,sale,3603,NA,NA,stubble,
HART_S1.2_P3123_R1,2023,11,14,Barley,NA,NA,success,sale,4463,NA,NA,stubble,
HART_S1.2_P3123_R2,2023,11,14,Barley,NA,NA,success,sale,3373,NA,NA,stubble,
HART_S1.2_P3123_R3,2023,11,14,Barley,NA,NA,success,sale,3997,NA,NA,stubble,
HART_S1.3_P3123_R1,2023,11,14,Barley,NA,NA,success,sale,3644,NA,NA,stubble,
HART_S1.3_P3123_R2,2023,11,14,Barley,NA,NA,success,sale,3153,NA,NA,stubble,
HART_S1.3_P3123_R3,2023,11,14,Barley,NA,NA,success,sale,4176,NA,NA,stubble,
HART_S10.1_P3123_R1,2023,11,14,Barley,NA,NA,success,sale,4452,NA,NA,stubble,
HART_S10.1_P3123_R2,2023,11,14,Barley,NA,NA,success,sale,3506,NA,NA,stubble,
HART_S10.1_P3123_R3,2023,11,14,Barley,NA,NA,success,sale,3864,NA,NA,stubble,
HART_S10.2_P3123_R1,2023,11,14,Barley,NA,NA,success,sale,4427,NA,NA,stubble,
HART_S10.2_P3123_R2,2023,11,14,Barley,NA,NA,success,sale,3347,NA,NA,stubble,
HART_S10.2_P3123_R3,2023,11,14,Barley,NA,NA,success,sale,4222,NA,NA,stubble,
HART_S10.3_P3123_R1,2023,11,14,Barley,NA,NA,success,sale,4319,NA,NA,stubble,
HART_S10.3_P3123_R2,2023,11,14,Barley,NA,NA,success,sale,3260,NA,NA,stubble,
HART_S10.3_P3123_R3,2023,11,14,Barley,NA,NA,success,sale,3270,NA,NA,stubble,
HART_S3_P4123_R1,2023,11,14,Barley,NA,NA,success,sale,3449,NA,NA,stubble,
HART_S3_P4123_R2,2023,11,14,Barley,NA,NA,success,sale,3306,NA,NA,stubble,
HART_S3_P4123_R3,2023,11,14,Barley,NA,NA,success,sale,3961,NA,NA,stubble,
HART_S4.1_P4123_R1,2023,11,14,Barley,NA,NA,success,sale,3572,NA,NA,stubble,
HART_S4.1_P4123_R2,2023,11,14,Barley,NA,NA,success,sale,3209,NA,NA,stubble,
