plotID,year,month,day,name,unitsAppliedKgOrLitres,appliedAmount,comments
KINNABULLA_S1.1_P1231_R1,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.1_P1231_R2,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.1_P1231_R3,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.1_P2312_R1,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.1_P2312_R1,2023,6,21,Urea,kg,98,98kg/ha top dressing - Wheat StPr
KINNABULLA_S1.1_P2312_R2,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.1_P2312_R2,2023,6,21,Urea,kg,98,98kg/ha top dressing - Wheat StPr
KINNABULLA_S1.1_P2312_R3,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.1_P2312_R3,2023,6,21,Urea,kg,98,98kg/ha top dressing - Wheat StPr
KINNABULLA_S1.1_P3123_R1,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.1_P3123_R1,2023,6,21,Urea,kg,98,98kg/ha top dressing - Wheat StPr
KINNABULLA_S1.1_P3123_R2,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.1_P3123_R2,2023,6,21,Urea,kg,98,98kg/ha top dressing - Wheat StPr
KINNABULLA_S1.1_P3123_R3,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.1_P3123_R3,2023,6,21,Urea,kg,98,98kg/ha top dressing - Wheat StPr
KINNABULLA_S1.2_P1231_R1,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.2_P1231_R2,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.2_P1231_R3,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.2_P2312_R1,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.2_P2312_R1,2023,6,21,Urea,kg,257,257kg/ha top dressing - Wheat D5
KINNABULLA_S1.2_P2312_R2,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.2_P2312_R2,2023,6,21,Urea,kg,257,257kg/ha top dressing - Wheat D5
KINNABULLA_S1.2_P2312_R3,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.2_P2312_R3,2023,6,21,Urea,kg,257,257kg/ha top dressing - Wheat D5
KINNABULLA_S1.2_P3123_R1,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.2_P3123_R1,2023,6,21,Urea,kg,257,257kg/ha top dressing - Wheat D5
KINNABULLA_S1.2_P3123_R2,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.2_P3123_R2,2023,6,21,Urea,kg,257,257kg/ha top dressing - Wheat D5
KINNABULLA_S1.2_P3123_R3,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.2_P3123_R3,2023,6,21,Urea,kg,257,257kg/ha top dressing - Wheat D5
KINNABULLA_S1.3_P1231_R1,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.3_P1231_R2,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.3_P1231_R3,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.3_P2312_R1,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.3_P2312_R1,2023,6,21,Urea,kg,341,341kg/ha top dressing - Wheat D9
KINNABULLA_S1.3_P2312_R2,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.3_P2312_R2,2023,6,21,Urea,kg,341,341kg/ha top dressing - Wheat D9
KINNABULLA_S1.3_P2312_R3,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.3_P2312_R3,2023,6,21,Urea,kg,341,341kg/ha top dressing - Wheat D9
KINNABULLA_S1.3_P3123_R1,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.3_P3123_R1,2023,6,21,Urea,kg,341,341kg/ha top dressing - Wheat D9
KINNABULLA_S1.3_P3123_R2,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.3_P3123_R2,2023,6,21,Urea,kg,341,341kg/ha top dressing - Wheat D9
KINNABULLA_S1.3_P3123_R3,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S1.3_P3123_R3,2023,6,21,Urea,kg,341,341kg/ha top dressing - Wheat D9
KINNABULLA_S10_P1231_R1,2023,5,3,Granulock SZ,kg,60,"60kg/ha applied at sowing (C, Vt, TR, TR+Vt)"
KINNABULLA_S10_P1231_R2,2023,5,3,Granulock SZ,kg,60,"60kg/ha applied at sowing (C, Vt, TR, TR+Vt)"
KINNABULLA_S10_P1231_R3,2023,5,3,Granulock SZ,kg,60,"60kg/ha applied at sowing (C, Vt, TR, TR+Vt)"
KINNABULLA_S10_P2312_R1,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S10_P2312_R1,2023,6,21,Urea,kg,257,257kg/ha top dressing - Wheat D5
KINNABULLA_S10_P2312_R2,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S10_P2312_R2,2023,6,21,Urea,kg,257,257kg/ha top dressing - Wheat D5
KINNABULLA_S10_P2312_R3,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S10_P2312_R3,2023,6,21,Urea,kg,257,257kg/ha top dressing - Wheat D5
KINNABULLA_S10_P3123_R1,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S10_P3123_R1,2023,6,21,Urea,kg,257,257kg/ha top dressing - Wheat D5
KINNABULLA_S10_P3123_R2,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S10_P3123_R2,2023,6,21,Urea,kg,257,257kg/ha top dressing - Wheat D5
KINNABULLA_S10_P3123_R3,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S10_P3123_R3,2023,6,21,Urea,kg,257,257kg/ha top dressing - Wheat D5
KINNABULLA_S11_P1231_R1,2023,5,3,Granulock SZ,kg,60,"60kg/ha applied at sowing (C, Vt, TR, TR+Vt)"
KINNABULLA_S11_P1231_R2,2023,5,3,Granulock SZ,kg,60,"60kg/ha applied at sowing (C, Vt, TR, TR+Vt)"
KINNABULLA_S11_P1231_R3,2023,5,3,Granulock SZ,kg,60,"60kg/ha applied at sowing (C, Vt, TR, TR+Vt)"
KINNABULLA_S11_P2312_R1,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S11_P2312_R1,2023,6,21,Urea,kg,257,257kg/ha top dressing - Wheat D5
KINNABULLA_S11_P2312_R2,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S11_P2312_R2,2023,6,21,Urea,kg,257,257kg/ha top dressing - Wheat D5
KINNABULLA_S11_P2312_R3,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S11_P2312_R3,2023,6,21,Urea,kg,257,257kg/ha top dressing - Wheat D5
KINNABULLA_S11_P3123_R1,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S11_P3123_R1,2023,6,21,Urea,kg,257,257kg/ha top dressing - Wheat D5
KINNABULLA_S11_P3123_R2,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S11_P3123_R2,2023,6,21,Urea,kg,257,257kg/ha top dressing - Wheat D5
KINNABULLA_S11_P3123_R3,2023,5,23,Granulock SZ,kg,60,"60kg/ha applied at sowing (W, B, L)"
KINNABULLA_S11_P3123_R3,2023,6,21,Urea,kg,257,257kg/ha top dressing - Wheat D5
KINNABULLA_S12_P0000_R1,2023,5,3,Granulock SZ,kg,60,"60kg/ha applied at sowing (C, Vt, TR, TR+Vt)"
KINNABULLA_S12_P0000_R1,2023,6,21,Urea,kg,487,"487kg/ha top dressing - Canola D5, RC1, RC3"
KINNABULLA_S12_P0000_R2,2023,5,3,Granulock SZ,kg,60,"60kg/ha applied at sowing (C, Vt, TR, TR+Vt)"
KINNABULLA_S12_P0000_R2,2023,6,21,Urea,kg,487,"487kg/ha top dressing - Canola D5, RC1, RC3"
KINNABULLA_S12_P0000_R3,2023,5,3,Granulock SZ,kg,60,"60kg/ha applied at sowing (C, Vt, TR, TR+Vt)"
KINNABULLA_S12_P0000_R3,2023,6,21,Urea,kg,487,"487kg/ha top dressing - Canola D5, RC1, RC3"
KINNABULLA_S12_P0000_R4,2023,5,3,Granulock SZ,kg,60,"60kg/ha applied at sowing (C, Vt, TR, TR+Vt)"
KINNABULLA_S12_P0000_R4,2023,6,21,Urea,kg,487,"487kg/ha top dressing - Canola D5, RC1, RC3"
KINNABULLA_S12_P0000_R5,2023,5,3,Granulock SZ,kg,60,"60kg/ha applied at sowing (C, Vt, TR, TR+Vt)"
KINNABULLA_S12_P0000_R5,2023,6,21,Urea,kg,487,"487kg/ha top dressing - Canola D5, RC1, RC3"
KINNABULLA_S12_P0000_R6,2023,5,3,Granulock SZ,kg,60,"60kg/ha applied at sowing (C, Vt, TR, TR+Vt)"
KINNABULLA_S12_P0000_R6,2023,6,21,Urea,kg,487,"487kg/ha top dressing - Canola D5, RC1, RC3"
KINNABULLA_S12_P0000_R7,2023,5,3,Granulock SZ,kg,60,"60kg/ha applied at sowing (C, Vt, TR, TR+Vt)"
