plotID,year,month,day,name,unitsAppliedKgOrLitres,appliedAmount,comments
KINNABULLA_S1.1_P1231_R1,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S1.1_P1231_R2,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S1.1_P1231_R3,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S1.2_P1231_R1,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S1.2_P1231_R2,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S1.2_P1231_R3,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S1.3_P1231_R1,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S1.3_P1231_R2,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S1.3_P1231_R3,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S2.1_P1212_R1,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S2.1_P1212_R2,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S2.1_P1212_R3,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S2.2_P1212_R1,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S2.2_P1212_R2,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S2.2_P1212_R3,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S3_P1231_R1,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S3_P1231_R2,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S3_P1231_R3,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S3_P2312_R1,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S3_P2312_R2,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S3_P2312_R3,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S4_P1234_R1,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S4_P1234_R2,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S4_P1234_R3,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S5_P1212_R1,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S5_P1212_R2,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S5_P1212_R3,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S6_P1234_R1,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S6_P1234_R2,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S6_P1234_R3,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S9.1_P1231_R1,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S9.1_P1231_R2,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S9.1_P1231_R3,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S9.2_P1231_R1,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S9.2_P1231_R2,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
KINNABULLA_S9.2_P1231_R3,2023,8,2,Aviator Xpro,L,0.5,0.5L/ha applied to lentils and vetch (canopy closure) - botrytis and ascochyta
