plotID,year,month,day,crop1Name,crop2Name,crop3Name,harvestOutcome,harvestReason,crop1Yield,crop2Yield,crop3Yield,terminationState,comments
KINNABULLA_S1.1_P1231_R1,2023,12,7,lentil,NA,NA,success,sale,1179,NA,NA,stubble,
KINNABULLA_S1.1_P1231_R2,2023,12,7,lentil,NA,NA,success,sale,1619,NA,NA,stubble,
KINNABULLA_S1.1_P1231_R3,2023,12,7,lentil,NA,NA,success,sale,1414,NA,NA,stubble,
KINNABULLA_S1.1_P2312_R1,2023,12,7,wheat,NA,NA,success,sale,5237,NA,NA,stubble,
KINNABULLA_S1.1_P2312_R2,2023,12,7,wheat,NA,NA,success,sale,4665,NA,NA,stubble,
KINNABULLA_S1.1_P2312_R3,2023,12,7,wheat,NA,NA,success,sale,4698,NA,NA,stubble,
KINNABULLA_S1.1_P3123_R1,2023,12,7,wheat,NA,NA,success,sale,5173,NA,NA,stubble,
KINNABULLA_S1.1_P3123_R2,2023,12,7,wheat,NA,NA,success,sale,4633,NA,NA,stubble,
KINNABULLA_S1.1_P3123_R3,2023,12,7,wheat,NA,NA,success,sale,4633,NA,NA,stubble,
KINNABULLA_S1.2_P1231_R1,2023,12,7,lentil,NA,NA,success,sale,1654,NA,NA,stubble,
KINNABULLA_S1.2_P1231_R2,2023,12,7,lentil,NA,NA,success,sale,1758,NA,NA,stubble,
KINNABULLA_S1.2_P1231_R3,2023,12,7,lentil,NA,NA,success,sale,1540,NA,NA,stubble,
KINNABULLA_S1.2_P2312_R1,2023,12,7,wheat,NA,NA,success,sale,5177,NA,NA,stubble,
KINNABULLA_S1.2_P2312_R2,2023,12,7,wheat,NA,NA,success,sale,5070,NA,NA,stubble,
KINNABULLA_S1.2_P2312_R3,2023,12,7,wheat,NA,NA,success,sale,4473,NA,NA,stubble,
KINNABULLA_S1.2_P3123_R1,2023,12,7,wheat,NA,NA,success,sale,5705,NA,NA,stubble,
KINNABULLA_S1.2_P3123_R2,2023,12,7,wheat,NA,NA,success,sale,5018,NA,NA,stubble,
KINNABULLA_S1.2_P3123_R3,2023,12,7,wheat,NA,NA,success,sale,4363,NA,NA,stubble,
KINNABULLA_S1.3_P1231_R1,2023,12,7,lentil,NA,NA,success,sale,945,NA,NA,stubble,
KINNABULLA_S1.3_P1231_R2,2023,12,7,lentil,NA,NA,success,sale,1572,NA,NA,stubble,
KINNABULLA_S1.3_P1231_R3,2023,12,7,lentil,NA,NA,success,sale,1121,NA,NA,stubble,
KINNABULLA_S1.3_P2312_R1,2023,12,7,wheat,NA,NA,success,sale,4978,NA,NA,stubble,
KINNABULLA_S1.3_P2312_R2,2023,12,7,wheat,NA,NA,success,sale,5210,NA,NA,stubble,
KINNABULLA_S1.3_P2312_R3,2023,12,7,wheat,NA,NA,success,sale,4358,NA,NA,stubble,
KINNABULLA_S1.3_P3123_R1,2023,12,7,wheat,NA,NA,success,sale,5649,NA,NA,stubble,
KINNABULLA_S1.3_P3123_R2,2023,12,7,wheat,NA,NA,success,sale,5159,NA,NA,stubble,
KINNABULLA_S1.3_P3123_R3,2023,12,7,wheat,NA,NA,success,sale,4940,NA,NA,stubble,
KINNABULLA_S10_P1231_R1,2023,12,7,tillage radish,NA,NA,success,soilManagement,6600,NA,NA,stubble,
KINNABULLA_S10_P1231_R2,2023,12,7,tillage radish,NA,NA,success,soilManagement,4740,NA,NA,stubble,
KINNABULLA_S10_P1231_R3,2023,12,7,tillage radish,NA,NA,success,soilManagement,3557,NA,NA,stubble,
KINNABULLA_S10_P2312_R1,2023,12,7,wheat,NA,NA,success,sale,5884,NA,NA,stubble,
KINNABULLA_S10_P2312_R2,2023,12,7,wheat,NA,NA,success,sale,4764,NA,NA,stubble,
KINNABULLA_S10_P2312_R3,2023,12,7,wheat,NA,NA,success,sale,4628,NA,NA,stubble,
KINNABULLA_S10_P3123_R1,2023,12,7,wheat,NA,NA,success,sale,5888,NA,NA,stubble,
KINNABULLA_S10_P3123_R2,2023,12,7,wheat,NA,NA,success,sale,5600,NA,NA,stubble,
KINNABULLA_S10_P3123_R3,2023,12,7,wheat,NA,NA,success,sale,4953,NA,NA,stubble,
KINNABULLA_S11_P1231_R1,2023,12,7,vetch,tillage radish,NA,success,soilManagement,2307,1503,NA,stubble,
KINNABULLA_S11_P1231_R2,2023,12,7,vetch,tillage radish,NA,success,soilManagement,1761,2415,NA,stubble,
KINNABULLA_S11_P1231_R3,2023,12,7,vetch,tillage radish,NA,success,soilManagement,1865,843,NA,stubble,
KINNABULLA_S11_P2312_R1,2023,12,7,wheat,NA,NA,success,sale,4729,NA,NA,stubble,
KINNABULLA_S11_P2312_R2,2023,12,7,wheat,NA,NA,success,sale,5433,NA,NA,stubble,
KINNABULLA_S11_P2312_R3,2023,12,7,wheat,NA,NA,success,sale,4543,NA,NA,stubble,
KINNABULLA_S11_P3123_R1,2023,12,7,wheat,NA,NA,success,sale,6124,NA,NA,stubble,
KINNABULLA_S11_P3123_R2,2023,12,7,wheat,NA,NA,success,sale,4811,NA,NA,stubble,
KINNABULLA_S11_P3123_R3,2023,12,7,wheat,NA,NA,success,sale,3837,NA,NA,stubble,
KINNABULLA_S12_P0000_R1,2023,12,7,canola,NA,NA,success,sale,1713,NA,NA,stubble,
KINNABULLA_S12_P0000_R2,2023,12,7,canola,NA,NA,success,sale,1658,NA,NA,stubble,
KINNABULLA_S12_P0000_R3,2023,12,7,canola,NA,NA,success,sale,2033,NA,NA,stubble,
KINNABULLA_S12_P0000_R4,2023,12,7,canola,NA,NA,success,sale,1670,NA,NA,stubble,
KINNABULLA_S12_P0000_R5,2023,12,7,canola,NA,NA,success,sale,1395,NA,NA,stubble,
KINNABULLA_S12_P0000_R6,2023,12,7,canola,NA,NA,success,sale,1619,NA,NA,stubble,
KINNABULLA_S12_P0000_R7,2023,12,7,canola,NA,NA,success,sale,1479,NA,NA,stubble,
KINNABULLA_S12_P0000_R8,2023,12,7,canola,NA,NA,success,sale,1569,NA,NA,stubble,
KINNABULLA_S12_P0000_R9,2023,12,7,canola,NA,NA,success,sale,1251,NA,NA,stubble,
KINNABULLA_S13_P0000_R1,2023,12,7,canola,NA,NA,success,sale,2139,NA,NA,stubble,
KINNABULLA_S13_P0000_R2,2023,12,7,canola,NA,NA,success,sale,2066,NA,NA,stubble,
KINNABULLA_S13_P0000_R3,2023,12,7,canola,NA,NA,success,sale,1635,NA,NA,stubble,
KINNABULLA_S13_P0000_R4,2023,12,7,canola,NA,NA,success,sale,1749,NA,NA,stubble,
KINNABULLA_S13_P0000_R5,2023,12,7,canola,NA,NA,success,sale,1526,NA,NA,stubble,
KINNABULLA_S13_P0000_R6,2023,12,7,canola,NA,NA,success,sale,1438,NA,NA,stubble,
KINNABULLA_S13_P0000_R7,2023,12,7,canola,NA,NA,success,sale,1404,NA,NA,stubble,
KINNABULLA_S13_P0000_R8,2023,12,7,canola,NA,NA,success,sale,1605,NA,NA,stubble,
KINNABULLA_S13_P0000_R9,2023,12,7,canola,NA,NA,success,sale,1465,NA,NA,stubble,
KINNABULLA_S14_P0000_R1,2023,12,7,canola,NA,NA,success,sale,2104,NA,NA,stubble,
KINNABULLA_S14_P0000_R2,2023,12,7,canola,NA,NA,success,sale,1933,NA,NA,stubble,
KINNABULLA_S14_P0000_R3,2023,12,7,canola,NA,NA,success,sale,2093,NA,NA,stubble,
KINNABULLA_S14_P0000_R4,2023,12,7,canola,NA,NA,success,sale,1423,NA,NA,stubble,
KINNABULLA_S14_P0000_R5,2023,12,7,canola,NA,NA,success,sale,1619,NA,NA,stubble,
KINNABULLA_S14_P0000_R6,2023,12,7,canola,NA,NA,success,sale,1488,NA,NA,stubble,
KINNABULLA_S14_P0000_R7,2023,12,7,canola,NA,NA,success,sale,1311,NA,NA,stubble,
KINNABULLA_S14_P0000_R8,2023,12,7,canola,NA,NA,success,sale,1485,NA,NA,stubble,
KINNABULLA_S14_P0000_R9,2023,12,7,canola,NA,NA,success,sale,1464,NA,NA,stubble,
KINNABULLA_S2.1_P1212_R1,2023,12,7,lentil,NA,NA,success,sale,1306,NA,NA,stubble,
KINNABULLA_S2.1_P1212_R2,2023,12,7,lentil,NA,NA,success,sale,1386,NA,NA,stubble,
KINNABULLA_S2.1_P1212_R3,2023,12,7,lentil,NA,NA,success,sale,1237,NA,NA,stubble,
KINNABULLA_S2.1_P2121_R1,2023,12,7,wheat,NA,NA,success,sale,5631,NA,NA,stubble,
KINNABULLA_S2.1_P2121_R2,2023,12,7,wheat,NA,NA,success,sale,5367,NA,NA,stubble,
KINNABULLA_S2.1_P2121_R3,2023,12,7,wheat,NA,NA,success,sale,4656,NA,NA,stubble,
KINNABULLA_S2.2_P1212_R1,2023,12,7,lentil,NA,NA,success,sale,1113,NA,NA,stubble,
KINNABULLA_S2.2_P1212_R2,2023,12,7,lentil,NA,NA,success,sale,1721,NA,NA,stubble,
KINNABULLA_S2.2_P1212_R3,2023,12,7,lentil,NA,NA,success,sale,1209,NA,NA,stubble,
KINNABULLA_S2.2_P2121_R1,2023,12,7,wheat,NA,NA,success,sale,5126,NA,NA,stubble,
KINNABULLA_S2.2_P2121_R2,2023,12,7,wheat,NA,NA,success,sale,5074,NA,NA,stubble,
KINNABULLA_S2.2_P2121_R3,2023,12,7,wheat,NA,NA,success,sale,4551,NA,NA,stubble,
KINNABULLA_S3_P1231_R1,2023,12,7,lentil,NA,NA,success,sale,1254,NA,NA,stubble,
KINNABULLA_S3_P1231_R2,2023,12,7,lentil,NA,NA,success,sale,1348,NA,NA,stubble,
KINNABULLA_S3_P1231_R3,2023,12,7,lentil,NA,NA,success,sale,1260,NA,NA,stubble,
KINNABULLA_S3_P2312_R1,2023,12,7,lentil,NA,NA,success,sale,1669,NA,NA,stubble,
KINNABULLA_S3_P2312_R2,2023,12,7,lentil,NA,NA,success,sale,1438,NA,NA,stubble,
KINNABULLA_S3_P2312_R3,2023,12,7,lentil,NA,NA,success,sale,1308,NA,NA,stubble,
KINNABULLA_S3_P3123_R1,2023,12,7,wheat,NA,NA,success,sale,4904,NA,NA,stubble,
KINNABULLA_S3_P3123_R2,2023,12,7,wheat,NA,NA,success,sale,4651,NA,NA,stubble,
KINNABULLA_S3_P3123_R3,2023,12,7,wheat,NA,NA,success,sale,4656,NA,NA,stubble,
KINNABULLA_S4_P1234_R1,2023,12,7,lentil,NA,NA,success,sale,1186,NA,NA,stubble,
KINNABULLA_S4_P1234_R2,2023,12,7,lentil,NA,NA,success,sale,1447,NA,NA,stubble,
KINNABULLA_S4_P1234_R3,2023,12,7,lentil,NA,NA,success,sale,1377,NA,NA,stubble,
KINNABULLA_S4_P2341_R1,2023,12,7,canola,NA,NA,success,sale,1733,NA,NA,stubble,
KINNABULLA_S4_P2341_R2,2023,12,7,canola,NA,NA,success,sale,1567,NA,NA,stubble,
KINNABULLA_S4_P2341_R3,2023,12,7,canola,NA,NA,success,sale,1609,NA,NA,stubble,
KINNABULLA_S4_P3412_R1,2023,12,7,wheat,NA,NA,success,sale,5332,NA,NA,stubble,
KINNABULLA_S4_P3412_R2,2023,12,7,wheat,NA,NA,success,sale,4999,NA,NA,stubble,
KINNABULLA_S4_P3412_R3,2023,12,7,wheat,NA,NA,success,sale,4772,NA,NA,stubble,
KINNABULLA_S4_P4123_R1,2023,12,7,wheat,NA,NA,success,sale,4903,NA,NA,stubble,
KINNABULLA_S4_P4123_R2,2023,12,7,wheat,NA,NA,success,sale,4872,NA,NA,stubble,
KINNABULLA_S4_P4123_R3,2023,12,7,wheat,NA,NA,success,sale,4255,NA,NA,stubble,
KINNABULLA_S5_P1212_R1,2023,12,7,lentil,NA,NA,success,sale,1250,NA,NA,stubble,
KINNABULLA_S5_P1212_R2,2023,12,7,lentil,NA,NA,success,sale,1358,NA,NA,stubble,
KINNABULLA_S5_P1212_R3,2023,12,7,lentil,NA,NA,success,sale,1479,NA,NA,stubble,
KINNABULLA_S5_P2121_R1,2023,12,9,barley,NA,NA,success,sale,4860,NA,NA,stubble,
KINNABULLA_S5_P2121_R2,2023,12,9,barley,NA,NA,success,sale,4535,NA,NA,stubble,
KINNABULLA_S5_P2121_R3,2023,12,9,barley,NA,NA,success,sale,4054,NA,NA,stubble,
KINNABULLA_S6_P1234_R1,2023,12,7,lentil,NA,NA,success,sale,1170,NA,NA,stubble,
KINNABULLA_S6_P1234_R2,2023,12,7,lentil,NA,NA,success,sale,1462,NA,NA,stubble,
KINNABULLA_S6_P1234_R3,2023,12,7,lentil,NA,NA,success,sale,1550,NA,NA,stubble,
KINNABULLA_S6_P2341_R1,2023,12,7,wheat,NA,NA,success,sale,5665,NA,NA,stubble,
KINNABULLA_S6_P2341_R2,2023,12,7,wheat,NA,NA,success,sale,4926,NA,NA,stubble,
KINNABULLA_S6_P2341_R3,2023,12,7,wheat,NA,NA,success,sale,4706,NA,NA,stubble,
KINNABULLA_S6_P3412_R1,2023,12,7,wheat,NA,NA,success,sale,4735,NA,NA,stubble,
KINNABULLA_S6_P3412_R2,2023,12,7,wheat,NA,NA,success,sale,4981,NA,NA,stubble,
KINNABULLA_S6_P3412_R3,2023,12,7,wheat,NA,NA,success,sale,4624,NA,NA,stubble,
KINNABULLA_S6_P4123_R1,2023,12,7,wheat,NA,NA,success,sale,5775,NA,NA,stubble,
KINNABULLA_S6_P4123_R2,2023,12,7,wheat,NA,NA,success,sale,5302,NA,NA,stubble,
KINNABULLA_S6_P4123_R3,2023,12,7,wheat,NA,NA,success,sale,4423,NA,NA,stubble,
KINNABULLA_S7_P1111_R1,2023,12,7,wheat,NA,NA,success,sale,5346,NA,NA,stubble,
KINNABULLA_S7_P1111_R2,2023,12,7,wheat,NA,NA,success,sale,5716,NA,NA,stubble,
