plotID,year,month,day,name,unitsAppliedKgOrLitres,appliedAmount,comments
MANANG_S1.1_P1231_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.1_P1231_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.1_P1231_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.1_P2312_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.1_P2312_R1,2023,6,27,Urea,kg,98,top dressing (wheat StPr)
MANANG_S1.1_P2312_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.1_P2312_R2,2023,6,27,Urea,kg,98,top dressing (wheat StPr)
MANANG_S1.1_P2312_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.1_P2312_R3,2023,6,27,Urea,kg,98,top dressing (wheat StPr)
MANANG_S1.1_P3123_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.1_P3123_R1,2023,6,27,Urea,kg,98,top dressing (wheat StPr)
MANANG_S1.1_P3123_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.1_P3123_R2,2023,6,27,Urea,kg,98,top dressing (wheat StPr)
MANANG_S1.1_P3123_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.1_P3123_R3,2023,6,27,Urea,kg,98,top dressing (wheat StPr)
MANANG_S1.2_P1231_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.2_P1231_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.2_P1231_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.2_P2312_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.2_P2312_R1,2023,6,27,Urea,kg,49,top dressing (wheat D5)
MANANG_S1.2_P2312_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.2_P2312_R2,2023,6,27,Urea,kg,49,top dressing (wheat D5)
MANANG_S1.2_P2312_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.2_P2312_R3,2023,6,27,Urea,kg,49,top dressing (wheat D5)
MANANG_S1.2_P3123_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.2_P3123_R1,2023,6,27,Urea,kg,49,top dressing (wheat D5)
MANANG_S1.2_P3123_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.2_P3123_R2,2023,6,27,Urea,kg,49,top dressing (wheat D5)
MANANG_S1.2_P3123_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.2_P3123_R3,2023,6,27,Urea,kg,49,top dressing (wheat D5)
MANANG_S1.3_P1231_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.3_P1231_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.3_P1231_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.3_P2312_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.3_P2312_R1,2023,6,27,Urea,kg,139,top dressing (wheat D9)
MANANG_S1.3_P2312_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.3_P2312_R2,2023,6,27,Urea,kg,139,top dressing (wheat D9)
MANANG_S1.3_P2312_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.3_P2312_R3,2023,6,27,Urea,kg,139,top dressing (wheat D9)
MANANG_S1.3_P3123_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.3_P3123_R1,2023,6,27,Urea,kg,139,top dressing (wheat D9)
MANANG_S1.3_P3123_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.3_P3123_R2,2023,6,27,Urea,kg,139,top dressing (wheat D9)
MANANG_S1.3_P3123_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S1.3_P3123_R3,2023,6,27,Urea,kg,139,top dressing (wheat D9)
MANANG_S10.1_P1231_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S10.1_P1231_R1,2023,6,27,Urea,kg,49,top dressing (Vt+W D5)
MANANG_S10.1_P1231_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S10.1_P1231_R2,2023,6,27,Urea,kg,49,top dressing (Vt+W D5)
MANANG_S10.1_P1231_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S10.1_P1231_R3,2023,6,27,Urea,kg,49,top dressing (Vt+W D5)
MANANG_S10.1_P2312_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S10.1_P2312_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S10.1_P2312_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S10.1_P3123_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S10.1_P3123_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S10.1_P3123_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S10.2_P1231_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S10.2_P1231_R1,2023,6,27,Urea,kg,49,top dressing (Vt+W D5)
MANANG_S10.2_P1231_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S10.2_P1231_R2,2023,6,27,Urea,kg,49,top dressing (Vt+W D5)
MANANG_S10.2_P1231_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S10.2_P1231_R3,2023,6,27,Urea,kg,49,top dressing (Vt+W D5)
MANANG_S10.2_P2312_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S10.2_P2312_R1,2023,6,27,Urea,kg,49,top dressing (wheat D5)
MANANG_S10.2_P2312_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S10.2_P2312_R2,2023,6,27,Urea,kg,49,top dressing (wheat D5)
MANANG_S10.2_P2312_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S10.2_P2312_R3,2023,6,27,Urea,kg,49,top dressing (wheat D5)
MANANG_S10.2_P3123_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S10.2_P3123_R1,2023,6,27,Urea,kg,49,top dressing (wheat D5)
MANANG_S10.2_P3123_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S10.2_P3123_R2,2023,6,27,Urea,kg,49,top dressing (wheat D5)
MANANG_S10.2_P3123_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S10.2_P3123_R3,2023,6,27,Urea,kg,49,top dressing (wheat D5)
MANANG_S11_P1212_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S11_P1212_R1,2023,6,27,Urea,kg,49,top dressing (Vt+W D5)
MANANG_S11_P1212_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S11_P1212_R2,2023,6,27,Urea,kg,49,top dressing (Vt+W D5)
MANANG_S11_P1212_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S11_P1212_R3,2023,6,27,Urea,kg,49,top dressing (Vt+W D5)
MANANG_S11_P2121_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S11_P2121_R1,2023,6,27,Urea,kg,49,top dressing (wheat D5)
MANANG_S11_P2121_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S11_P2121_R2,2023,6,27,Urea,kg,49,top dressing (wheat D5)
MANANG_S11_P2121_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S11_P2121_R3,2023,6,27,Urea,kg,49,top dressing (wheat D5)
MANANG_S12_P0000_R1,2023,6,27,Urea,kg,70,top dressing (RC12 D5)
MANANG_S12_P0000_R2,2023,6,27,Urea,kg,70,top dressing (RC12 D5)
MANANG_S12_P0000_R3,2023,6,27,Urea,kg,70,top dressing (RC12 D5)
MANANG_S12_P0000_R4,2023,6,27,Urea,kg,70,top dressing (RC12 D5)
MANANG_S12_P0000_R5,2023,6,27,Urea,kg,70,top dressing (RC12 D5)
MANANG_S12_P0000_R6,2023,6,27,Urea,kg,70,top dressing (RC12 D5)
MANANG_S12_P0000_R7,2023,6,27,Urea,kg,70,top dressing (RC12 D5)
MANANG_S12_P0000_R8,2023,6,27,Urea,kg,70,top dressing (RC12 D5)
MANANG_S12_P0000_R9,2023,6,27,Urea,kg,70,top dressing (RC12 D5)
MANANG_S13_P0000_R1,2023,6,27,Urea,kg,272,top dressing (RC13 Nbank)
MANANG_S13_P0000_R2,2023,6,27,Urea,kg,272,top dressing (RC13 Nbank)
MANANG_S13_P0000_R3,2023,6,27,Urea,kg,272,top dressing (RC13 Nbank)
MANANG_S13_P0000_R4,2023,6,27,Urea,kg,272,top dressing (RC13 Nbank)
MANANG_S13_P0000_R5,2023,6,27,Urea,kg,272,top dressing (RC13 Nbank)
MANANG_S13_P0000_R6,2023,6,27,Urea,kg,272,top dressing (RC13 Nbank)
MANANG_S13_P0000_R7,2023,6,27,Urea,kg,272,top dressing (RC13 Nbank)
MANANG_S13_P0000_R8,2023,6,27,Urea,kg,272,top dressing (RC13 Nbank)
MANANG_S13_P0000_R9,2023,6,27,Urea,kg,272,top dressing (RC13 Nbank)
MANANG_S2_P1212_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S2_P1212_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S2_P1212_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S2_P2121_R1,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S2_P2121_R1,2023,6,27,Urea,kg,49,top dressing (wheat D5)
MANANG_S2_P2121_R2,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
MANANG_S2_P2121_R2,2023,6,27,Urea,kg,49,top dressing (wheat D5)
MANANG_S2_P2121_R3,2023,5,17,Granulock SZ Blend,kg,60,at sowing (+ Flutriafol (400ml/100kg))
