plotID,year,month,day,name,unitsAppliedKgOrLitres,appliedAmount,comments
MANANG_S1.1_P1231_R1,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S1.1_P1231_R2,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S1.1_P1231_R3,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S1.2_P1231_R1,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S1.2_P1231_R2,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S1.2_P1231_R3,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S1.3_P1231_R1,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S1.3_P1231_R2,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S1.3_P1231_R3,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S10.1_P1231_R1,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S10.1_P1231_R2,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S10.1_P1231_R3,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S10.2_P1231_R1,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S10.2_P1231_R2,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S10.2_P1231_R3,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S11_P1212_R1,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S11_P1212_R2,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S11_P1212_R3,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S2_P1212_R1,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S2_P1212_R2,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S2_P1212_R3,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S3_P1231_R1,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S3_P1231_R2,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S3_P1231_R3,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S3_P2312_R1,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S3_P2312_R2,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S3_P2312_R3,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S4_P1234_R1,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S4_P1234_R2,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S4_P1234_R3,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S5_P1234_R1,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S5_P1234_R2,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S5_P1234_R3,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S8.1_P1231_R1,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S8.1_P1231_R2,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S8.1_P1231_R3,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S8.2_P1231_R1,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S8.2_P1231_R2,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S8.2_P1231_R3,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S9_P1231_R1,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S9_P1231_R2,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
MANANG_S9_P1231_R3,2023,8,10,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
