plotID,year,month,day,name,unitsAppliedKgOrLitres,appliedAmount,comments
MANANG_S12_P0000_R1,2023,4,29,Avadex,L,2,at sowing
MANANG_S12_P0000_R1,2023,4,29,Glyphosate 450,L,3,at sowing
MANANG_S12_P0000_R1,2023,4,29,Propyzamide,L,1,at sowing
MANANG_S12_P0000_R1,2023,4,29,Trifluralin,L,1.5,at sowing
MANANG_S12_P0000_R2,2023,4,29,Avadex,L,2,at sowing
MANANG_S12_P0000_R2,2023,4,29,Glyphosate 450,L,3,at sowing
MANANG_S12_P0000_R2,2023,4,29,Propyzamide,L,1,at sowing
MANANG_S12_P0000_R2,2023,4,29,Trifluralin,L,1.5,at sowing
MANANG_S12_P0000_R3,2023,4,29,Avadex,L,2,at sowing
MANANG_S12_P0000_R3,2023,4,29,Glyphosate 450,L,3,at sowing
MANANG_S12_P0000_R3,2023,4,29,Propyzamide,L,1,at sowing
MANANG_S12_P0000_R3,2023,4,29,Trifluralin,L,1.5,at sowing
MANANG_S12_P0000_R4,2023,4,29,Avadex,L,2,at sowing
MANANG_S12_P0000_R4,2023,4,29,Glyphosate 450,L,3,at sowing
MANANG_S12_P0000_R4,2023,4,29,Propyzamide,L,1,at sowing
MANANG_S12_P0000_R4,2023,4,29,Trifluralin,L,1.5,at sowing
MANANG_S12_P0000_R5,2023,4,29,Avadex,L,2,at sowing
MANANG_S12_P0000_R5,2023,4,29,Glyphosate 450,L,3,at sowing
MANANG_S12_P0000_R5,2023,4,29,Propyzamide,L,1,at sowing
MANANG_S12_P0000_R5,2023,4,29,Trifluralin,L,1.5,at sowing
MANANG_S12_P0000_R6,2023,4,29,Avadex,L,2,at sowing
MANANG_S12_P0000_R6,2023,4,29,Glyphosate 450,L,3,at sowing
MANANG_S12_P0000_R6,2023,4,29,Propyzamide,L,1,at sowing
MANANG_S12_P0000_R6,2023,4,29,Trifluralin,L,1.5,at sowing
MANANG_S12_P0000_R7,2023,4,29,Avadex,L,2,at sowing
MANANG_S12_P0000_R7,2023,4,29,Glyphosate 450,L,3,at sowing
MANANG_S12_P0000_R7,2023,4,29,Propyzamide,L,1,at sowing
MANANG_S12_P0000_R7,2023,4,29,Trifluralin,L,1.5,at sowing
MANANG_S12_P0000_R8,2023,4,29,Avadex,L,2,at sowing
MANANG_S12_P0000_R8,2023,4,29,Glyphosate 450,L,3,at sowing
MANANG_S12_P0000_R8,2023,4,29,Propyzamide,L,1,at sowing
MANANG_S12_P0000_R8,2023,4,29,Trifluralin,L,1.5,at sowing
MANANG_S12_P0000_R9,2023,4,29,Avadex,L,2,at sowing
MANANG_S12_P0000_R9,2023,4,29,Glyphosate 450,L,3,at sowing
MANANG_S12_P0000_R9,2023,4,29,Propyzamide,L,1,at sowing
MANANG_S12_P0000_R9,2023,4,29,Trifluralin,L,1.5,at sowing
MANANG_S13_P0000_R1,2023,4,29,Avadex,L,2,at sowing
MANANG_S13_P0000_R1,2023,4,29,Glyphosate 450,L,3,at sowing
MANANG_S13_P0000_R1,2023,4,29,Propyzamide,L,1,at sowing
MANANG_S13_P0000_R1,2023,4,29,Trifluralin,L,1.5,at sowing
MANANG_S13_P0000_R2,2023,4,29,Avadex,L,2,at sowing
MANANG_S13_P0000_R2,2023,4,29,Glyphosate 450,L,3,at sowing
MANANG_S13_P0000_R2,2023,4,29,Propyzamide,L,1,at sowing
MANANG_S13_P0000_R2,2023,4,29,Trifluralin,L,1.5,at sowing
MANANG_S13_P0000_R3,2023,4,29,Avadex,L,2,at sowing
MANANG_S13_P0000_R3,2023,4,29,Glyphosate 450,L,3,at sowing
MANANG_S13_P0000_R3,2023,4,29,Propyzamide,L,1,at sowing
MANANG_S13_P0000_R3,2023,4,29,Trifluralin,L,1.5,at sowing
