plotID,year,month,day,crop1Name,crop2Name,crop3Name,crop1Variety,crop2Variety,crop3Variety,seedTreatment1Bool,seedTreatment2Bool,seedTreatment3Bool,sowingReason,crop1SowingDensity,crop2SowingDensity,crop3SowingDensity,crop1SowingDepth,crop2SowingDepth,crop3SowingDepth,sowingTimelinessDescription,comments
MANANG_S1.1_P1231_R1,2023,5,17,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
MANANG_S1.1_P1231_R2,2023,5,17,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
MANANG_S1.1_P1231_R3,2023,5,17,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
MANANG_S1.1_P2312_R1,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S1.1_P2312_R2,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S1.1_P2312_R3,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S1.1_P3123_R1,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S1.1_P3123_R2,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S1.1_P3123_R3,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S1.2_P1231_R1,2023,5,17,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
MANANG_S1.2_P1231_R2,2023,5,17,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
MANANG_S1.2_P1231_R3,2023,5,17,lentil,NA,NA,gia thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
MANANG_S1.2_P2312_R1,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
MANANG_S1.2_P2312_R2,2023,5,17,wheat,NA,NA,scepter,NA,NA,TRUE,NA,NA,sale,130,NA,NA,30,NA,NA,On-time,
