plotID,year,month,day,crop1Name,crop2Name,crop3Name,harvestOutcome,harvestReason,crop1Yield,crop2Yield,crop3Yield,terminationState,comments
MANANG_S1.1_P1231_R1,2023,12,5,lentil,NA,NA,success,sale,1186,NA,NA,stubble,
MANANG_S1.1_P1231_R2,2023,12,5,lentil,NA,NA,success,sale,720,NA,NA,stubble,
MANANG_S1.1_P1231_R3,2023,12,5,lentil,NA,NA,success,sale,1014,NA,NA,stubble,
MANANG_S1.1_P2312_R1,2023,12,5,wheat,NA,NA,success,sale,3522,NA,NA,stubble,
MANANG_S1.1_P2312_R2,2023,12,5,wheat,NA,NA,success,sale,3365,NA,NA,stubble,
MANANG_S1.1_P2312_R3,2023,12,5,wheat,NA,NA,success,sale,3331,NA,NA,stubble,
MANANG_S1.1_P3123_R1,2023,12,5,wheat,NA,NA,success,sale,3640,NA,NA,stubble,
MANANG_S1.1_P3123_R2,2023,12,5,wheat,NA,NA,success,sale,3782,NA,NA,stubble,
MANANG_S1.1_P3123_R3,2023,12,5,wheat,NA,NA,success,sale,2545,NA,NA,stubble,
MANANG_S1.2_P1231_R1,2023,12,5,lentil,NA,NA,success,sale,767,NA,NA,stubble,
MANANG_S1.2_P1231_R2,2023,12,5,lentil,NA,NA,success,sale,948,NA,NA,stubble,
MANANG_S1.2_P1231_R3,2023,12,5,lentil,NA,NA,success,sale,693,NA,NA,stubble,
MANANG_S1.2_P2312_R1,2023,12,5,wheat,NA,NA,success,sale,3349,NA,NA,stubble,
MANANG_S1.2_P2312_R2,2023,12,5,wheat,NA,NA,success,sale,3841,NA,NA,stubble,
MANANG_S1.2_P2312_R3,2023,12,5,wheat,NA,NA,success,sale,2940,NA,NA,stubble,
MANANG_S1.2_P3123_R1,2023,12,5,wheat,NA,NA,success,sale,3151,NA,NA,stubble,
MANANG_S1.2_P3123_R2,2023,12,5,wheat,NA,NA,success,sale,3192,NA,NA,stubble,
MANANG_S1.2_P3123_R3,2023,12,5,wheat,NA,NA,success,sale,3684,NA,NA,stubble,
MANANG_S1.3_P1231_R1,2023,12,5,lentil,NA,NA,success,sale,1090,NA,NA,stubble,
MANANG_S1.3_P1231_R2,2023,12,5,lentil,NA,NA,success,sale,1031,NA,NA,stubble,
MANANG_S1.3_P1231_R3,2023,12,5,lentil,NA,NA,success,sale,868,NA,NA,stubble,
MANANG_S1.3_P2312_R1,2023,12,5,wheat,NA,NA,success,sale,3726,NA,NA,stubble,
MANANG_S1.3_P2312_R2,2023,12,5,wheat,NA,NA,success,sale,3184,NA,NA,stubble,
MANANG_S1.3_P2312_R3,2023,12,5,wheat,NA,NA,success,sale,3274,NA,NA,stubble,
MANANG_S1.3_P3123_R1,2023,12,5,wheat,NA,NA,success,sale,3598,NA,NA,stubble,
