plotID,year,month,day,name,unitsAppliedKgOrLitres,appliedAmount,comments
ROSEWORTHY_S1.2_P2312_R1,2023,7,25,Aviator Xpro,L,0.3,0.3L/ha applied at Z-30 stage (cereal) / pre-canopy close (pulse) - whole site
ROSEWORTHY_S7_P0000_R1,2023,7,25,Aviator Xpro,L,0.3,0.3L/ha applied at Z-30 stage (cereal) / pre-canopy close (pulse) - whole site
ROSEWORTHY_S2_P1212_R1,2023,7,25,Aviator Xpro,L,0.3,0.3L/ha applied at Z-30 stage (cereal) / pre-canopy close (pulse) - whole site
ROSEWORTHY_S6_P0000_R1,2023,7,25,Aviator Xpro,L,0.3,0.3L/ha applied at Z-30 stage (cereal) / pre-canopy close (pulse) - whole site
ROSEWORTHY_S1.1_P3123_R1,2023,7,25,Aviator Xpro,L,0.3,0.3L/ha applied at Z-30 stage (cereal) / pre-canopy close (pulse) - whole site
ROSEWORTHY_S4_P3123_R1,2023,7,25,Aviator Xpro,L,0.3,0.3L/ha applied at Z-30 stage (cereal) / pre-canopy close (pulse) - whole site
ROSEWORTHY_S4_P1231_R1,2023,7,25,Aviator Xpro,L,0.3,0.3L/ha applied at Z-30 stage (cereal) / pre-canopy close (pulse) - whole site
ROSEWORTHY_S1.1_P1231_R1,2023,7,25,Aviator Xpro,L,0.3,0.3L/ha applied at Z-30 stage (cereal) / pre-canopy close (pulse) - whole site
ROSEWORTHY_S3_P2121_R1,2023,7,25,Aviator Xpro,L,0.3,0.3L/ha applied at Z-30 stage (cereal) / pre-canopy close (pulse) - whole site
ROSEWORTHY_S2_P2121_R1,2023,7,25,Aviator Xpro,L,0.3,0.3L/ha applied at Z-30 stage (cereal) / pre-canopy close (pulse) - whole site
ROSEWORTHY_S3_P1212_R1,2023,7,25,Aviator Xpro,L,0.3,0.3L/ha applied at Z-30 stage (cereal) / pre-canopy close (pulse) - whole site
ROSEWORTHY_S4_P2312_R1,2023,7,25,Aviator Xpro,L,0.3,0.3L/ha applied at Z-30 stage (cereal) / pre-canopy close (pulse) - whole site
ROSEWORTHY_S1.2_P3123_R1,2023,7,25,Aviator Xpro,L,0.3,0.3L/ha applied at Z-30 stage (cereal) / pre-canopy close (pulse) - whole site
ROSEWORTHY_S1.2_P1231_R1,2023,7,25,Aviator Xpro,L,0.3,0.3L/ha applied at Z-30 stage (cereal) / pre-canopy close (pulse) - whole site
ROSEWORTHY_S5_P0000_R1,2023,7,25,Aviator Xpro,L,0.3,0.3L/ha applied at Z-30 stage (cereal) / pre-canopy close (pulse) - whole site
ROSEWORTHY_S1.1_P2312_R1,2023,7,25,Aviator Xpro,L,0.3,0.3L/ha applied at Z-30 stage (cereal) / pre-canopy close (pulse) - whole site
