plotID,year,month,day,name,unitsAppliedKgOrLitres,appliedAmount,comments
ROSEWORTHY_S1.1_P1231_R1,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.1_P1231_R2,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.1_P1231_R3,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.1_P2312_R1,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.1_P2312_R2,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.1_P2312_R3,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.1_P3123_R1,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.1_P3123_R2,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.1_P3123_R3,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.2_P1231_R1,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.2_P1231_R2,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.2_P1231_R3,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.2_P2312_R1,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.2_P2312_R2,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.2_P2312_R3,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.2_P3123_R1,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.2_P3123_R2,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.2_P3123_R3,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S2_P1212_R1,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S2_P1212_R2,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S2_P1212_R3,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S2_P2121_R1,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S2_P2121_R2,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S2_P2121_R3,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S3_P1212_R1,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S3_P1212_R2,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S3_P1212_R3,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S3_P2121_R1,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S3_P2121_R2,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S3_P2121_R3,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S4_P1231_R1,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S4_P1231_R2,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S4_P1231_R3,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S4_P2312_R1,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S4_P2312_R2,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S4_P2312_R3,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S4_P3123_R1,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S4_P3123_R2,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S4_P3123_R3,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S5_P0000_R1,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S5_P0000_R2,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S5_P0000_R3,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S6_P0000_R1,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S6_P0000_R2,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S6_P0000_R3,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S7_P0000_R1,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S7_P0000_R2,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S7_P0000_R3,2023,4,15,Crucial,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.1_P1231_R1,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.1_P1231_R2,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.1_P1231_R3,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.1_P2312_R1,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.1_P2312_R2,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.1_P2312_R3,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.1_P3123_R1,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.1_P3123_R2,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.1_P3123_R3,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.2_P1231_R1,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.2_P1231_R2,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.2_P1231_R3,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.2_P2312_R1,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.2_P2312_R2,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.2_P2312_R3,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.2_P3123_R1,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.2_P3123_R2,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S1.2_P3123_R3,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S2_P1212_R1,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S2_P1212_R2,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S2_P1212_R3,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S2_P2121_R1,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S2_P2121_R2,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S2_P2121_R3,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
ROSEWORTHY_S3_P1212_R1,2023,5,10,Paraquat,L,2,2L/ha applied as Knockdown - Whole site
