plotID,year,month,day,crop1Name,crop2Name,crop3Name,crop1Variety,crop2Variety,crop3Variety,seedTreatment1Bool,seedTreatment2Bool,seedTreatment3Bool,sowingReason,crop1SowingDensity,crop2SowingDensity,crop3SowingDensity,crop1SowingDepth,crop2SowingDepth,crop3SowingDepth,sowingTimelinessDescription,comments
ROSEWORTHY_S1.1_P1231_R1,2023,5,24,lentil,NA,NA,hurricane xt,NA,NA,TRUE,NA,NA,sale,121,NA,NA,31,NA,NA,On-time,
ROSEWORTHY_S1.1_P1231_R2,2023,5,24,lentil,NA,NA,hurricane xt,NA,NA,TRUE,NA,NA,sale,124,NA,NA,34,NA,NA,On-time,
ROSEWORTHY_S1.1_P1231_R3,2023,5,24,lentil,NA,NA,hurricane xt,NA,NA,TRUE,NA,NA,sale,126,NA,NA,36,NA,NA,On-time,
ROSEWORTHY_S1.1_P2312_R1,2023,5,24,wheat,NA,NA,calibre,NA,NA,TRUE,NA,NA,sale,202,NA,NA,32,NA,NA,On-time,
ROSEWORTHY_S1.1_P2312_R2,2023,5,24,wheat,NA,NA,calibre,NA,NA,TRUE,NA,NA,sale,204,NA,NA,34,NA,NA,On-time,
ROSEWORTHY_S1.1_P2312_R3,2023,5,24,wheat,NA,NA,calibre,NA,NA,TRUE,NA,NA,sale,208,NA,NA,38,NA,NA,On-time,
ROSEWORTHY_S1.1_P3123_R1,2023,5,24,barley,NA,NA,compass,NA,NA,TRUE,NA,NA,sale,180,NA,NA,30,NA,NA,On-time,
ROSEWORTHY_S1.1_P3123_R2,2023,5,24,barley,NA,NA,compass,NA,NA,TRUE,NA,NA,sale,182,NA,NA,32,NA,NA,On-time,
ROSEWORTHY_S1.1_P3123_R3,2023,5,24,barley,NA,NA,compass,NA,NA,TRUE,NA,NA,sale,185,NA,NA,35,NA,NA,On-time,
ROSEWORTHY_S1.2_P1231_R1,2023,5,24,lentil,NA,NA,hurricane xt,NA,NA,TRUE,NA,NA,sale,122,NA,NA,32,NA,NA,On-time,
ROSEWORTHY_S1.2_P1231_R2,2023,5,24,lentil,NA,NA,hurricane xt,NA,NA,TRUE,NA,NA,sale,125,NA,NA,35,NA,NA,On-time,
ROSEWORTHY_S1.2_P1231_R3,2023,5,24,lentil,NA,NA,hurricane xt,NA,NA,TRUE,NA,NA,sale,128,NA,NA,38,NA,NA,On-time,
ROSEWORTHY_S1.2_P2312_R1,2023,5,24,wheat,NA,NA,calibre,NA,NA,TRUE,NA,NA,sale,200,NA,NA,30,NA,NA,On-time,
ROSEWORTHY_S1.2_P2312_R2,2023,5,24,wheat,NA,NA,calibre,NA,NA,TRUE,NA,NA,sale,203,NA,NA,33,NA,NA,On-time,
ROSEWORTHY_S1.2_P2312_R3,2023,5,24,wheat,NA,NA,calibre,NA,NA,TRUE,NA,NA,sale,207,NA,NA,37,NA,NA,On-time,
ROSEWORTHY_S1.2_P3123_R1,2023,5,24,barley,NA,NA,compass,NA,NA,TRUE,NA,NA,sale,181,NA,NA,31,NA,NA,On-time,
ROSEWORTHY_S1.2_P3123_R2,2023,5,24,barley,NA,NA,compass,NA,NA,TRUE,NA,NA,sale,183,NA,NA,33,NA,NA,On-time,
