plotID,year,month,day,crop1Name,crop2Name,crop3Name,harvestOutcome,harvestReason,crop1Yield,crop2Yield,crop3Yield,terminationState,comments
ROSEWORTHY_S1.1_P1231_R1,2023,11,7,lentil,NA,NA,success,sale,1983,NA,NA,stubble,
ROSEWORTHY_S1.1_P1231_R2,2023,11,7,lentil,NA,NA,success,sale,1118,NA,NA,stubble,
ROSEWORTHY_S1.1_P1231_R3,2023,11,7,lentil,NA,NA,success,sale,1799,NA,NA,stubble,
ROSEWORTHY_S1.1_P2312_R1,2023,11,7,wheat,NA,NA,success,sale,5023,NA,NA,stubble,
ROSEWORTHY_S1.1_P2312_R2,2023,11,7,wheat,NA,NA,success,sale,5104,NA,NA,stubble,
ROSEWORTHY_S1.1_P2312_R3,2023,11,7,wheat,NA,NA,success,sale,4659,NA,NA,stubble,
ROSEWORTHY_S1.1_P3123_R1,2023,11,7,barley,NA,NA,success,sale,5260,NA,NA,stubble,
ROSEWORTHY_S1.1_P3123_R2,2023,11,7,barley,NA,NA,success,sale,5447,NA,NA,stubble,
ROSEWORTHY_S1.1_P3123_R3,2023,11,7,barley,NA,NA,success,sale,4717,NA,NA,stubble,
ROSEWORTHY_S1.2_P1231_R1,2023,11,7,lentil,NA,NA,success,sale,1621,NA,NA,stubble,
ROSEWORTHY_S1.2_P1231_R2,2023,11,7,lentil,NA,NA,success,sale,1521,NA,NA,stubble,
ROSEWORTHY_S1.2_P1231_R3,2023,11,7,lentil,NA,NA,success,sale,1479,NA,NA,stubble,
ROSEWORTHY_S1.2_P2312_R1,2023,11,7,wheat,NA,NA,success,sale,5590,NA,NA,stubble,
ROSEWORTHY_S1.2_P2312_R2,2023,11,7,wheat,NA,NA,success,sale,5613,NA,NA,stubble,
ROSEWORTHY_S1.2_P2312_R3,2023,11,7,wheat,NA,NA,success,sale,3754,NA,NA,stubble,
ROSEWORTHY_S1.2_P3123_R1,2023,11,7,barley,NA,NA,success,sale,5069,NA,NA,stubble,
ROSEWORTHY_S1.2_P3123_R2,2023,11,7,barley,NA,NA,success,sale,5141,NA,NA,stubble,
ROSEWORTHY_S1.2_P3123_R3,2023,11,7,barley,NA,NA,success,sale,5250,NA,NA,stubble,
ROSEWORTHY_S2_P1212_R1,2023,11,7,lentil,NA,NA,success,sale,2030,NA,NA,stubble,
ROSEWORTHY_S2_P1212_R2,2023,11,7,lentil,NA,NA,success,sale,1460,NA,NA,stubble,
ROSEWORTHY_S2_P1212_R3,2023,11,7,lentil,NA,NA,success,sale,1572,NA,NA,stubble,
ROSEWORTHY_S2_P2121_R1,2023,11,7,durum,NA,NA,success,sale,3394,NA,NA,stubble,
ROSEWORTHY_S2_P2121_R2,2023,11,7,durum,NA,NA,success,sale,3622,NA,NA,stubble,
ROSEWORTHY_S2_P2121_R3,2023,11,7,durum,NA,NA,success,sale,2519,NA,NA,stubble,
ROSEWORTHY_S3_P1212_R1,2023,11,7,vetch,NA,NA,success,mulch,5090,NA,NA,stubble,
ROSEWORTHY_S3_P1212_R2,2023,11,7,vetch,NA,NA,success,mulch,5710,NA,NA,stubble,
ROSEWORTHY_S3_P1212_R3,2023,11,7,vetch,NA,NA,success,mulch,6330,NA,NA,stubble,
ROSEWORTHY_S3_P2121_R1,2023,11,7,durum,NA,NA,success,sale,3678,NA,NA,stubble,
ROSEWORTHY_S3_P2121_R2,2023,11,7,durum,NA,NA,success,sale,4139,NA,NA,stubble,
ROSEWORTHY_S3_P2121_R3,2023,11,7,durum,NA,NA,success,sale,2270,NA,NA,stubble,
ROSEWORTHY_S4_P1231_R1,2023,11,7,canola,fieldpea,NA,success,sale,951,1450,NA,stubble,
ROSEWORTHY_S4_P1231_R2,2023,11,7,canola,fieldpea,NA,success,sale,578,1756,NA,stubble,
ROSEWORTHY_S4_P1231_R3,2023,11,7,canola,fieldpea,NA,success,sale,711,1769,NA,stubble,
ROSEWORTHY_S4_P2312_R1,2023,11,7,wheat,lentil,NA,success,sale,3361,445,NA,stubble,
ROSEWORTHY_S4_P2312_R2,2023,11,7,wheat,lentil,NA,success,sale,3184,509,NA,stubble,
ROSEWORTHY_S4_P2312_R3,2023,11,7,wheat,lentil,NA,success,sale,3499,517,NA,stubble,
ROSEWORTHY_S4_P3123_R1,2023,11,7,barley,fababean,NA,success,sale,3668,560,NA,stubble,
ROSEWORTHY_S4_P3123_R2,2023,11,7,barley,fababean,NA,success,sale,3945,484,NA,stubble,
ROSEWORTHY_S4_P3123_R3,2023,11,7,barley,fababean,NA,success,sale,3853,432,NA,stubble,
ROSEWORTHY_S5_P0000_R1,2023,11,7,canola,NA,NA,success,sale,2031,NA,NA,stubble,
ROSEWORTHY_S5_P0000_R2,2023,11,7,canola,NA,NA,success,sale,2091,NA,NA,stubble,
ROSEWORTHY_S5_P0000_R3,2023,11,7,canola,NA,NA,success,sale,1587,NA,NA,stubble,
ROSEWORTHY_S6_P0000_R1,2023,11,7,wheat,NA,NA,success,sale,5908,NA,NA,stubble,
ROSEWORTHY_S6_P0000_R2,2023,11,7,wheat,NA,NA,success,sale,5306,NA,NA,stubble,
ROSEWORTHY_S6_P0000_R3,2023,11,7,wheat,NA,NA,success,sale,3493,NA,NA,stubble,
ROSEWORTHY_S7_P0000_R1,2023,11,7,durum,NA,NA,success,sale,3288,NA,NA,stubble,
ROSEWORTHY_S7_P0000_R2,2023,11,7,durum,NA,NA,success,sale,3575,NA,NA,stubble,
ROSEWORTHY_S7_P0000_R3,2023,11,7,durum,NA,NA,success,sale,4197,NA,NA,stubble,
