plotID,year,month,day,name,unitsAppliedKgOrLitres,appliedAmount,comments
STREATHAM_S1.1_P1212_R1,2023,5,4,MAP,kg,130,
STREATHAM_S1.1_P1212_R1,2023,6,27,Gran-am,kg,100,Early nutrition
STREATHAM_S1.1_P1212_R1,2023,8,11,Urea,kg,100,N1 trts - urea 1. Target 3 t/ha
STREATHAM_S1.1_P1212_R1,2023,8,30,Urea,kg,50,N1 trts - urea 2. Target 3 t/ha
STREATHAM_S1.1_P1212_R2,2023,5,4,MAP,kg,130,
STREATHAM_S1.1_P1212_R2,2023,6,27,Gran-am,kg,100,Early nutrition
STREATHAM_S1.1_P1212_R2,2023,8,11,Urea,kg,100,N1 trts - urea 1. Target 3 t/ha
STREATHAM_S1.1_P1212_R2,2023,8,30,Urea,kg,50,N1 trts - urea 2. Target 3 t/ha
STREATHAM_S1.1_P1212_R3,2023,5,4,MAP,kg,130,
STREATHAM_S1.1_P1212_R3,2023,6,27,Gran-am,kg,100,Early nutrition
STREATHAM_S1.1_P1212_R3,2023,8,11,Urea,kg,100,N1 trts - urea 1. Target 3 t/ha
STREATHAM_S1.1_P1212_R3,2023,8,30,Urea,kg,50,N1 trts - urea 2. Target 3 t/ha
STREATHAM_S1.1_P2121_R1,2023,5,3,MAP,kg,130,
STREATHAM_S1.1_P2121_R1,2023,8,30,Urea,kg,115,N1 trts - urea 1. Target 7 t/ha
STREATHAM_S1.1_P2121_R1,2023,9,12,Urea,kg,85,N1 trts - urea 2. Target 7 t/ha
STREATHAM_S1.1_P2121_R1,2023,9,27,Urea,kg,85,N1 trts - urea 3. Target 7 t/ha
STREATHAM_S1.1_P2121_R2,2023,5,3,MAP,kg,130,
STREATHAM_S1.1_P2121_R2,2023,8,30,Urea,kg,115,N1 trts - urea 1. Target 7 t/ha
STREATHAM_S1.1_P2121_R2,2023,9,12,Urea,kg,85,N1 trts - urea 2. Target 7 t/ha
STREATHAM_S1.1_P2121_R2,2023,9,27,Urea,kg,85,N1 trts - urea 3. Target 7 t/ha
STREATHAM_S1.1_P2121_R3,2023,5,3,MAP,kg,130,
STREATHAM_S1.1_P2121_R3,2023,8,30,Urea,kg,115,N1 trts - urea 1. Target 7 t/ha
STREATHAM_S1.1_P2121_R3,2023,9,12,Urea,kg,85,N1 trts - urea 2. Target 7 t/ha
STREATHAM_S1.1_P2121_R3,2023,9,27,Urea,kg,85,N1 trts - urea 3. Target 7 t/ha
STREATHAM_S1.2_P1212_R1,2023,5,4,MAP,kg,130,
STREATHAM_S1.2_P1212_R1,2023,6,27,Gran-am,kg,100,Early nutrition
STREATHAM_S1.2_P1212_R1,2023,8,11,Urea,kg,150,N2 trts + all other non N tactical canola - urea 1. Target 3.5 t/ha SFS standard
STREATHAM_S1.2_P1212_R1,2023,8,30,Urea,kg,100,N2 trts + all other non N tactical canola - urea 2. Target 3.5 t/ha SFS standard
STREATHAM_S1.2_P1212_R2,2023,5,4,MAP,kg,130,
STREATHAM_S1.2_P1212_R2,2023,6,27,Gran-am,kg,100,Early nutrition
STREATHAM_S1.2_P1212_R2,2023,8,11,Urea,kg,150,N2 trts + all other non N tactical canola - urea 1. Target 3.5 t/ha SFS standard
STREATHAM_S1.2_P1212_R2,2023,8,30,Urea,kg,100,N2 trts + all other non N tactical canola - urea 2. Target 3.5 t/ha SFS standard
STREATHAM_S1.2_P1212_R3,2023,5,4,MAP,kg,130,
STREATHAM_S1.2_P1212_R3,2023,6,27,Gran-am,kg,100,Early nutrition
STREATHAM_S1.2_P1212_R3,2023,8,11,Urea,kg,150,N2 trts + all other non N tactical canola - urea 1. Target 3.5 t/ha SFS standard
STREATHAM_S1.2_P1212_R3,2023,8,30,Urea,kg,100,N2 trts + all other non N tactical canola - urea 2. Target 3.5 t/ha SFS standard
STREATHAM_S1.2_P2121_R1,2023,5,3,MAP,kg,130,
STREATHAM_S1.2_P2121_R1,2023,8,30,Urea,kg,150,N2 trts + all other non N tactical wheat - urea 1. Taget 8 t/ha SFS standard
STREATHAM_S1.2_P2121_R1,2023,9,12,Urea,kg,115,N2 trts + all other non N tactical wheat - urea 2. Taget 8 t/ha SFS standard
STREATHAM_S1.2_P2121_R1,2023,9,27,Urea,kg,115,N2 trts + all other non N tactical wheat - urea 3. Taget 8 t/ha SFS standard
STREATHAM_S1.2_P2121_R2,2023,5,3,MAP,kg,130,
STREATHAM_S1.2_P2121_R2,2023,8,30,Urea,kg,150,N2 trts + all other non N tactical wheat - urea 1. Taget 8 t/ha SFS standard
STREATHAM_S1.2_P2121_R2,2023,9,12,Urea,kg,115,N2 trts + all other non N tactical wheat - urea 2. Taget 8 t/ha SFS standard
STREATHAM_S1.2_P2121_R2,2023,9,27,Urea,kg,115,N2 trts + all other non N tactical wheat - urea 3. Taget 8 t/ha SFS standard
STREATHAM_S1.2_P2121_R3,2023,5,3,MAP,kg,130,
STREATHAM_S1.2_P2121_R3,2023,8,30,Urea,kg,150,N2 trts + all other non N tactical wheat - urea 1. Taget 8 t/ha SFS standard
STREATHAM_S1.2_P2121_R3,2023,9,12,Urea,kg,115,N2 trts + all other non N tactical wheat - urea 2. Taget 8 t/ha SFS standard
STREATHAM_S1.2_P2121_R3,2023,9,27,Urea,kg,115,N2 trts + all other non N tactical wheat - urea 3. Taget 8 t/ha SFS standard
STREATHAM_S1.3_P1212_R1,2023,5,23,MAP,kg,130,
STREATHAM_S1.3_P1212_R1,2023,9,12,Urea,kg,100,Urea 2. Target 3.5 t/ha
STREATHAM_S1.3_P1212_R2,2023,5,23,MAP,kg,130,
STREATHAM_S1.3_P1212_R2,2023,9,12,Urea,kg,100,Urea 2. Target 3.5 t/ha
STREATHAM_S1.3_P1212_R3,2023,5,23,MAP,kg,130,
STREATHAM_S1.3_P1212_R3,2023,9,12,Urea,kg,100,Urea 2. Target 3.5 t/ha
STREATHAM_S1.3_P2121_R1,2023,5,23,MAP,kg,130,
STREATHAM_S1.3_P2121_R1,2023,9,5,Urea,kg,180,Urea 1
STREATHAM_S1.3_P2121_R1,2023,9,18,Urea,kg,115,Urea 2
STREATHAM_S1.3_P2121_R1,2023,10,4,Urea,kg,115,Urea 3
STREATHAM_S1.3_P2121_R2,2023,5,23,MAP,kg,130,
STREATHAM_S1.3_P2121_R2,2023,9,5,Urea,kg,180,Urea 1
STREATHAM_S1.3_P2121_R2,2023,9,18,Urea,kg,115,Urea 2
STREATHAM_S1.3_P2121_R2,2023,10,4,Urea,kg,115,Urea 3
STREATHAM_S1.3_P2121_R3,2023,5,23,MAP,kg,130,
STREATHAM_S1.3_P2121_R3,2023,9,5,Urea,kg,180,Urea 1
STREATHAM_S1.3_P2121_R3,2023,9,18,Urea,kg,115,Urea 2
STREATHAM_S1.3_P2121_R3,2023,10,4,Urea,kg,115,Urea 3
STREATHAM_S1.4_P1212_R1,2023,5,4,MAP,kg,130,
