plotID,year,month,day,name,unitsAppliedKgOrLitres,appliedAmount,comments
STREATHAM_S11_P0000_R1,2023,8,8,Aviator Xpro,L,0.145,6-8 node
STREATHAM_S11_P0000_R4,2023,8,8,Aviator Xpro,L,0.145,6-8 node
STREATHAM_S11_P0000_R5,2023,8,8,Aviator Xpro,L,0.145,6-8 node
STREATHAM_S11_P0000_R2,2023,8,8,Aviator Xpro,L,0.145,6-8 node
STREATHAM_S11_P0000_R6,2023,8,8,Aviator Xpro,L,0.145,6-8 node
STREATHAM_S11_P0000_R7,2023,8,8,Aviator Xpro,L,0.145,6-8 node
STREATHAM_S11_P0000_R3,2023,8,8,Aviator Xpro,L,0.145,6-8 node
STREATHAM_S11_P0000_R8,2023,8,8,Aviator Xpro,L,0.145,6-8 node
STREATHAM_S11_P0000_R9,2023,8,8,Aviator Xpro,L,0.145,6-8 node
STREATHAM_S11_P0000_R1,2023,8,25,Prosaro,L,0.3,Flag -2
STREATHAM_S11_P0000_R2,2023,8,25,Prosaro,L,0.3,Flag -2
STREATHAM_S11_P0000_R3,2023,8,25,Prosaro,L,0.3,Flag -2
STREATHAM_S11_P0000_R4,2023,8,25,Prosaro,L,0.3,Flag -2
STREATHAM_S11_P0000_R5,2023,8,25,Prosaro,L,0.3,Flag -2
STREATHAM_S11_P0000_R6,2023,8,25,Prosaro,L,0.3,Flag -2
STREATHAM_S11_P0000_R7,2023,8,25,Prosaro,L,0.3,Flag -2
STREATHAM_S11_P0000_R8,2023,8,25,Prosaro,L,0.3,Flag -2
STREATHAM_S11_P0000_R9,2023,8,25,Prosaro,L,0.3,Flag -2
STREATHAM_S11_P0000_R1,2023,9,1,Miravis Star,L,1,Canopy closure
STREATHAM_S11_P0000_R2,2023,9,1,Miravis Star,L,1,Canopy closure
STREATHAM_S11_P0000_R3,2023,9,1,Miravis Star,L,1,Canopy closure
STREATHAM_S11_P0000_R4,2023,9,1,Miravis Star,L,1,Canopy closure
STREATHAM_S11_P0000_R5,2023,9,1,Miravis Star,L,1,Canopy closure
STREATHAM_S11_P0000_R6,2023,9,1,Miravis Star,L,1,Canopy closure
STREATHAM_S11_P0000_R7,2023,9,1,Miravis Star,L,1,Canopy closure
STREATHAM_S11_P0000_R8,2023,9,1,Miravis Star,L,1,Canopy closure
STREATHAM_S11_P0000_R9,2023,9,1,Miravis Star,L,1,Canopy closure
STREATHAM_S12_P0000_R1,2023,9,13,Radial,L,0.84,Flag -2
STREATHAM_S12_P0000_R2,2023,9,13,Radial,L,0.84,Flag -2
STREATHAM_S12_P0000_R3,2023,9,13,Radial,L,0.84,Flag -2
STREATHAM_S12_P0000_R4,2023,9,13,Radial,L,0.84,Flag -2
STREATHAM_S12_P0000_R5,2023,9,13,Radial,L,0.84,Flag -2
STREATHAM_S12_P0000_R6,2023,9,13,Radial,L,0.84,Flag -2
STREATHAM_S12_P0000_R7,2023,9,13,Radial,L,0.84,Flag -2
STREATHAM_S12_P0000_R8,2023,9,13,Radial,L,0.84,Flag -2
STREATHAM_S12_P0000_R9,2023,9,13,Radial,L,0.84,Flag -2
STREATHAM_S11_P0000_R1,2023,9,18,Radial,L,0.84,GS 49
STREATHAM_S11_P0000_R2,2023,9,18,Radial,L,0.84,GS 49
STREATHAM_S11_P0000_R3,2023,9,18,Radial,L,0.84,GS 49
STREATHAM_S11_P0000_R4,2023,9,18,Radial,L,0.84,GS 49
STREATHAM_S11_P0000_R5,2023,9,18,Radial,L,0.84,GS 49
STREATHAM_S11_P0000_R6,2023,9,18,Radial,L,0.84,GS 49
STREATHAM_S11_P0000_R7,2023,9,18,Radial,L,0.84,GS 49
STREATHAM_S11_P0000_R8,2023,9,18,Radial,L,0.84,GS 49
STREATHAM_S11_P0000_R9,2023,9,18,Radial,L,0.84,GS 49
STREATHAM_S11_P0000_R1,2023,10,8,Aviator Xpro,L,0.5,GS-39
STREATHAM_S11_P0000_R2,2023,10,8,Aviator Xpro,L,0.5,GS-39
STREATHAM_S11_P0000_R3,2023,10,8,Aviator Xpro,L,0.5,GS-39
STREATHAM_S11_P0000_R4,2023,10,8,Aviator Xpro,L,0.5,GS-39
STREATHAM_S11_P0000_R5,2023,10,8,Aviator Xpro,L,0.5,GS-39
STREATHAM_S11_P0000_R6,2023,10,8,Aviator Xpro,L,0.5,GS-39
STREATHAM_S11_P0000_R7,2023,10,8,Aviator Xpro,L,0.5,GS-39
STREATHAM_S11_P0000_R8,2023,10,8,Aviator Xpro,L,0.5,GS-39
STREATHAM_S11_P0000_R9,2023,10,8,Aviator Xpro,L,0.5,GS-39
STREATHAM_S12_P0000_R1,2023,10,8,Aviator Xpro,L,0.5,GS-39
STREATHAM_S12_P0000_R2,2023,10,8,Aviator Xpro,L,0.5,GS-39
STREATHAM_S12_P0000_R3,2023,10,8,Aviator Xpro,L,0.5,GS-39
STREATHAM_S12_P0000_R4,2023,10,8,Aviator Xpro,L,0.5,GS-39
STREATHAM_S12_P0000_R5,2023,10,8,Aviator Xpro,L,0.5,GS-39
STREATHAM_S12_P0000_R6,2023,10,8,Aviator Xpro,L,0.5,GS-39
STREATHAM_S12_P0000_R7,2023,10,8,Aviator Xpro,L,0.5,GS-39
STREATHAM_S12_P0000_R8,2023,10,8,Aviator Xpro,L,0.5,GS-39
