plotID,year,month,day,name,targetPest,unitsAppliedKgOrLitres,appliedAmount,comments
STREATHAM_S11_P0000_R1,2023,5,5,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R2,2023,5,5,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R3,2023,5,5,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R4,2023,5,5,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R5,2023,5,5,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R6,2023,5,5,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R7,2023,5,5,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R8,2023,5,5,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R9,2023,5,5,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R1,2023,5,11,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R2,2023,5,11,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R3,2023,5,11,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R4,2023,5,11,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R5,2023,5,11,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R6,2023,5,11,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R7,2023,5,11,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R8,2023,5,11,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R9,2023,5,11,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R1,2023,5,17,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R2,2023,5,17,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R3,2023,5,17,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R4,2023,5,17,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R5,2023,5,17,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R6,2023,5,17,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R7,2023,5,17,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R8,2023,5,17,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R9,2023,5,17,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R1,2023,5,22,Pyrinex Super,RLEM,L,1,all site - PSPE
STREATHAM_S11_P0000_R2,2023,5,22,Pyrinex Super,RLEM,L,1,all site - PSPE
STREATHAM_S11_P0000_R3,2023,5,22,Pyrinex Super,RLEM,L,1,all site - PSPE
STREATHAM_S11_P0000_R4,2023,5,22,Pyrinex Super,RLEM,L,1,all site - PSPE
STREATHAM_S11_P0000_R5,2023,5,22,Pyrinex Super,RLEM,L,1,all site - PSPE
STREATHAM_S11_P0000_R6,2023,5,22,Pyrinex Super,RLEM,L,1,all site - PSPE
STREATHAM_S11_P0000_R7,2023,5,22,Pyrinex Super,RLEM,L,1,all site - PSPE
STREATHAM_S11_P0000_R8,2023,5,22,Pyrinex Super,RLEM,L,1,all site - PSPE
STREATHAM_S11_P0000_R9,2023,5,22,Pyrinex Super,RLEM,L,1,all site - PSPE
STREATHAM_S11_P0000_R1,2023,5,24,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R2,2023,5,24,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R3,2023,5,24,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R4,2023,5,24,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R5,2023,5,24,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R6,2023,5,24,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R7,2023,5,24,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R8,2023,5,24,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R9,2023,5,24,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S11_P0000_R1,2023,6,2,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S11_P0000_R2,2023,6,2,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S11_P0000_R3,2023,6,2,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S11_P0000_R4,2023,6,2,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S11_P0000_R5,2023,6,2,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S11_P0000_R6,2023,6,2,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S11_P0000_R7,2023,6,2,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S11_P0000_R8,2023,6,2,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S11_P0000_R9,2023,6,2,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S11_P0000_R1,2023,6,16,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S11_P0000_R2,2023,6,16,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S11_P0000_R3,2023,6,16,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S11_P0000_R4,2023,6,16,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S11_P0000_R5,2023,6,16,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S11_P0000_R6,2023,6,16,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S11_P0000_R7,2023,6,16,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S11_P0000_R8,2023,6,16,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S11_P0000_R9,2023,6,16,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S12_P0000_R1,2023,5,5,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R2,2023,5,5,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R3,2023,5,5,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R4,2023,5,5,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R5,2023,5,5,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R6,2023,5,5,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R7,2023,5,5,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R8,2023,5,5,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R9,2023,5,5,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R1,2023,5,11,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R2,2023,5,11,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R3,2023,5,11,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R4,2023,5,11,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R5,2023,5,11,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R6,2023,5,11,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R7,2023,5,11,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R8,2023,5,11,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R9,2023,5,11,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R1,2023,5,17,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R2,2023,5,17,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R3,2023,5,17,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R4,2023,5,17,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R5,2023,5,17,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R6,2023,5,17,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R7,2023,5,17,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R8,2023,5,17,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R9,2023,5,17,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R1,2023,5,22,Pyrinex Super,RLEM,L,1,all site - PSPE
STREATHAM_S12_P0000_R2,2023,5,22,Pyrinex Super,RLEM,L,1,all site - PSPE
STREATHAM_S12_P0000_R3,2023,5,22,Pyrinex Super,RLEM,L,1,all site - PSPE
STREATHAM_S12_P0000_R4,2023,5,22,Pyrinex Super,RLEM,L,1,all site - PSPE
STREATHAM_S12_P0000_R5,2023,5,22,Pyrinex Super,RLEM,L,1,all site - PSPE
STREATHAM_S12_P0000_R6,2023,5,22,Pyrinex Super,RLEM,L,1,all site - PSPE
STREATHAM_S12_P0000_R7,2023,5,22,Pyrinex Super,RLEM,L,1,all site - PSPE
STREATHAM_S12_P0000_R8,2023,5,22,Pyrinex Super,RLEM,L,1,all site - PSPE
STREATHAM_S12_P0000_R9,2023,5,22,Pyrinex Super,RLEM,L,1,all site - PSPE
STREATHAM_S12_P0000_R1,2023,5,24,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R2,2023,5,24,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R3,2023,5,24,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R4,2023,5,24,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R5,2023,5,24,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R6,2023,5,24,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R7,2023,5,24,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R8,2023,5,24,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R9,2023,5,24,Transcend,faw,kg,8,all site - Molluscicide - Slugs and millipedes - Slugs and millipedes
STREATHAM_S12_P0000_R1,2023,6,2,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S12_P0000_R2,2023,6,2,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S12_P0000_R3,2023,6,2,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S12_P0000_R4,2023,6,2,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S12_P0000_R5,2023,6,2,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S12_P0000_R6,2023,6,2,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S12_P0000_R7,2023,6,2,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S12_P0000_R8,2023,6,2,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S12_P0000_R9,2023,6,2,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S12_P0000_R1,2023,6,16,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S12_P0000_R2,2023,6,16,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S12_P0000_R3,2023,6,16,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
STREATHAM_S12_P0000_R4,2023,6,16,Metarex,Slugs,kg,5,all site - Molluscicide - Slugs
