plotID,year,month,day,crop1Name,crop2Name,crop3Name,crop1Variety,crop2Variety,crop3Variety,seedTreatment1Bool,seedTreatment2Bool,seedTreatment3Bool,sowingReason,crop1SowingDensity,crop2SowingDensity,crop3SowingDensity,crop1SowingDepth,crop2SowingDepth,crop3SowingDepth,sowingTimelinessDescription,comments,SITE
STREATHAM_S1.1_P1212_R1,2023,5,4,canola,NA,NA,45y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,Early,,STREATHAM
STREATHAM_S1.1_P1212_R2,2023,5,4,canola,NA,NA,45y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,Early,,STREATHAM
STREATHAM_S1.1_P1212_R3,2023,5,4,canola,NA,NA,45y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,Early,,STREATHAM
STREATHAM_S1.1_P2121_R1,2023,5,3,wheat,NA,NA,bigred,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,Early,,STREATHAM
STREATHAM_S1.1_P2121_R2,2023,5,3,wheat,NA,NA,bigred,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,Early,,STREATHAM
STREATHAM_S1.1_P2121_R3,2023,5,3,wheat,NA,NA,bigred,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,Early,,STREATHAM
STREATHAM_S1.2_P1212_R1,2023,5,4,canola,NA,NA,45y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,Early,,STREATHAM
STREATHAM_S1.2_P1212_R2,2023,5,4,canola,NA,NA,45y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,Early,,STREATHAM
STREATHAM_S1.2_P1212_R3,2023,5,4,canola,NA,NA,45y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,Early,,STREATHAM
STREATHAM_S1.2_P2121_R1,2023,5,3,wheat,NA,NA,bigred,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,Early,,STREATHAM
STREATHAM_S1.2_P2121_R2,2023,5,3,wheat,NA,NA,bigred,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,Early,,STREATHAM
STREATHAM_S1.2_P2121_R3,2023,5,3,wheat,NA,NA,bigred,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,Early,,STREATHAM
STREATHAM_S1.3_P1212_R1,2023,5,23,canola,NA,NA,45y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,On-time,TOS 2,STREATHAM
STREATHAM_S1.3_P1212_R2,2023,5,23,canola,NA,NA,45y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,On-time,TOS 2,STREATHAM
STREATHAM_S1.3_P1212_R3,2023,5,23,canola,NA,NA,45y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,On-time,TOS 2,STREATHAM
STREATHAM_S1.3_P2121_R1,2023,5,23,wheat,NA,NA,bigred,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,On-time,TOS 2,STREATHAM
STREATHAM_S1.3_P2121_R2,2023,5,23,wheat,NA,NA,bigred,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,On-time,TOS 2,STREATHAM
STREATHAM_S1.3_P2121_R3,2023,5,23,wheat,NA,NA,bigred,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,On-time,TOS 2,STREATHAM
STREATHAM_S1.4_P1212_R1,2023,5,4,canola,NA,NA,45y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,Early,,STREATHAM
STREATHAM_S1.4_P1212_R2,2023,5,4,canola,NA,NA,45y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,Early,,STREATHAM
STREATHAM_S1.4_P1212_R3,2023,5,4,canola,NA,NA,45y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,Early,,STREATHAM
STREATHAM_S1.4_P2121_R1,2023,5,3,wheat,NA,NA,bigred,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,Early,,STREATHAM
STREATHAM_S1.4_P2121_R2,2023,5,3,wheat,NA,NA,bigred,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,Early,,STREATHAM
STREATHAM_S1.4_P2121_R3,2023,5,3,wheat,NA,NA,bigred,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,Early,,STREATHAM
STREATHAM_S10_P1212_R1,2023,5,13,canola,field pea,NA,45y95,uncertified,NA,TRUE,TRUE,NA,sale,40,20,NA,10,10,NA,On-time,,STREATHAM
STREATHAM_S10_P1212_R2,2023,5,13,canola,field pea,NA,45y95,uncertified,NA,TRUE,TRUE,NA,sale,40,20,NA,10,10,NA,On-time,,STREATHAM
STREATHAM_S10_P1212_R3,2023,5,13,canola,field pea,NA,45y95,uncertified,NA,TRUE,TRUE,NA,sale,40,20,NA,10,10,NA,On-time,,STREATHAM
STREATHAM_S10_P2121_R1,2023,5,13,wheat ,vetch ,NA,big red,benatas,NA,TRUE,TRUE,NA,sale,160,45,NA,15,15,NA,On-time,S10,STREATHAM
STREATHAM_S10_P2121_R2,2023,5,13,wheat ,vetch ,NA,big red,benatas,NA,TRUE,TRUE,NA,sale,160,45,NA,15,15,NA,On-time,S10,STREATHAM
STREATHAM_S10_P2121_R3,2023,5,13,wheat ,vetch ,NA,big red,benatas,NA,TRUE,TRUE,NA,sale,160,45,NA,15,15,NA,On-time,S10,STREATHAM
STREATHAM_S11_P0000_R1,2023,5,5,wheat,barley,faba bean,beaufort,planet,amberley,TRUE,TRUE,TRUE,fodder,60,60,15,20,20,20,On-time,,STREATHAM
STREATHAM_S11_P0000_R2,2023,5,5,wheat,barley,faba bean,beaufort,planet,amberley,TRUE,TRUE,TRUE,fodder,60,60,15,20,20,20,On-time,,STREATHAM
STREATHAM_S11_P0000_R3,2023,5,5,wheat,barley,faba bean,beaufort,planet,amberley,TRUE,TRUE,TRUE,fodder,60,60,15,20,20,20,On-time,,STREATHAM
STREATHAM_S11_P0000_R4,2023,5,5,wheat,barley,faba bean,beaufort,planet,amberley,TRUE,TRUE,TRUE,fodder,60,60,15,20,20,20,On-time,,STREATHAM
STREATHAM_S11_P0000_R5,2023,5,5,wheat,barley,faba bean,beaufort,planet,amberley,TRUE,TRUE,TRUE,fodder,60,60,15,20,20,20,On-time,,STREATHAM
STREATHAM_S11_P0000_R6,2023,5,5,wheat,barley,faba bean,beaufort,planet,amberley,TRUE,TRUE,TRUE,fodder,60,60,15,20,20,20,On-time,,STREATHAM
STREATHAM_S11_P0000_R7,2023,5,5,wheat,barley,faba bean,beaufort,planet,amberley,TRUE,TRUE,TRUE,fodder,60,60,15,20,20,20,On-time,,STREATHAM
STREATHAM_S11_P0000_R8,2023,5,5,wheat,barley,faba bean,beaufort,planet,amberley,TRUE,TRUE,TRUE,fodder,60,60,15,20,20,20,On-time,,STREATHAM
STREATHAM_S11_P0000_R9,2023,5,5,wheat,barley,faba bean,beaufort,planet,amberley,TRUE,TRUE,TRUE,fodder,60,60,15,20,20,20,On-time,,STREATHAM
STREATHAM_S12_P0000_R1,2023,5,3,wheat,NA,NA,bigred,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,Early,,STREATHAM
STREATHAM_S12_P0000_R2,2023,5,3,wheat,NA,NA,bigred,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,Early,,STREATHAM
STREATHAM_S12_P0000_R3,2023,5,3,wheat,NA,NA,bigred,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,Early,,STREATHAM
