plotID,year,month,day,crop1Name,crop2Name,crop3Name,harvestOutcome,harvestReason,crop1Yield,crop2Yield,crop3Yield,terminationState,comments
STREATHAM_S1.1_P1212_R1,2023,12,6,Canola,NA,NA,success,sale,4389,NA,NA,stubble,
STREATHAM_S1.1_P1212_R2,2023,12,6,Canola,NA,NA,success,sale,3988,NA,NA,stubble,
STREATHAM_S1.1_P1212_R3,2023,12,6,Canola,NA,NA,success,sale,3645,NA,NA,stubble,
STREATHAM_S1.1_P2121_R1,2024,1,12,Wheat,NA,NA,success,sale,5943,NA,NA,stubble,
STREATHAM_S1.1_P2121_R2,2024,1,12,Wheat,NA,NA,success,sale,5500,NA,NA,stubble,
STREATHAM_S1.1_P2121_R3,2024,1,12,Wheat,NA,NA,success,sale,5243,NA,NA,stubble,
STREATHAM_S1.2_P1212_R1,2023,12,6,Canola,NA,NA,success,sale,4363,NA,NA,stubble,
STREATHAM_S1.2_P1212_R2,2023,12,6,Canola,NA,NA,success,sale,4308,NA,NA,stubble,
STREATHAM_S1.2_P1212_R3,2023,12,6,Canola,NA,NA,success,sale,3797,NA,NA,stubble,
STREATHAM_S1.2_P2121_R1,2024,1,12,Wheat,NA,NA,success,sale,6047,NA,NA,stubble,
STREATHAM_S1.2_P2121_R2,2024,1,12,Wheat,NA,NA,success,sale,6062,NA,NA,stubble,
STREATHAM_S1.2_P2121_R3,2024,1,12,Wheat,NA,NA,success,sale,5175,NA,NA,stubble,
STREATHAM_S1.3_P1212_R1,2023,12,6,Canola,NA,NA,success,sale,3892,NA,NA,stubble,
STREATHAM_S1.3_P1212_R2,2023,12,6,Canola,NA,NA,success,sale,4058,NA,NA,stubble,
STREATHAM_S1.3_P1212_R3,2023,12,6,Canola,NA,NA,success,sale,1784,NA,NA,stubble,
STREATHAM_S1.3_P2121_R1,2024,1,12,Wheat,NA,NA,success,sale,4384,NA,NA,stubble,
STREATHAM_S1.3_P2121_R2,2024,1,12,Wheat,NA,NA,success,sale,4113,NA,NA,stubble,
