plotID,year,month,day,name,unitsAppliedKgOrLitres,appliedAmount,comments
WALLUP_S1_P1231_R1,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S1_P1231_R2,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S1_P1231_R3,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S1_P2312_R1,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S1_P2312_R1,2023,7,10,Urea,kg,98,top dressing
WALLUP_S1_P2312_R2,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S1_P2312_R2,2023,7,10,Urea,kg,98,top dressing
WALLUP_S1_P2312_R3,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S1_P2312_R3,2023,7,10,Urea,kg,98,top dressing
WALLUP_S1_P3123_R1,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S1_P3123_R1,2023,7,10,Urea,kg,98,top dressing
WALLUP_S1_P3123_R2,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S1_P3123_R2,2023,7,10,Urea,kg,98,top dressing
WALLUP_S1_P3123_R3,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S1_P3123_R3,2023,7,10,Urea,kg,98,top dressing
WALLUP_S2_P1234_R1,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S2_P1234_R2,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S2_P1234_R3,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S2_P2341_R1,2023,5,4,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S2_P2341_R1,2023,7,10,Urea,kg,807,top dressing
WALLUP_S2_P2341_R2,2023,5,4,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S2_P2341_R2,2023,7,10,Urea,kg,807,top dressing
WALLUP_S2_P2341_R3,2023,5,4,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S2_P2341_R3,2023,7,10,Urea,kg,807,top dressing
WALLUP_S2_P3412_R1,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S2_P3412_R1,2023,7,10,Urea,kg,473,top dressing
WALLUP_S2_P3412_R2,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S2_P3412_R2,2023,7,10,Urea,kg,473,top dressing
WALLUP_S2_P3412_R3,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S2_P3412_R3,2023,7,10,Urea,kg,473,top dressing
WALLUP_S2_P4123_R1,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S2_P4123_R1,2023,7,10,Urea,kg,473,top dressing
WALLUP_S2_P4123_R2,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S2_P4123_R2,2023,7,10,Urea,kg,473,top dressing
WALLUP_S2_P4123_R3,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S2_P4123_R3,2023,7,10,Urea,kg,473,top dressing
WALLUP_S3_P1234_R1,2023,5,4,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S3_P1234_R2,2023,5,4,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S3_P1234_R3,2023,5,4,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S3_P2341_R1,2023,5,4,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S3_P2341_R1,2023,7,10,Urea,kg,807,top dressing
WALLUP_S3_P2341_R2,2023,5,4,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S3_P2341_R2,2023,7,10,Urea,kg,807,top dressing
WALLUP_S3_P2341_R3,2023,5,4,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S3_P2341_R3,2023,7,10,Urea,kg,807,top dressing
WALLUP_S3_P3412_R1,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S3_P3412_R1,2023,7,10,Urea,kg,473,top dressing
WALLUP_S3_P3412_R2,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S3_P3412_R2,2023,7,10,Urea,kg,473,top dressing
WALLUP_S3_P3412_R3,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S3_P3412_R3,2023,7,10,Urea,kg,473,top dressing
WALLUP_S3_P4123_R1,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S3_P4123_R1,2023,7,10,Urea,kg,473,top dressing
WALLUP_S3_P4123_R2,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S3_P4123_R2,2023,7,10,Urea,kg,473,top dressing
WALLUP_S3_P4123_R3,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S3_P4123_R3,2023,7,10,Urea,kg,473,top dressing
WALLUP_S4_P1231_R1,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S4_P1231_R2,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S4_P1231_R3,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S4_P2312_R1,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S4_P2312_R1,2023,7,10,Urea,kg,473,top dressing
WALLUP_S4_P2312_R2,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S4_P2312_R2,2023,7,10,Urea,kg,473,top dressing
WALLUP_S4_P2312_R3,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S4_P2312_R3,2023,7,10,Urea,kg,473,top dressing
WALLUP_S4_P3123_R1,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S4_P3123_R1,2023,7,10,Urea,kg,473,top dressing
WALLUP_S4_P3123_R2,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S4_P3123_R2,2023,7,10,Urea,kg,473,top dressing
WALLUP_S4_P3123_R3,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S4_P3123_R3,2023,7,10,Urea,kg,473,top dressing
WALLUP_S5_P0000_R1,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S5_P0000_R1,2023,7,10,Urea,kg,120,top dressing
WALLUP_S5_P0000_R2,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S5_P0000_R2,2023,7,10,Urea,kg,120,top dressing
WALLUP_S5_P0000_R3,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S5_P0000_R3,2023,7,10,Urea,kg,120,top dressing
WALLUP_S6_P0000_R1,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S6_P0000_R1,2023,7,10,Urea,kg,209,top dressing
WALLUP_S6_P0000_R2,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S6_P0000_R2,2023,7,10,Urea,kg,209,top dressing
WALLUP_S6_P0000_R3,2023,5,30,Granulock SZ Blend,kg,60, + Flutriafol (400ml/100kg)
WALLUP_S6_P0000_R3,2023,7,10,Urea,kg,209,top dressing
