plotID,year,month,day,name,unitsAppliedKgOrLitres,appliedAmount,comments
WALLUP_S1_P1231_R1,2023,8,1,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
WALLUP_S1_P1231_R2,2023,8,1,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
WALLUP_S1_P1231_R3,2023,8,1,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
WALLUP_S1_P2312_R1,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S1_P2312_R2,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S1_P2312_R3,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S1_P3123_R1,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S1_P3123_R2,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S1_P3123_R3,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S2_P1234_R1,2023,8,1,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
WALLUP_S2_P1234_R2,2023,8,1,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
WALLUP_S2_P1234_R3,2023,8,1,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
WALLUP_S2_P3412_R1,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S2_P3412_R2,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S2_P3412_R3,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S2_P4123_R1,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S2_P4123_R2,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S2_P4123_R3,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S3_P1234_R1,2023,8,1,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
WALLUP_S3_P1234_R2,2023,8,1,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
WALLUP_S3_P1234_R3,2023,8,1,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
WALLUP_S3_P3412_R1,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S3_P3412_R2,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S3_P3412_R3,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S3_P4123_R1,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S3_P4123_R2,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S3_P4123_R3,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S4_P1231_R1,2023,8,1,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
WALLUP_S4_P1231_R2,2023,8,1,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
WALLUP_S4_P1231_R3,2023,8,1,Aviator Xpro,L,0.5,"botrytis and ascochyta in lentils and vetch, canopy closure"
WALLUP_S4_P2312_R1,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S4_P2312_R2,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S4_P2312_R3,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S4_P3123_R1,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S4_P3123_R2,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S4_P3123_R3,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S5_P0000_R1,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S5_P0000_R2,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S5_P0000_R3,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S6_P0000_R1,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
WALLUP_S6_P0000_R2,2023,10,11,Aviator Xpro,L,0.5,"rust in wheat, Z69"
