plotID,year,month,day,name,unitsAppliedKgOrLitres,appliedAmount,comments
WALLUP_S2_P2341_R1,2023,5,4,Avadex,L,2,at sowing
WALLUP_S2_P2341_R1,2023,5,4,Propyzamide,L,1,at sowing
WALLUP_S2_P2341_R1,2023,5,4,Trifluralin,L,1.5,at sowing
WALLUP_S2_P2341_R2,2023,5,4,Avadex,L,2,at sowing
WALLUP_S2_P2341_R2,2023,5,4,Propyzamide,L,1,at sowing
WALLUP_S2_P2341_R2,2023,5,4,Trifluralin,L,1.5,at sowing
WALLUP_S2_P2341_R3,2023,5,4,Avadex,L,2,at sowing
WALLUP_S2_P2341_R3,2023,5,4,Propyzamide,L,1,at sowing
WALLUP_S2_P2341_R3,2023,5,4,Trifluralin,L,1.5,at sowing
WALLUP_S3_P1234_R1,2023,5,4,Avadex,L,2,at sowing
WALLUP_S3_P1234_R1,2023,5,4,Propyzamide,L,1,at sowing
WALLUP_S3_P1234_R1,2023,5,4,Simazine,kg,0.8,at sowing
WALLUP_S3_P1234_R1,2023,5,4,Trifluralin,L,1.5,at sowing
WALLUP_S3_P1234_R2,2023,5,4,Avadex,L,2,at sowing
WALLUP_S3_P1234_R2,2023,5,4,Propyzamide,L,1,at sowing
WALLUP_S3_P1234_R2,2023,5,4,Simazine,kg,0.8,at sowing
WALLUP_S3_P1234_R2,2023,5,4,Trifluralin,L,1.5,at sowing
WALLUP_S3_P1234_R3,2023,5,4,Avadex,L,2,at sowing
WALLUP_S3_P1234_R3,2023,5,4,Propyzamide,L,1,at sowing
WALLUP_S3_P1234_R3,2023,5,4,Simazine,kg,0.8,at sowing
WALLUP_S3_P1234_R3,2023,5,4,Trifluralin,L,1.5,at sowing
WALLUP_S3_P2341_R1,2023,5,4,Avadex,L,2,at sowing
WALLUP_S3_P2341_R1,2023,5,4,Propyzamide,L,1,at sowing
WALLUP_S3_P2341_R1,2023,5,4,Trifluralin,L,1.5,at sowing
WALLUP_S3_P2341_R2,2023,5,4,Avadex,L,2,at sowing
WALLUP_S3_P2341_R2,2023,5,4,Propyzamide,L,1,at sowing
WALLUP_S3_P2341_R2,2023,5,4,Trifluralin,L,1.5,at sowing
WALLUP_S3_P2341_R3,2023,5,4,Avadex,L,2,at sowing
WALLUP_S3_P2341_R3,2023,5,4,Propyzamide,L,1,at sowing
WALLUP_S3_P2341_R3,2023,5,4,Trifluralin,L,1.5,at sowing
WALLUP_S1_P1231_R1,2023,5,30,Avadex,L,2,at sowing
WALLUP_S1_P1231_R1,2023,5,30,Glyphosate,L,3,at sowing
WALLUP_S1_P1231_R1,2023,5,30,Terbyne Xtreme,kg,0.8,at sowing
WALLUP_S1_P1231_R1,2023,5,30,Trifluralin,L,1.5,at sowing
WALLUP_S1_P1231_R1,2023,5,30,Ultro,kg,1.1,at sowing
WALLUP_S1_P1231_R2,2023,5,30,Avadex,L,2,at sowing
WALLUP_S1_P1231_R2,2023,5,30,Glyphosate,L,3,at sowing
WALLUP_S1_P1231_R2,2023,5,30,Terbyne Xtreme,kg,0.8,at sowing
WALLUP_S1_P1231_R2,2023,5,30,Trifluralin,L,1.5,at sowing
WALLUP_S1_P1231_R2,2023,5,30,Ultro,kg,1.1,at sowing
WALLUP_S1_P1231_R3,2023,5,30,Avadex,L,2,at sowing
WALLUP_S1_P1231_R3,2023,5,30,Glyphosate,L,3,at sowing
WALLUP_S1_P1231_R3,2023,5,30,Terbyne Xtreme,kg,0.8,at sowing
