plotID,year,month,day,name,targetPest,unitsAppliedKgOrLitres,appliedAmount,comments
WALLUP_S1_P1231_R1,2023,10,11,Sumi-alpha flex,faw,L,0.33,"grubs in pulses, podding"
WALLUP_S1_P1231_R2,2023,10,11,Sumi-alpha flex,faw,L,0.33,"grubs in pulses, podding"
WALLUP_S1_P1231_R3,2023,10,11,Sumi-alpha flex,faw,L,0.33,"grubs in pulses, podding"
WALLUP_S2_P1234_R1,2023,10,11,Sumi-alpha flex,faw,L,0.33,"grubs in pulses, podding"
WALLUP_S2_P1234_R2,2023,10,11,Sumi-alpha flex,faw,L,0.33,"grubs in pulses, podding"
WALLUP_S2_P1234_R3,2023,10,11,Sumi-alpha flex,faw,L,0.33,"grubs in pulses, podding"
WALLUP_S2_P2341_R1,2023,5,4,Pyrinex Super,RLEM,L,1,at sowing
WALLUP_S2_P2341_R2,2023,5,4,Pyrinex Super,RLEM,L,1,at sowing
WALLUP_S2_P2341_R3,2023,5,4,Pyrinex Super,RLEM,L,1,at sowing
WALLUP_S3_P1234_R1,2023,10,11,Sumi-alpha flex,faw,L,0.33,"grubs in pulses, podding"
WALLUP_S3_P1234_R2,2023,10,11,Sumi-alpha flex,faw,L,0.33,"grubs in pulses, podding"
WALLUP_S3_P1234_R3,2023,10,11,Sumi-alpha flex,faw,L,0.33,"grubs in pulses, podding"
WALLUP_S3_P2341_R1,2023,5,4,Pyrinex Super,RLEM,L,1,at sowing
WALLUP_S3_P2341_R2,2023,5,4,Pyrinex Super,RLEM,L,1,at sowing
WALLUP_S3_P2341_R3,2023,5,4,Pyrinex Super,RLEM,L,1,at sowing
WALLUP_S4_P1231_R1,2023,10,11,Sumi-alpha flex,faw,L,0.33,"grubs in pulses, podding"
WALLUP_S4_P1231_R2,2023,10,11,Sumi-alpha flex,faw,L,0.33,"grubs in pulses, podding"
WALLUP_S4_P1231_R3,2023,10,11,Sumi-alpha flex,faw,L,0.33,"grubs in pulses, podding"
