plotID,year,month,day,crop1Name,crop2Name,crop3Name,crop1Variety,crop2Variety,crop3Variety,seedTreatment1Bool,seedTreatment2Bool,seedTreatment3Bool,sowingReason,crop1SowingDensity,crop2SowingDensity,crop3SowingDensity,crop1SowingDepth,crop2SowingDepth,crop3SowingDepth,sowingTimelinessDescription,comments
WALLUP_S1_P1231_R1,2023,5,30,Lentil,NA,NA,GIA Thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
WALLUP_S1_P1231_R2,2023,5,30,Lentil,NA,NA,GIA Thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
WALLUP_S1_P1231_R3,2023,5,30,Lentil,NA,NA,GIA Thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
WALLUP_S1_P2312_R1,2023,5,30,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,140,NA,NA,30,NA,NA,On-time,
WALLUP_S1_P2312_R2,2023,5,30,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,140,NA,NA,30,NA,NA,On-time,
WALLUP_S1_P2312_R3,2023,5,30,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,140,NA,NA,30,NA,NA,On-time,
WALLUP_S1_P3123_R1,2023,5,30,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,140,NA,NA,30,NA,NA,On-time,
WALLUP_S1_P3123_R2,2023,5,30,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,140,NA,NA,30,NA,NA,On-time,
WALLUP_S1_P3123_R3,2023,5,30,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,140,NA,NA,30,NA,NA,On-time,
WALLUP_S2_P1234_R1,2023,5,30,Lentil,NA,NA,GIA Thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
WALLUP_S2_P1234_R2,2023,5,30,Lentil,NA,NA,GIA Thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
WALLUP_S2_P1234_R3,2023,5,30,Lentil,NA,NA,GIA Thunder,NA,NA,TRUE,NA,NA,sale,120,NA,NA,30,NA,NA,On-time,
WALLUP_S2_P2341_R1,2023,5,4,Canola,NA,NA,44y94 cl,NA,NA,TRUE,NA,NA,sale,50,NA,NA,15,NA,NA,Early,
WALLUP_S2_P2341_R2,2023,5,4,Canola,NA,NA,44y94 cl,NA,NA,TRUE,NA,NA,sale,50,NA,NA,15,NA,NA,Early,
WALLUP_S2_P2341_R3,2023,5,4,Canola,NA,NA,44y94 cl,NA,NA,TRUE,NA,NA,sale,50,NA,NA,15,NA,NA,Early,
WALLUP_S2_P3412_R1,2023,5,30,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,140,NA,NA,30,NA,NA,On-time,
WALLUP_S2_P3412_R2,2023,5,30,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,140,NA,NA,30,NA,NA,On-time,
WALLUP_S2_P3412_R3,2023,5,30,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,140,NA,NA,30,NA,NA,On-time,
WALLUP_S2_P4123_R1,2023,5,30,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,140,NA,NA,30,NA,NA,On-time,
WALLUP_S2_P4123_R2,2023,5,30,Wheat,NA,NA,Scepter,NA,NA,TRUE,NA,NA,sale,140,NA,NA,30,NA,NA,On-time,
