plotID,year,month,day,crop1Name,crop2Name,crop3Name,harvestOutcome,harvestReason,crop1Yield,crop2Yield,crop3Yield,terminationState,comments
WALLUP_S1_P1231_R1,2023,12,14,Lentil,NA,NA,success,sale,2427,NA,NA,stubble,
WALLUP_S1_P1231_R2,2023,12,14,Lentil,NA,NA,success,sale,3036,NA,NA,stubble,
WALLUP_S1_P1231_R3,2023,12,14,Lentil,NA,NA,success,sale,2767,NA,NA,stubble,
WALLUP_S1_P2312_R1,2023,12,15,Wheat,NA,NA,success,sale,4327,NA,NA,stubble,
WALLUP_S1_P2312_R2,2023,12,15,Wheat,NA,NA,success,sale,4239,NA,NA,stubble,
WALLUP_S1_P2312_R3,2023,12,15,Wheat,NA,NA,success,sale,4924,NA,NA,stubble,
WALLUP_S1_P3123_R1,2023,12,15,Wheat,NA,NA,success,sale,4259,NA,NA,stubble,
WALLUP_S1_P3123_R2,2023,12,15,Wheat,NA,NA,success,sale,4690,NA,NA,stubble,
WALLUP_S1_P3123_R3,2023,12,15,Wheat,NA,NA,success,sale,4660,NA,NA,stubble,
WALLUP_S2_P1234_R1,2023,12,14,Lentil,NA,NA,success,sale,2670,NA,NA,stubble,
WALLUP_S2_P1234_R2,2023,12,14,Lentil,NA,NA,success,sale,3120,NA,NA,stubble,
WALLUP_S2_P1234_R3,2023,12,14,Lentil,NA,NA,success,sale,2149,NA,NA,stubble,
WALLUP_S2_P2341_R1,2023,12,14,Canola,NA,NA,success,sale,2607,NA,NA,stubble,
WALLUP_S2_P2341_R2,2023,12,14,Canola,NA,NA,success,sale,2187,NA,NA,stubble,
WALLUP_S2_P2341_R3,2023,12,14,Canola,NA,NA,success,sale,2628,NA,NA,stubble,
WALLUP_S2_P3412_R1,2023,12,15,Wheat,NA,NA,success,sale,4704,NA,NA,stubble,
WALLUP_S2_P3412_R2,2023,12,15,Wheat,NA,NA,success,sale,4792,NA,NA,stubble,
WALLUP_S2_P3412_R3,2023,12,15,Wheat,NA,NA,success,sale,4905,NA,NA,stubble,
WALLUP_S2_P4123_R1,2023,12,15,Wheat,NA,NA,success,sale,4603,NA,NA,stubble,
WALLUP_S2_P4123_R2,2023,12,15,Wheat,NA,NA,success,sale,5203,NA,NA,stubble,
WALLUP_S2_P4123_R3,2023,12,15,Wheat,NA,NA,success,sale,4999,NA,NA,stubble,
WALLUP_S3_P1234_R1,2023,12,14,Vetch,NA,NA,success,soilManagement,0,NA,NA,stubble,
WALLUP_S3_P1234_R2,2023,12,14,Vetch,NA,NA,success,soilManagement,0,NA,NA,stubble,
WALLUP_S3_P1234_R3,2023,12,14,Vetch,NA,NA,success,soilManagement,0,NA,NA,stubble,
WALLUP_S3_P2341_R1,2023,12,14,Canola,NA,NA,success,sale,2495,NA,NA,stubble,
WALLUP_S3_P2341_R2,2023,12,14,Canola,NA,NA,success,sale,2461,NA,NA,stubble,
WALLUP_S3_P2341_R3,2023,12,14,Canola,NA,NA,success,sale,2626,NA,NA,stubble,
WALLUP_S3_P3412_R1,2023,12,15,Wheat,NA,NA,success,sale,5092,NA,NA,stubble,
WALLUP_S3_P3412_R2,2023,12,15,Wheat,NA,NA,success,sale,4094,NA,NA,stubble,
WALLUP_S3_P3412_R3,2023,12,15,Wheat,NA,NA,success,sale,5028,NA,NA,stubble,
WALLUP_S3_P4123_R1,2023,12,15,Wheat,NA,NA,success,sale,4622,NA,NA,stubble,
WALLUP_S3_P4123_R2,2023,12,15,Wheat,NA,NA,success,sale,4782,NA,NA,stubble,
WALLUP_S3_P4123_R3,2023,12,15,Wheat,NA,NA,success,sale,5140,NA,NA,stubble,
WALLUP_S4_P1231_R1,2023,12,14,Lentil,fababean,NA,success,sale,3411,0,NA,stubble,
WALLUP_S4_P1231_R2,2023,12,14,Lentil,fababean,NA,success,sale,2694,0,NA,stubble,
WALLUP_S4_P1231_R3,2023,12,14,Lentil,fababean,NA,success,sale,2916,0,NA,stubble,
WALLUP_S4_P2312_R1,2023,12,15,Wheat,NA,NA,success,sale,4905,NA,NA,stubble,
WALLUP_S4_P2312_R2,2023,12,15,Wheat,NA,NA,success,sale,4927,NA,NA,stubble,
WALLUP_S4_P2312_R3,2023,12,15,Wheat,NA,NA,success,sale,4744,NA,NA,stubble,
WALLUP_S4_P3123_R1,2023,12,15,Wheat,NA,NA,success,sale,4908,NA,NA,stubble,
WALLUP_S4_P3123_R2,2023,12,15,Wheat,NA,NA,success,sale,4961,NA,NA,stubble,
WALLUP_S4_P3123_R3,2023,12,15,Wheat,NA,NA,success,sale,4781,NA,NA,stubble,
WALLUP_S5_P0000_R1,2023,12,15,Wheat,NA,NA,success,sale,4557,NA,NA,stubble,
WALLUP_S5_P0000_R2,2023,12,15,Wheat,NA,NA,success,sale,4675,NA,NA,stubble,
WALLUP_S5_P0000_R3,2023,12,15,Wheat,NA,NA,success,sale,4019,NA,NA,stubble,
WALLUP_S6_P0000_R1,2023,12,15,Wheat,NA,NA,success,sale,4826,NA,NA,stubble,
WALLUP_S6_P0000_R2,2023,12,15,Wheat,NA,NA,success,sale,4947,NA,NA,stubble,
WALLUP_S6_P0000_R3,2023,12,15,Wheat,NA,NA,success,sale,4665,NA,NA,stubble,
