plotID,year,month,day,name,unitsAppliedKgOrLitres,appliedAmount,comments
WARRAMBINE_S1_P1212_R1,2023,7,12,Gran am,kg,100,2-4 leaf early nutrition SFS atandard
WARRAMBINE_S1_P1212_R1,2023,5,12,MAP,kg,130,At sowing - standard practice
WARRAMBINE_S1_P1212_R1,2023,8,25,Urea,kg,75,5% flower - Urea 1 Target 3.5 t/ha (no second app as dropped target to 3 t/ha)
WARRAMBINE_S1_P1212_R2,2023,7,12,Gran am,kg,100,2-4 leaf early nutrition SFS atandard
WARRAMBINE_S1_P1212_R2,2023,5,12,MAP,kg,130,At sowing - standard practice
WARRAMBINE_S1_P1212_R2,2023,8,25,Urea,kg,75,5% flower - Urea 1 Target 3.5 t/ha (no second app as dropped target to 3 t/ha)
WARRAMBINE_S1_P1212_R3,2023,7,12,Gran am,kg,100,2-4 leaf early nutrition SFS atandard
WARRAMBINE_S1_P1212_R3,2023,5,12,MAP,kg,130,At sowing - standard practice
WARRAMBINE_S1_P1212_R3,2023,8,25,Urea,kg,75,5% flower - Urea 1 Target 3.5 t/ha (no second app as dropped target to 3 t/ha)
WARRAMBINE_S1_P2121_R1,2023,5,12,MAP,kg,130,At sowing - standard practice
WARRAMBINE_S1_P2121_R1,2023,9,1,Urea,kg,120,Urea 1 Target 8 t/ha
WARRAMBINE_S1_P2121_R1,2023,9,22,Urea,kg,100,Urea 2 Target 7.5 t/ha
WARRAMBINE_S1_P2121_R2,2023,5,12,MAP,kg,130,At sowing - standard practice
WARRAMBINE_S1_P2121_R2,2023,9,1,Urea,kg,120,Urea 1 Target 8 t/ha
WARRAMBINE_S1_P2121_R2,2023,9,22,Urea,kg,100,Urea 2 Target 7.5 t/ha
WARRAMBINE_S1_P2121_R3,2023,5,12,MAP,kg,130,At sowing - standard practice
WARRAMBINE_S1_P2121_R3,2023,9,1,Urea,kg,120,Urea 1 Target 8 t/ha
WARRAMBINE_S1_P2121_R3,2023,9,22,Urea,kg,100,Urea 2 Target 7.5 t/ha
WARRAMBINE_S2_P1231_R1,2023,5,12,MAP,kg,100,At sowing - standard practice
WARRAMBINE_S2_P1231_R2,2023,5,12,MAP,kg,100,At sowing - standard practice
WARRAMBINE_S2_P1231_R3,2023,5,12,MAP,kg,100,At sowing - standard practice
WARRAMBINE_S2_P2312_R1,2023,7,12,Gran am,kg,100,2-4 leaf early nutrition SFS atandard
WARRAMBINE_S2_P2312_R1,2023,5,12,MAP,kg,130,At sowing - standard practice
WARRAMBINE_S2_P2312_R1,2023,8,25,Urea,kg,75,5% flower - Urea 1 Target 3.5 t/ha (no second app as dropped target to 3 t/ha)
WARRAMBINE_S2_P2312_R2,2023,7,12,Gran am,kg,100,2-4 leaf early nutrition SFS atandard
WARRAMBINE_S2_P2312_R2,2023,5,12,MAP,kg,130,At sowing - standard practice
WARRAMBINE_S2_P2312_R2,2023,8,25,Urea,kg,75,5% flower - Urea 1 Target 3.5 t/ha (no second app as dropped target to 3 t/ha)
WARRAMBINE_S2_P2312_R3,2023,7,12,Gran am,kg,100,2-4 leaf early nutrition SFS atandard
WARRAMBINE_S2_P2312_R3,2023,5,12,MAP,kg,130,At sowing - standard practice
WARRAMBINE_S2_P2312_R3,2023,8,25,Urea,kg,75,5% flower - Urea 1 Target 3.5 t/ha (no second app as dropped target to 3 t/ha)
WARRAMBINE_S2_P3123_R1,2023,5,12,MAP,kg,130,At sowing - standard practice
WARRAMBINE_S2_P3123_R1,2023,9,1,Urea,kg,120,Urea 1 Target 8 t/ha
WARRAMBINE_S2_P3123_R1,2023,9,22,Urea,kg,100,Urea 2 Target 7.5 t/ha
WARRAMBINE_S2_P3123_R2,2023,5,12,MAP,kg,130,At sowing - standard practice
WARRAMBINE_S2_P3123_R2,2023,9,1,Urea,kg,120,Urea 1 Target 8 t/ha
WARRAMBINE_S2_P3123_R2,2023,9,22,Urea,kg,100,Urea 2 Target 7.5 t/ha
WARRAMBINE_S2_P3123_R3,2023,5,12,MAP,kg,130,At sowing - standard practice
WARRAMBINE_S2_P3123_R3,2023,9,1,Urea,kg,120,Urea 1 Target 8 t/ha
WARRAMBINE_S2_P3123_R3,2023,9,22,Urea,kg,100,Urea 2 Target 7.5 t/ha
WARRAMBINE_S3_P1231_R1,2023,5,12,MAP,kg,100,At sowing - standard practice
WARRAMBINE_S3_P1231_R2,2023,5,12,MAP,kg,100,At sowing - standard practice
WARRAMBINE_S3_P1231_R3,2023,5,12,MAP,kg,100,At sowing - standard practice
WARRAMBINE_S3_P2312_R1,2023,7,12,Gran am,kg,100,2-4 leaf early nutrition SFS atandard
WARRAMBINE_S3_P2312_R1,2023,5,12,MAP,kg,130,At sowing - standard practice
