plotID,year,month,day,name,unitsAppliedKgOrLitres,appliedAmount,comments
WARRAMBINE_S1_P1212_R1,2023,9,11,Aviator Xpro,L,0.65,20% flower - Upper canopy blackleg
WARRAMBINE_S1_P1212_R1,2023,5,12,Flutriafol 500,L,0.2,Sowing -seedling diseases
WARRAMBINE_S1_P1212_R1,2023,6,21,Prosaro,L,0.45,4-6 leaf - Blackleg
WARRAMBINE_S1_P1212_R2,2023,9,11,Aviator Xpro,L,0.65,20% flower - Upper canopy blackleg
WARRAMBINE_S1_P1212_R2,2023,5,12,Flutriafol 500,L,0.2,Sowing -seedling diseases
WARRAMBINE_S1_P1212_R2,2023,6,21,Prosaro,L,0.45,4-6 leaf - Blackleg
WARRAMBINE_S1_P1212_R3,2023,9,11,Aviator Xpro,L,0.65,20% flower - Upper canopy blackleg
WARRAMBINE_S1_P1212_R3,2023,5,12,Flutriafol 500,L,0.2,Sowing -seedling diseases
WARRAMBINE_S1_P1212_R3,2023,6,21,Prosaro,L,0.45,4-6 leaf - Blackleg
WARRAMBINE_S1_P2121_R1,2023,10,11,Aviator Xpro,L,0.5,"GS 39 - Septoria, stripe rust"
WARRAMBINE_S1_P2121_R1,2023,5,12,Flutriafol 500,L,0.2,Sowing - Seedling diseases
WARRAMBINE_S1_P2121_R2,2023,10,11,Aviator Xpro,L,0.5,"GS 39 - Septoria, stripe rust"
WARRAMBINE_S1_P2121_R2,2023,5,12,Flutriafol 500,L,0.2,Sowing - Seedling diseases
WARRAMBINE_S1_P2121_R3,2023,10,11,Aviator Xpro,L,0.5,"GS 39 - Septoria, stripe rust"
WARRAMBINE_S1_P2121_R3,2023,5,12,Flutriafol 500,L,0.2,Sowing - Seedling diseases
WARRAMBINE_S2_P1231_R1,2023,8,8,Aviator Xpro,L,0.6,Budding - Chocolate spot
WARRAMBINE_S2_P1231_R1,2023,8,8,Miravis Star,L,1,Budding - Chocolate spot
WARRAMBINE_S2_P1231_R1,2023,6,21,Orius 430,L,0.145,2-4 node - Cercospora
WARRAMBINE_S2_P1231_R2,2023,8,8,Aviator Xpro,L,0.6,Budding - Chocolate spot
WARRAMBINE_S2_P1231_R2,2023,8,8,Miravis Star,L,1,Budding - Chocolate spot
WARRAMBINE_S2_P1231_R2,2023,6,21,Orius 430,L,0.145,2-4 node - Cercospora
WARRAMBINE_S2_P1231_R3,2023,8,8,Aviator Xpro,L,0.6,Budding - Chocolate spot
WARRAMBINE_S2_P1231_R3,2023,8,8,Miravis Star,L,1,Budding - Chocolate spot
WARRAMBINE_S2_P1231_R3,2023,6,21,Orius 430,L,0.145,2-4 node - Cercospora
WARRAMBINE_S2_P2312_R1,2023,9,11,Aviator Xpro,L,0.65,20% flower - Upper canopy blackleg
WARRAMBINE_S2_P2312_R1,2023,5,12,Flutriafol 500,L,0.2,Sowing -seedling diseases
