plotID,year,month,day,name,targetPest,unitsAppliedKgOrLitres,appliedAmount,comments
WARRAMBINE_S1_P1212_R1,2023,5,18,Pyrinex Super,RLEM,L,1,Insecticide - PSPE
WARRAMBINE_S1_P1212_R1,2023,5,16,Transcend,faw,kg,8,"Molluscicide - Millipedes, slugs, earwigs "
WARRAMBINE_S1_P1212_R1,2023,5,26,Transcend,faw,kg,8,"Molluscicide - Millipedes, slugs, earwigs "
WARRAMBINE_S1_P1212_R2,2023,5,18,Pyrinex Super,RLEM,L,1,Insecticide - PSPE
WARRAMBINE_S1_P1212_R2,2023,5,16,Transcend,faw,kg,8,"Molluscicide - Millipedes, slugs, earwigs "
WARRAMBINE_S1_P1212_R2,2023,5,26,Transcend,faw,kg,8,"Molluscicide - Millipedes, slugs, earwigs "
WARRAMBINE_S1_P1212_R3,2023,5,18,Pyrinex Super,RLEM,L,1,Insecticide - PSPE
WARRAMBINE_S1_P1212_R3,2023,5,16,Transcend,faw,kg,8,"Molluscicide - Millipedes, slugs, earwigs "
WARRAMBINE_S1_P1212_R3,2023,5,26,Transcend,faw,kg,8,"Molluscicide - Millipedes, slugs, earwigs "
WARRAMBINE_S1_P2121_R1,2023,5,16,Transcend,faw,kg,8,"Molluscicide - Millipedes, slugs, earwigs "
WARRAMBINE_S1_P2121_R1,2023,5,26,Transcend,faw,kg,8,"Molluscicide - Millipedes, slugs, earwigs "
WARRAMBINE_S1_P2121_R2,2023,5,16,Transcend,faw,kg,8,"Molluscicide - Millipedes, slugs, earwigs "
WARRAMBINE_S1_P2121_R2,2023,5,26,Transcend,faw,kg,8,"Molluscicide - Millipedes, slugs, earwigs "
WARRAMBINE_S1_P2121_R3,2023,5,16,Transcend,faw,kg,8,"Molluscicide - Millipedes, slugs, earwigs "
WARRAMBINE_S1_P2121_R3,2023,5,26,Transcend,faw,kg,8,"Molluscicide - Millipedes, slugs, earwigs "
WARRAMBINE_S2_P1231_R1,2023,5,16,Transcend,faw,kg,8,"Molluscicide - Millipedes, slugs, earwigs "
WARRAMBINE_S2_P1231_R1,2023,5,26,Transcend,faw,kg,8,"Molluscicide - Millipedes, slugs, earwigs "
