plotID,year,month,day,crop1Name,crop2Name,crop3Name,crop1Variety,crop2Variety,crop3Variety,seedTreatment1Bool,seedTreatment2Bool,seedTreatment3Bool,sowingReason,crop1SowingDensity,crop2SowingDensity,crop3SowingDensity,crop1SowingDepth,crop2SowingDepth,crop3SowingDepth,sowingTimelinessDescription,comments
WARRAMBINE_S1_P1212_R1,2023,5,12,Canola,NA,NA,45Y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,on-time,
WARRAMBINE_S1_P1212_R2,2023,5,12,Canola,NA,NA,45Y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,on-time,
WARRAMBINE_S1_P1212_R3,2023,5,12,Canola,NA,NA,45Y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,on-time,
WARRAMBINE_S1_P2121_R1,2023,5,12,Wheat,NA,NA,BigRed,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,on-time,
WARRAMBINE_S1_P2121_R2,2023,5,12,Wheat,NA,NA,BigRed,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,on-time,
WARRAMBINE_S1_P2121_R3,2023,5,12,Wheat,NA,NA,BigRed,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,on-time,
WARRAMBINE_S2_P1231_R1,2023,5,12,Faba bean,NA,NA,Amberley,NA,NA,TRUE,NA,NA,sale,20,NA,NA,50,NA,NA,on-time,
WARRAMBINE_S2_P1231_R2,2023,5,12,Faba bean,NA,NA,Amberley,NA,NA,TRUE,NA,NA,sale,20,NA,NA,50,NA,NA,on-time,
WARRAMBINE_S2_P1231_R3,2023,5,12,Faba bean,NA,NA,Amberley,NA,NA,TRUE,NA,NA,sale,20,NA,NA,50,NA,NA,on-time,
WARRAMBINE_S2_P2312_R1,2023,5,12,Canola,NA,NA,45Y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,on-time,
WARRAMBINE_S2_P2312_R2,2023,5,12,Canola,NA,NA,45Y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,on-time,
WARRAMBINE_S2_P2312_R3,2023,5,12,Canola,NA,NA,45Y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,on-time,
WARRAMBINE_S2_P3123_R1,2023,5,12,Wheat,NA,NA,BigRed,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,on-time,
WARRAMBINE_S2_P3123_R2,2023,5,12,Wheat,NA,NA,BigRed,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,on-time,
WARRAMBINE_S2_P3123_R3,2023,5,12,Wheat,NA,NA,BigRed,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,on-time,
WARRAMBINE_S3_P1231_R1,2023,5,12,fieldpea,NA,NA,Mix,NA,NA,TRUE,NA,NA,sale,60,NA,NA,30,NA,NA,on-time,
WARRAMBINE_S3_P1231_R2,2023,5,12,fieldpea,NA,NA,Mix,NA,NA,TRUE,NA,NA,sale,60,NA,NA,30,NA,NA,on-time,
WARRAMBINE_S3_P1231_R3,2023,5,12,fieldpea,NA,NA,Mix,NA,NA,TRUE,NA,NA,sale,60,NA,NA,30,NA,NA,on-time,
WARRAMBINE_S3_P2312_R1,2023,5,12,Canola,NA,NA,45Y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,on-time,
WARRAMBINE_S3_P2312_R2,2023,5,12,Canola,NA,NA,45Y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,on-time,
WARRAMBINE_S3_P2312_R3,2023,5,12,Canola,NA,NA,45Y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,on-time,
WARRAMBINE_S3_P3123_R1,2023,5,12,Wheat,NA,NA,BigRed,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,on-time,
WARRAMBINE_S3_P3123_R2,2023,5,12,Wheat,NA,NA,BigRed,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,on-time,
WARRAMBINE_S3_P3123_R3,2023,5,12,Wheat,NA,NA,BigRed,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,on-time,
WARRAMBINE_S4_P1231_R1,2023,5,12,balansa clover,chicory,NA,Bolta,Puna,NA,TRUE,TRUE,NA,fodder,3,5,NA,5,5,NA,on-time,sowing density 3kg + 5kg
WARRAMBINE_S4_P1231_R2,2023,5,12,balansa clover,chicory,NA,Bolta,Puna,NA,TRUE,TRUE,NA,fodder,3,5,NA,5,5,NA,on-time,sowing density 3kg + 5kg
WARRAMBINE_S4_P1231_R3,2023,5,12,balansa clover,chicory,NA,Bolta,Puna,NA,TRUE,TRUE,NA,fodder,3,5,NA,5,5,NA,on-time,sowing density 3kg + 5kg
WARRAMBINE_S4_P2312_R1,2023,5,12,Canola,NA,NA,45Y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,on-time,
WARRAMBINE_S4_P2312_R2,2023,5,12,Canola,NA,NA,45Y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,on-time,
WARRAMBINE_S4_P2312_R3,2023,5,12,Canola,NA,NA,45Y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,on-time,
WARRAMBINE_S4_P3123_R1,2023,5,12,Wheat,NA,NA,BigRed,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,on-time,
WARRAMBINE_S4_P3123_R2,2023,5,12,Wheat,NA,NA,BigRed,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,on-time,
WARRAMBINE_S4_P3123_R3,2023,5,12,Wheat,NA,NA,BigRed,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,on-time,
WARRAMBINE_S5_P1231_R1,2023,5,12,fieldpea,NA,NA,Mix,NA,NA,TRUE,NA,NA,soilManagement,60,NA,NA,30,NA,NA,on-time,
WARRAMBINE_S5_P1231_R2,2023,5,12,fieldpea,NA,NA,Mix,NA,NA,TRUE,NA,NA,soilManagement,60,NA,NA,30,NA,NA,on-time,
WARRAMBINE_S5_P1231_R3,2023,5,12,fieldpea,NA,NA,Mix,NA,NA,TRUE,NA,NA,soilManagement,60,NA,NA,30,NA,NA,on-time,
WARRAMBINE_S5_P2312_R1,2023,5,12,Canola,NA,NA,45Y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,on-time,
WARRAMBINE_S5_P2312_R2,2023,5,12,Canola,NA,NA,45Y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,on-time,
WARRAMBINE_S5_P2312_R3,2023,5,12,Canola,NA,NA,45Y95,NA,NA,TRUE,NA,NA,sale,40,NA,NA,5,NA,NA,on-time,
WARRAMBINE_S5_P3123_R1,2023,5,12,Wheat,NA,NA,BigRed,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,on-time,
WARRAMBINE_S5_P3123_R2,2023,5,12,Wheat,NA,NA,BigRed,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,on-time,
WARRAMBINE_S5_P3123_R3,2023,5,12,Wheat,NA,NA,BigRed,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,on-time,
WARRAMBINE_S6_P0000_R1,2023,5,12,Wheat,Barley,Faba bean,Beaufort,Planet ,Amberley,TRUE,TRUE,TRUE,fodder,60,60,12,20,20,20,on-time,
WARRAMBINE_S6_P0000_R2,2023,5,12,Wheat,Barley,Faba bean,Beaufort,Planet ,Amberley,TRUE,TRUE,TRUE,fodder,60,60,12,20,20,20,on-time,
WARRAMBINE_S6_P0000_R3,2023,5,12,Wheat,Barley,Faba bean,Beaufort,Planet ,Amberley,TRUE,TRUE,TRUE,fodder,60,60,12,20,20,20,on-time,
WARRAMBINE_S7_P0000_R1,2023,5,12,Wheat,NA,NA,BigRed,NA,NA,TRUE,NA,NA,sale,160,NA,NA,15,NA,NA,on-time,
