plotID,year,month,day,crop1Name,crop2Name,crop3Name,harvestOutcome,harvestReason,crop1Yield,crop2Yield,crop3Yield,terminationState,comments
WARRAMBINE_S1_P1212_R1,2023,12,16,Canola,NA,NA,success,sale,2478,NA,NA,stubble,
WARRAMBINE_S1_P1212_R2,2023,12,16,Canola,NA,NA,success,sale,1989,NA,NA,stubble,
WARRAMBINE_S1_P1212_R3,2023,12,16,Canola,NA,NA,success,sale,2353,NA,NA,stubble,
WARRAMBINE_S1_P2121_R1,2023,12,16,Wheat,NA,NA,success,sale,4126,NA,NA,stubble,
WARRAMBINE_S1_P2121_R2,2023,12,16,Wheat,NA,NA,success,sale,3769,NA,NA,stubble,
WARRAMBINE_S1_P2121_R3,2023,12,16,Wheat,NA,NA,success,sale,3818,NA,NA,stubble,
WARRAMBINE_S2_P1231_R1,2023,12,16,Faba bean,NA,NA,success,sale,4909,NA,NA,stubble,
WARRAMBINE_S2_P1231_R2,2023,12,16,Faba bean,NA,NA,success,sale,3923,NA,NA,stubble,
WARRAMBINE_S2_P1231_R3,2023,12,16,Faba bean,NA,NA,success,sale,3133,NA,NA,stubble,
WARRAMBINE_S2_P2312_R1,2023,12,16,Canola,NA,NA,success,sale,1732,NA,NA,stubble,
WARRAMBINE_S2_P2312_R2,2023,12,16,Canola,NA,NA,success,sale,2495,NA,NA,stubble,
WARRAMBINE_S2_P2312_R3,2023,12,16,Canola,NA,NA,success,sale,2814,NA,NA,stubble,
WARRAMBINE_S2_P3123_R1,2023,12,16,Wheat,NA,NA,success,sale,4519,NA,NA,stubble,
WARRAMBINE_S2_P3123_R2,2023,12,16,Wheat,NA,NA,success,sale,3693,NA,NA,stubble,
WARRAMBINE_S2_P3123_R3,2023,12,16,Wheat,NA,NA,success,sale,3723,NA,NA,stubble,
WARRAMBINE_S3_P1231_R1,2023,12,16,fieldpea,NA,NA,success,sale,3987,NA,NA,stubble,
WARRAMBINE_S3_P1231_R2,2023,12,16,fieldpea,NA,NA,success,sale,3580,NA,NA,stubble,
WARRAMBINE_S3_P1231_R3,2023,12,16,fieldpea,NA,NA,success,sale,3302,NA,NA,stubble,
WARRAMBINE_S3_P2312_R1,2023,12,16,Canola,NA,NA,success,sale,2914,NA,NA,stubble,
WARRAMBINE_S3_P2312_R2,2023,12,16,Canola,NA,NA,success,sale,2489,NA,NA,stubble,
WARRAMBINE_S3_P2312_R3,2023,12,16,Canola,NA,NA,success,sale,2854,NA,NA,stubble,
WARRAMBINE_S3_P3123_R1,2023,12,16,Wheat,NA,NA,success,sale,3684,NA,NA,stubble,
WARRAMBINE_S3_P3123_R2,2023,12,16,Wheat,NA,NA,success,sale,3060,NA,NA,stubble,
WARRAMBINE_S3_P3123_R3,2023,12,16,Wheat,NA,NA,success,sale,4375,NA,NA,stubble,
WARRAMBINE_S4_P1231_R1,2023,12,16,balansa clover,chicory,NA,success,Fodder,0,0,NA,stubble,
WARRAMBINE_S4_P1231_R2,2023,12,16,balansa clover,chicory,NA,success,Fodder,0,0,NA,stubble,
WARRAMBINE_S4_P1231_R3,2023,12,16,balansa clover,chicory,NA,success,Fodder,0,0,NA,stubble,
WARRAMBINE_S4_P2312_R1,2023,12,16,Canola,NA,NA,success,sale,1844,NA,NA,stubble,
WARRAMBINE_S4_P2312_R2,2023,12,16,Canola,NA,NA,success,sale,2563,NA,NA,stubble,
WARRAMBINE_S4_P2312_R3,2023,12,16,Canola,NA,NA,success,sale,3200,NA,NA,stubble,
WARRAMBINE_S4_P3123_R1,2023,12,16,Wheat,NA,NA,success,sale,4151,NA,NA,stubble,
WARRAMBINE_S4_P3123_R2,2023,12,16,Wheat,NA,NA,success,sale,3551,NA,NA,stubble,
WARRAMBINE_S4_P3123_R3,2023,12,16,Wheat,NA,NA,success,sale,5409,NA,NA,stubble,
WARRAMBINE_S5_P1231_R1,2023,12,16,fieldpea,NA,NA,success,soilManagement,0,NA,NA,stubble,
WARRAMBINE_S5_P1231_R2,2023,12,16,fieldpea,NA,NA,success,soilManagement,0,NA,NA,stubble,
WARRAMBINE_S5_P1231_R3,2023,12,16,fieldpea,NA,NA,success,soilManagement,0,NA,NA,stubble,
WARRAMBINE_S5_P2312_R1,2023,12,16,Canola,NA,NA,success,sale,2744,NA,NA,stubble,
WARRAMBINE_S5_P2312_R2,2023,12,16,Canola,NA,NA,success,sale,2944,NA,NA,stubble,
WARRAMBINE_S5_P2312_R3,2023,12,16,Canola,NA,NA,success,sale,2671,NA,NA,stubble,
WARRAMBINE_S5_P3123_R1,2023,12,16,Wheat,NA,NA,success,sale,4081,NA,NA,stubble,
WARRAMBINE_S5_P3123_R2,2023,12,16,Wheat,NA,NA,success,sale,4058,NA,NA,stubble,
WARRAMBINE_S5_P3123_R3,2023,12,16,Wheat,NA,NA,success,sale,4341,NA,NA,stubble,
WARRAMBINE_S6_P0000_R1,2023,12,16,Wheat,Barley,Faba bean,success,sale,1524,1523,128,stubble,
WARRAMBINE_S6_P0000_R2,2023,12,16,Wheat,Barley,Faba bean,success,sale,1833,1832,276,stubble,
WARRAMBINE_S6_P0000_R3,2023,12,16,Wheat,Barley,Faba bean,success,sale,1799,1798,73,stubble,
WARRAMBINE_S7_P0000_R1,2023,12,16,Wheat,NA,NA,success,sale,3789,NA,NA,stubble,
WARRAMBINE_S7_P0000_R2,2023,12,16,Wheat,NA,NA,success,sale,4727,NA,NA,stubble,
WARRAMBINE_S7_P0000_R3,2023,12,16,Wheat,NA,NA,success,sale,4925,NA,NA,stubble,
